OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CT2020_AQL_Use_USE_NAME,CT2020_REC_Use_USE_NAME,CT2020_FSHCON_Use_USE_NAME,CT2020_SHLFSH_Use_USE_NAME,Impaired,CT2020_AQL_Use_ATTAINMENT,CT2020_REC_Use_ATTAINMENT,CT2020_FSHCON_Use_ATTAINMENT,CT2020_SHLFSH_Use_ATTAINMENT,Shape__Area,Shape__Length
111,2020,CT-C3_010,"LIS CB Midshore - Indian Neck, Branford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Indian Neck, Little Point), out to 50 ft contour, Branford.",ESTUARY,8.554,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,238458705.480408,69642.302086243
112,2020,CT-W3_003,"LIS WB Midshore - Bridgeport Hbr, West, Bridgeport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Grover Hill, Fayerweather Island, Seaside Beach area), out to 50 ft contour, Bridgeport. Odd shape due to 50 ft contour.",ESTUARY,6.059,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,168911527.667023,64565.8310752551
113,2020,CT-C2_006,"LIS CB Shore - Madison Beaches (East), Madison","See Map for Boundaries.  Central portion of LIS from West Warf to Webster Point area (includes West Warf and East Warf Beaches, Tuxis Island, and tidal Fence Creek ), out approximately 1000 ft offshore, Madison.",ESTUARY,0.399,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,11113917.5841675,36611.9739566144
114,2020,CT-W3_008-I,"LIS WB Midshore - Norwalk Islands, Norwalk","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Norton Point to Seymour Point, includes all Norwalk Islands area), out to line just beyond Sheffield Island to Cockenoe Island, Norwalk.",ESTUARY,5.94,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,165604705.084808,144644.657657696
115,2020,CT-E1_028-SB,"LIS EB Inner - Lieutenant River, Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Leiutenant River from Route 156 crossing, US to saltwater limit adjacent to Longacre Lane, Old Lyme.",ESTUARY,0.105,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Supporting,Insufficient Information,Not Assessed,2917641.93890381,34788.936712656
116,2020,CT-W2_004,"LIS WB Shore - Outer Bridgeport Harbor, Fairfield","See Map for Boundaries.  Western portion of LIS from Shoal Point to tip of Fayerweather Island (includes Penfield Beach, Jennings Beach, Ash Creek outlet) out approximately 1000 ft offshore, Fairfield.",ESTUARY,0.407,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,11360144.7259521,25131.538482968
117,2020,CT-W2_005,"LIS WB Shore - Pine Creek Point, Fairfield","See Map for Boundaries.  Western portion of LIS from Pine Creek Point area to Shoal Point (includes South Pine Creek Beach, Pine Creek outlet) out approximately 1000 ft offshore, Fairfield.",ESTUARY,0.37,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,10308710.2253723,22728.2139088946
118,2020,CT-W2_016,"LIS WB Shore - Scott Cove, Darien","See Map for Boundaries.  Western portion of LIS from Long Neck Point to Fish Islands (includes Hay Island, Great Island) out approximately 1000 ft offshore, Darien.",ESTUARY,0.718,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,20014992.8311768,67235.5811465755
119,2020,CT-W3_009,"LIS WB Midshore - Outer Fivemile R Estuary, Darien","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (outer Scott Cove near Fish Islands to Norton Point area), out to 50 ft contour, Darien.",ESTUARY,2.453,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,68390926.9491882,37578.6496338355
120,2020,CT-W2_025,"LIS WB Shore - Byram Harbor (West), Greenwich","See Map for Boundaries.  Western portion of LIS from NY/CT border at Byram River to just west of Shore Island (includes mouth of Byram River, Byram Point) out approximately 1000 ft offshore, Greenwich.",ESTUARY,0.244,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,6798537.85653687,15988.2271262258
121,2020,CT-E2_008,"LIS EB Shore - Bluff Point, Groton","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary at Bushy Point Beach to Mumford Point, out approximately 1000 ft offshore.",ESTUARY,0.235,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,6538221.73181152,15609.5219742024
122,2020,CT-E2_006,"LIS EB Shore - West Cove (Groton Long Pt), Groton","See Map for Boundaries.  Eastern portion of LIS from tip of Groton Long Point to Morgan Point at SB/SA water quality boundary for Mystic River mouth, out approximately 1000 ft offshore.",ESTUARY,0.422,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,11768503.7608032,29119.2075346326
123,2020,CT-E2_012,"LIS EB Shore - Outer Jordan Cove, Waterford","See Map for Boundaries.  Eastern portion of LIS from Millstone Point to SB/SA water quality boundary at Magonk Point, out approximately 1000 ft offshore.  Waters adjacent to Millstone Power Plant.",ESTUARY,0.465,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Fully Supporting,Insufficient Information,Not Supporting,12960706.4636841,29096.1986270915
124,2020,CT-E2_015,"LIS EB Shore - Niantic Bay (Black Pt), East Lyme","See Map for Boundaries.  Eastern portion of LIS from Point East of Griswald Island, past Black Point to Pond Point in Niantic Bay, out approximately 1000 ft offshore.",ESTUARY,0.554,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,15452756.6048584,34211.0484188985
125,2020,CT-C2_008,"LIS CB Shore - Guilford Harbor, Guilford","See Map for Boundaries.  Central portion of LIS from Mulberry Point to Hogshead Point area (includes Jacobs Beach, Guilford Point), out approximately 1000 ft offshore, Guilford.",ESTUARY,0.481,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,13396719.3619995,30583.7935870412
126,2020,CT-C2_009,"LIS CB Shore - Indian Cove, Guilford","See Map for Boundaries.  Central portion of LIS from Sachem Head to Mulberry Point area (includes Vineyard Point), out approximately 1000 ft offshore, Guilford.",ESTUARY,0.431,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,12027134.5783691,27051.9571774708
127,2020,CT-W3_013,"LIS WB Midshore - Outer Cos Cob Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Bush Island to Greenwich Point area), out to 50 ft contour, Greenwich.",ESTUARY,2.378,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,66295443.8298035,51319.5460962566
129,2020,CT-C2_023,"LIS CB Shore - Walnut Beach, Milford","See Map for Boundaries.  Central portion of LIS from SA/SB WQ line at Milford Point to SA/SB WQ line at Silver Sands State Park Beach area (includes Walnut Beach, all SA, Housatonic River mouth to The Gulf), out approximately 1000 ft offshore, Milford.",ESTUARY,0.577,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,16085441.7086182,34758.0261511459
130,2020,CT-W2_022,"LIS WB Shore - Cos Cob Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from Tweed Island to Todd Point (includes Horse Island, Goose Island, Cos Cob Cove) out approximately 1000 ft offshore, Greenwich.",ESTUARY,0.704,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,19617399.873291,51878.610272398
131,2020,CT-E2_007,"LIS EB Shore - Outer Mumford Cove, Groton","See Map for Boundaries.  Eastern portion of LIS from Mumford Point to eastern most tip of Groton Long Point (includes outer Mumford cove and all of Venetian Harbor), out approximately 1000 ft offshore.",ESTUARY,0.555,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,15466669.7160645,42387.1175579381
133,2020,CT-E2_014,"LIS EB Shore - Niantic Bay (West), East Lyme","See Map for Boundaries.  Eastern portion of LIS from Pond Point to Smith Avenue at junction with Route 156, out approximately 1000 ft offshore.  Waters adjacent to Millstone Power Plant.",ESTUARY,0.302,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,8425765.35882568,19211.1902304137
135,2020,CT-W3_004,"LIS WB Midshore - Shoal Point, Fairfield","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Shoal Point and outer Black Rock Harbor area), out to 50 ft contour, Fairfield.",ESTUARY,4.155,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,115825404.328613,47630.0906239215
136,2020,CT-W3_005,"LIS WB Midshore - Southport Harbor, Fairfield","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Frost Point to Pine creek Point area), out to 50 ft contour, Fairfield.",ESTUARY,5.275,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,147055583.904846,49068.2849829861
137,2020,CT-W2_020,"LIS WB Shore - Stamford Harbor (West), Greenwich","See Map for Boundaries.  Western portion of LIS from Greenwich Point to Peck Point (includes Greenwich Point Beach, western potion of Stamford Harbor) out approximately 1000 ft offshore, Greenwich.",ESTUARY,0.54,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,15057898.7900391,41204.5776274016
138,2020,CT-W1_016-SB,"LIS WB Inner - Holly Pond, Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Holly Pond outlet at Brush Island (flows into Cove Harbor), US to saltwater limit at Route 1 crossing (just DS of I95 crossing), Stamford/Darien.",ESTUARY,0.31,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,8636172.14395142,24183.8112001606
140,2020,CT-W3_002,"LIS WB Midshore - Bridgeport Hbr, East, Bridgeport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Inner Bridgeport Harbor, Lewis Gut, Pleasure Beach area), out to 50 ft contour, Bridgeport.",ESTUARY,8.083,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,225347723.977112,64536.0880007159
141,2020,CT-W2_007,"LIS WB Shore - Southport Harbor (West), Fairfield","See Map for Boundaries.  Western portion of LIS from Beachside Lane area to inner Southport Harbor outlet area (includes Southport Beach, Sasco Brook outlet) out approximately 1000 ft offshore, Fairfield.",ESTUARY,0.188,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,5232367.3210144,13135.9202597682
142,2020,CT-W2_015,"LIS WB Shore - Fivemile River Estuary, Darien","See Map for Boundaries.  Western portion of LIS from Fish Islands to Norton Point (includes Bell Island Beach, Fish Islands, Contentment Island, Butlers Island, Fivemile River mouth, Roton Point) out approximately 1000 ft offshore, Darien.",ESTUARY,0.342,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,9541387.10961914,28735.9965860973
143,2020,CT-W2_002,"LIS WB Shore - Long Beach, Stratford","See Map for Boundaries.  Western portion of LIS from SA/SB WQ line at Pleasure Beach to Point No Point area (includes Long Beach (Proper), SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Stratford.",ESTUARY,0.458,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,12763318.7769775,28274.5769365464
144,2020,CT-W2_001,"LIS WB Shore - Lordship, Stratford","See Map for Boundaries.  Western portion of LIS from Point No Point area to SA/SB WQ line at Stratford Point (includes Long Beach (Marnick's), SB water is at mouth of Housatonic River) out approximately 1000 ft offshore, Stratford.",ESTUARY,0.409,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,11399688.1549377,24865.6685676807
145,2020,CT-C2_021,"LIS CB Shore - Bayview, Milford","See Map for Boundaries.  Central portion of LIS from SA/SB water quality line at Welches Point to SA/SB water quality line at Pond Point area (includes only SA water between New Haven Harbor and Gulf), out approximately 1000 ft offshore, Milford.",ESTUARY,0.331,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,9233692.73132324,21119.7716114179
147,2020,CT-C2_001,"LIS CB Shore - Westbrook Harbor (East), Westbrook","See Map for Boundaries.  Central portion of LIS from Fiske Lane to Old Saltworks Road (includes Middle Beach), out approximately 1000 ft offshore, Westbrook.",ESTUARY,0.244,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,6789121.29364014,17052.081222719
148,2020,CT-C3_002,"LIS CB Midshore - Duck Island area, Clinton","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Clinton Beach, includes Duck Island and Menunketesuck Island areas), out to 50 ft contour, Clinton.",ESTUARY,3.619,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,100894596.084595,62265.2461081424
149,2020,CT-C2_007,"LIS CB Shore - Madison Beaches (West), Madison","See Map for Boundaries.  Central portion of LIS from Hogshead Point to West Warf area (includes Surf Club Beach, Chipman Point), out approximately 1000 ft offshore, Madison.",ESTUARY,0.482,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,13432502.855896,29157.8031399161
150,2020,CT-C3_004,"LIS CB Midshore - Hammonasset Beach area, Madison","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Madison Beaches, inlcuding area nearshore Hammonasset Beach State Park), out to 50 ft contour, Madison.",ESTUARY,5.554,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,154829705.901917,51678.9367296096
151,2020,CT-C2_015-SB,"LIS CB Shore - Pages Cove, Branford","See Map for Boundaries.  Central portion of LIS from Mansfield Point to Johnson Point area (includes Clark Avenue Beach, Farm River Gut, Kelsey Island, Gull Rocks), out approximately 1000 ft offshore, Branford.",ESTUARY,0.731,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Fully Supporting,20383623.958374,53869.8827086084
153,2020,CT-E1_032,"LIS EB Inner - Oyster River Area, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Oyster River, Plum Bank Creek, and Back River from mouths on Indian Harbor, US to saltwater limits (Oyster River is to RR crossing above Route 1), Old Saybrook.",ESTUARY,0.098,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,2736394.59448242,60412.0746499596
154,2020,CT-C1_001,LIS CB Inner - Patchogue And Menunketesuck Rivers,"See Map for Boundaries.  Central portion of LIS, Inner Estuary, Patchogue and Menunketesuck Rivers from mouths at Grove Beach Point, US to saltwater limits just above I95 crossing, and at I95 crossing respectively, Westbrook.",ESTUARY,0.182,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,5060668.84411621,88922.0596383363
155,2020,CT-W3_012,"LIS WB Midshore - Outer Stamford Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Greenwich Point to Shippan Point area), out to 50 ft contour, Greenwich/Stamford.",ESTUARY,2.101,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Insufficient Information,Not Assessed,Insufficient Information,Not Supporting,58581899.6999817,32734.2928845522
156,2020,CT-W3_011,"LIS WB Midshore - Outer Westcott Cove, Stamford","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Shippan Point to Greenway Island, outer Westcott Cove, Cove Harbor, Darien Cove, Scott Cove areas), out to 50 ft contour, Stamford.",ESTUARY,2.404,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,67015564.9381409,43044.6330024422
157,2020,CT-W2_019,"LIS WB Shore - Stamford Harbor, Stamford","See Map for Boundaries.  Western portion of LIS from Peck Point to near intersection of Hobson Street and Sea Beach Drive (includes Flathead Rocks, Davenport Point, Shippan Point, outer Stamford Harbor) out approximately 1000 ft offshore, Stamford.",ESTUARY,0.524,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,14610225.5736694,31564.1899311003
158,2020,CT-W1_012-SB,"LIS WB Inner - Norwalk Harbor, Norwalk","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Norwalk Harbor (Calf Pasture Point), US to saltwater limit at Wall Street Crossing (EXCLUDES eastern cove of Marvin Beach), Norwalk.",ESTUARY,0.942,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,26257497.2741394,70932.9240956982
159,2020,CT-W1_013-SB,"LIS WB Inner - Norwalk Hrbr (MarvinBeach), Norwalk","See Map for Boundaries.  Western portion of LIS, Inner Estuary, eastern embayment of Norwalk Harbor, from Gregory Point to Fitch Point into shore (includes Marvin Beach), Norwalk.",ESTUARY,0.044,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Fully Supporting,1224385.02798462,6714.80010757164
160,2020,CT-E2_004,"LIS EB Shore - Wilcox Cove (Mason Is.), Stonington","See Map for Boundaries.  Eastern portion of LIS from tip of Mason Island to Mouth of inner Quiambaug Cove, out approximately 1000 ft offshore.",ESTUARY,0.694,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,19353840.7751465,54533.486725476
161,2020,CT-E3_003,"LIS EB Midshore - Groton, Mystic River","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore, Groton Long Point to Enders Island, out to CT/NY State line.",ESTUARY,2.853,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,79549861.8462524,51645.453069475
162,2020,CT-W3_001,"LIS WB Midshore - Lordship, Stratford","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Point No Point, Lordship), out to 50 ft contour, Stratford. Odd shape due to 50 ft contour.",ESTUARY,7.916,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,220692894.477325,65137.7927317268
