boro,order_no,main_st,from_st,to_st,sos
B,S-01261135,LELAND AVENUE,STORY AVENUE,LAFAYETTE AVENUE,W
B,S-01261174,WILLIS AVENUE*W RDWY,EAST  134 STREET,BRUCKNER BOULEVARD,E
B,S-01261185,MORRIS AVENUE,EAST  138 STREET,EAST  139 STREET,E
B,S-01261195,MORRIS AVENUE,EAST  154 STREET,EAST  153 STREET,W
B,S-01261211,MORRIS AVENUE,EAST  143 STREET,EAST  142 STREET,W
B,S-01261212,MORRIS AVENUE,EAST  144 STREET,EAST  143 STREET,W
B,S-01261215,LINCOLN AVENUE,EAST  134 STREET,EAST  135 STREET,E
B,S-01261216,LINCOLN AVENUE,EAST  135 STREET,EAST  135 STREET,W
B,S-01261217,LINCOLN AVENUE,EAST  135 STREET,EAST  134 STREET,W
B,S-01261218,LINCOLN AVENUE,EAST  132 STREET,DEAD END,W
B,S-01261219,ALEXANDER AVENUE,EAST  138 STREET,EAST  139 STREET,E
B,S-01261220,ALEXANDER AVENUE,EAST  134 STREET,EAST  135 STREET,E
B,S-01261221,ALEXANDER AVENUE,BRUCKNER BOULEVARD,EAST  134 STREET,E
B,S-01261222,ALEXANDER AVENUE,EAST  140 STREET,EAST  141 STREET,E
B,S-01261223,ALEXANDER AVENUE,EAST  135 STREET,EAST  134 STREET,W
B,S-01261224,ALEXANDER AVENUE,EAST  139 STREET,EAST  138 STREET,W
B,S-01261225,ALEXANDER AVENUE,EAST  140 STREET,EAST  139 STREET,W
B,S-01261226,ALEXANDER AVENUE,EAST  141 STREET,EAST  140 STREET,W
B,S-01261227,ALEXANDER AVENUE,EAST  142 STREET,EAST  141 STREET,W
B,S-01261228,ALEXANDER AVENUE,EAST  139 STREET,EAST  140 STREET,E
B,S-01261229,BROOK AVENUE,EAST  137 STREET,EAST  135 STREET,E
B,S-01261230,BROOK AVENUE,EAST  141 STREET,EAST  139 STREET,E
B,S-01261232,BROOK AVENUE,EAST  143 STREET,EAST  142 STREET,E
B,S-01261233,BROOK AVENUE,EAST  144 STREET,EAST  143 STREET,E
B,S-01261234,BROOK AVENUE,EAST  147 STREET,EAST  145 STREET,E
B,S-01261235,BROOK AVENUE,EAST  148 STREET,EAST  147 STREET,E
B,S-01261236,BROOK AVENUE,EAST  157 STREET,EAST  156 STREET,E
B,S-01261237,BROOK AVENUE,EAST  158 STREET,EAST  157 STREET,E
B,S-01261239,BROOK AVENUE,EAST  159 STREET,THIRD AVENUE,E
B,S-01261240,BROOK AVENUE,EAST  134 STREET,BRUCKNER BOULEVARD,W
B,S-01261241,BROOK AVENUE,EAST  135 STREET,EAST  134 STREET,W
B,S-01261242,BROOK AVENUE,EAST  136 STREET,EAST  135 STREET,W
B,S-01261243,BROOK AVENUE,EAST  137 STREET,EAST  136 STREET,W
B,S-01261244,BROOK AVENUE,EAST  140 STREET,EAST  139 STREET,W
B,S-01261245,BROOK AVENUE,EAST  141 STREET,EAST  140 STREET,W
B,S-01261246,BROOK AVENUE,EAST  143 STREET,EAST  142 STREET,W
B,S-01261247,BROOK AVENUE,EAST  144 STREET,EAST  143 STREET,W
B,S-01261249,LONGSTREET AVENUE,HARDING AVENUE,CHAFFEE AVENUE,W
B,S-01261313,BARKER AVENUE,DUNCOMB AVENUE,MAGENTA STREET,E
B,S-01261360,JEROME AVENUE,MORRIS AVENUE,EAST  198 STREET,E
B,S-01261364,JEROME AVENUE,EAST  198 STREET,MINERVA PLACE,E
B,S-01261368,JEROME AVENUE,MINERVA PLACE,EAST  199 STREET,E
B,S-01261441,HALLECK STREET,SPOFFORD AVENUE,RANDALL AVENUE,W
B,S-01261509,PELHAM PARKWAY NORTH,PELHAM PARKWAY NORTH,PELHAM PARKWAY NORTH,E
B,S-01261516,ADEE AVENUE,CRUGER AVENUE,HOLLAND AVENUE,S
B,S-01261531,WALLACE AVENUE,ARNOW AVENUE,WILLIAMSBRIDGE ROAD,E
B,S-01261557,BARRETTO STREET,SPOFFORD AVENUE,RANDALL AVENUE,W
B,S-01261558,BROOK AVENUE,EAST  145 STREET,EAST  144 STREET,W
B,S-01261560,BROOK AVENUE,EAST  146 STREET,EAST  145 STREET,W
B,S-01261561,BROOK AVENUE,EAST  147 STREET,EAST  146 STREET,W
B,S-01261563,BROOK AVENUE,EAST  148 STREET,EAST  147 STREET,W
B,S-01261564,BARRETTO STREET,SPOFFORD AVENUE,RANDALL AVENUE,E
B,S-01261565,BROOK AVENUE,EAST  149 STREET,EAST  148 STREET,W
B,S-01261569,BROOK AVENUE,EAST  157 STREET,EAST  156 STREET,W
B,S-01261571,BROOK AVENUE,EAST  158 STREET,EAST  157 STREET,W
B,S-01261574,ST ANNS AVENUE,EAST  137 STREET,EAST  135 STREET,W
B,S-01261578,ST ANNS AVENUE,EAST  159 STREET,EAST  158 STREET,W
B,S-01261581,ST ANNS AVENUE,EAST  135 STREET,EAST  137 STREET,E
B,S-01261592,ST ANNS AVENUE,EAST  139 STREET,EAST  140 STREET,E
B,S-01261599,ST ANNS AVENUE,EAST  138 STREET,EAST  137 STREET,W
B,S-01261611,EAGLE AVENUE,WESTCHESTER AVENUE,EAST  149 STREET,E
B,S-01261633,MELROSE AVENUE,EAST  152 STREET,EAST  153 STREET,E
B,S-01261649,MELROSE AVENUE,EAST  153 STREET,EAST  152 STREET,W
B,S-01261654,MELROSE AVENUE,EAST  159 STREET,EAST  158 STREET,W
B,S-01261657,MELROSE AVENUE,EAST  157 STREET,EAST  156 STREET,W
B,S-01261659,WHITE PLAINS ROAD*E RDWY,WHITE PLAINS ROAD,EAST GUN HILL ROAD,W
B,S-01261668,BROOK AVENUE,EAST  135 STREET,EAST  134 STREET,E
B,S-01261676,FOREST AVENUE,EAST  161 STREET,EAST  163 STREET,N
B,S-01261677,ST ANNS AVENUE,RAE STREET,WESTCHESTER AVENUE,W
B,S-01261679,TIMPSON PLACE,EAST  149 STREET,EAST  147 STREET,W
B,S-01261689,WEST FARMS ROAD,EAST  173 STREET,EAST  172 STREET,W
B,S-01261698,COURTLANDT AVENUE,EAST  148 STREET,EAST  146 STREET,W
B,S-01261700,COURTLANDT AVENUE,EAST  158 STREET,EAST  159 STREET,W
B,S-01261701,COURTLANDT AVENUE,EAST  158 STREET,EAST  159 STREET,E
B,S-01261703,COURTLANDT AVENUE,EAST  155 STREET,EAST  156 STREET,E
B,S-01261705,COURTLANDT AVENUE,EAST  150 STREET,EAST  151 STREET,W
B,S-01261707,COURTLANDT AVENUE,EAST  151 STREET,EAST  152 STREET,W
B,S-01261708,COURTLANDT AVENUE,EAST  151 STREET,EAST  152 STREET,E
B,S-01261709,COURTLANDT AVENUE,EAST  152 STREET,EAST  153 STREET,W
B,S-01261710,COURTLANDT AVENUE,EAST  153 STREET,EAST  154 STREET,E
B,S-01261713,BEEKMAN AVENUE,BEECH TERRACE,OAK TERRACE,W
B,S-01261714,BEEKMAN AVENUE,SAINT MARYS STREET,BEECH TERRACE,W
B,S-01261715,BEEKMAN AVENUE,SAINT MARYS STREET,EAST  141 STREET,E
B,S-01261716,POWERS AVENUE,ST MARYS STREET,EAST  142 STREET,E
B,S-01261717,POWERS AVENUE,EAST  142 STREET,EAST  141 STREET,E
B,S-01261718,CRIMMINS AVENUE,EAST  141 STREET,ST MARYS STREET,E
B,S-01261719,CRIMMINS AVENUE,EAST  141 STREET,ST MARYS STREET,W
B,S-01261720,ST ANNS AVENUE,EAST  147 STREET,EAST  146 STREET,W
B,S-01261721,ST ANNS AVENUE,EAST  146 STREET,EAST  145 STREET,W
B,S-01261722,ST ANNS AVENUE,EAST  145 STREET,EAST  144 STREET,W
B,S-01261723,ST ANNS AVENUE,EAST  142 STREET,EAST  141 STREET,W
B,S-01261724,ST ANNS AVENUE,EAST  161 STREET,EAST  159 STREET,W
B,S-01261727,BROWN PLACE,EAST  134 STREET,BRUCKNER BOULEVARD,W
B,S-01261728,BROWN PLACE,EAST  137 STREET,EAST  136 STREET,W
B,S-01261729,BROWN PLACE,EAST  138 STREET,EAST  137 STREET,W
B,S-01261747,MORTON PLACE,HARRISON AVENUE,UNIVERSITY AVENUE,N
B,S-01261752,BROWN PLACE,EAST  137 STREET,EAST  138 STREET,E
B,S-01261756,CYPRESS AVENUE*W RDWY,EAST  133 STREET,EAST  132 STREET,E
B,S-01261759,CYPRESS AVENUE*E RDWY,EAST  132 STREET,EAST  133 STREET,W
B,S-01261761,CYPRESS AVENUE,EAST  139 STREET,EAST  138 STREET,W
B,S-01261762,CYPRESS AVENUE,EAST  140 STREET,EAST  139 STREET,W
B,S-01261763,CYPRESS AVENUE,EAST  141 STREET,EAST  140 STREET,W
B,S-01261764,CYPRESS AVENUE,ST MARYS STREET,EAST  141 STREET,W
B,S-01261765,CYPRESS AVENUE,EAST  141 STREET,ST MARYS STREET,E
B,S-01261768,CYPRESS AVENUE,EAST  140 STREET,EAST  141 STREET,E
B,S-01261769,CYPRESS AVENUE,EAST  139 STREET,EAST  140 STREET,E
B,S-01261770,CYPRESS AVENUE*E RDWY,EAST  132 STREET,EAST  133 STREET,E
B,S-01261774,ST ANNS AVENUE,WESTCHESTER AVENUE,EAST  150 STREET,W
B,S-01261776,ST ANNS AVENUE,EAST  149 STREET,EAST  150 STREET,W
B,S-01261777,ST ANNS AVENUE,EAST  149 STREET,EAST  148 STREET,W
B,S-01261779,JACKSON AVENUE,EAST  142 STREET,EAST  141 STREET,W
B,S-01261783,JACKSON AVENUE,EAST  140 STREET,EAST  139 STREET,W
B,S-01261784,JACKSON AVENUE,EAST  139 STREET,EAST  138 STREET,W
B,S-01261787,JACKSON AVENUE,ST MARYS STREET,EAST  142 STREET,W
B,S-01261788,JACKSON AVENUE,EAST  138 STREET,BRUCKNER BOULEVARD,W
B,S-01261794,JACKSON AVENUE,EAST  138 STREET,BRUCKNER BOULEVARD,E
B,S-01261795,JACKSON AVENUE,ST MARYS STREET,EAST  144 STREET,E
B,S-01261797,JACKSON AVENUE,EAST  144 STREET,EAST  145 STREET,E
B,S-01261805,JACKSON AVENUE,EAST  141 STREET,EAST  142 STREET,E
B,S-01261825,JACKSON AVENUE,EAST  138 STREET,EAST  139 STREET,E
B,S-01261827,PENNYFIELD AVENUE,HARDING AVENUE,THROGS NECK EXPRESSWAY,E
B,S-01261870,EAST  163 STREET,KELLY STREET,INTERVALE AVENUE,N
B,S-01261977,HUNTS POINT AVENUE,SPOFFORD AVENUE,FAILE STREET,E
B,S-01262001,HUNTS POINT AVENUE,SENECA AVENUE,GARRISON AVENUE,E
B,S-01262185,EAST  140 STREET,BRUCKNER BOULEVARD,WALNUT AVENUE,N
B,S-01262222,JACKSON AVENUE,EAST  142 STREET,ST MARYS STREET,E
B,S-01262224,JACKSON AVENUE,EAST  149 STREET,EAST  151 STREET,E
B,S-01262244,EAST  144 STREET,SOUTHERN BOULEVARD,WALES AVENUE,N
B,S-01262248,JACKSON AVENUE,EAST  149 STREET,EAST  147 STREET,W
B,S-01262251,JACKSON AVENUE,EAST  151 STREET,EAST  152 STREET,E
B,S-01262262,BROWN PLACE,BRUCKNER BOULEVARD,EAST  134 STREET,E
B,S-01262265,BROWN PLACE,EAST  132 STREET,BRUCKNER BOULEVARD,E
B,S-01262266,BROWN PLACE,BRUCKNER BOULEVARD,EAST  132 STREET,W
B,S-01262268,BARNES AVENUE,EAST  228 STREET,EAST  229 STREET,W
B,S-01262271,WALES AVENUE,EAST  145 STREET,EAST  144 STREET,W
B,S-01262275,WALES AVENUE,EAST  144 STREET,ST MARYS STREET,W
B,S-01262276,WALES AVENUE,EAST  141 STREET,BRUCKNER BOULEVARD,E
B,S-01262278,WALES AVENUE,EAST  144 STREET,EAST  145 STREET,E
B,S-01262283,WALES AVENUE,EAST  151 STREET,EAST  150 STREET,W
B,S-01262286,WALES AVENUE,EAST  141 STREET,BRUCKNER BOULEVARD,W
B,S-01262289,WALES AVENUE,ST MARYS STREET,EAST  142 STREET,W
B,S-01262290,WALES AVENUE,EAST  149 STREET,EAST  147 STREET,W
B,S-01262322,WALES AVENUE,EAST  147 STREET,EAST  145 STREET,W
B,S-01262326,WALES AVENUE,SAINT MARYS STREET,EAST  144 STREET,E
B,S-01262331,TRINITY AVENUE,EAST  147 STREET,DEAD END,E
B,S-01262335,AQUEDUCT AVENUE WEST,WEST  188 STREET,WEST  190 STREET,W
B,S-01262337,WALES AVENUE,EAST  149 STREET,EAST  150 STREET,E
B,S-01262338,WALES AVENUE,EAST  150 STREET,EAST  151 STREET,E
B,S-01262341,TRINITY AVENUE,DEAD END,EAST  147 STREET,W
B,S-01262351,JACKSON AVENUE,EAST  160 STREET,EAST  161 STREET,E
B,S-01262356,JACKSON AVENUE,EAST  158 STREET,EAST  160 STREET,E
B,S-01262364,JACKSON AVENUE,EAST  158 STREET,EAST  160 STREET,W
B,S-01262365,WEST  192 STREET,UNIVERSITY AVENUE,AQUEDUCT AVENUE,N
B,S-01262367,JACKSON AVENUE,EAST  160 STREET,EAST  161 STREET,W
B,S-01262369,JACKSON AVENUE,EAST  156 STREET,EAST  158 STREET,E
B,S-01262373,JACKSON AVENUE,EAST  156 STREET,EAST  158 STREET,W
B,S-01262378,TRINITY AVENUE,PONTIAC PLACE,WESTCHESTER AVENUE,E
B,S-01262383,GRAND AVENUE,WEST KINGSBRIDGE ROAD,WEST  192 STREET,E
B,S-01262400,TRINITY AVENUE,EAST  161 STREET,EAST  160 STREET,E
B,S-01262403,TRINITY AVENUE,EAST  161 STREET,EAST  160 STREET,W
B,S-01262405,TINTON AVENUE,EAST  151 STREET,EAST  150 STREET,W
B,S-01262407,TRINITY AVENUE,EAST  158 STREET,EAST  156 STREET,E
B,S-01262419,TRINITY AVENUE,EAST  158 STREET,EAST  156 STREET,W
B,S-01262426,PROSPECT AVENUE,EAST  155 STREET,EAST  152 STREET,W
B,S-01262437,PROSPECT AVENUE,DAWSON STREET,EAST  156 STREET,E
B,S-01262439,PROSPECT AVENUE,BECK STREET,KELLY STREET,E
B,S-01262443,PROSPECT AVENUE,EAST  149 STREET,SOUTHERN BOULEVARD,E
B,S-01262445,PROSPECT AVENUE,EAST  149 STREET,SOUTHERN BOULEVARD,W
B,S-01262447,CAULDWELL AVENUE,EAST  158 STREET,EAST  161 STREET,W
B,S-01262448,ST ANNS AVENUE,EAST  149 STREET,WESTCHESTER AVENUE,E
B,S-01262449,CAULDWELL AVENUE,EAST  156 STREET,EAST  158 STREET,E
B,S-01262450,CAULDWELL AVENUE,WESTCHESTER AVENUE,EAST  149 STREET,E
B,S-01262457,CAULDWELL AVENUE,EAST  160 STREET,EAST  161 STREET,E
B,S-01262458,FOREST AVENUE,EAST  161 STREET,EAST  160 STREET,E
B,S-01262462,FOREST AVENUE,EAST  158 STREET,EAST  156 STREET,E
B,S-01262465,FOREST AVENUE,EAST  161 STREET,EAST  163 STREET,W
B,S-01262467,TINTON AVENUE,EAST  150 STREET,EAST  149 STREET,W
B,S-01262468,TINTON AVENUE,EAST  160 STREET,EAST  161 STREET,E
B,S-01262470,TINTON AVENUE,EAST  161 STREET,EAST  160 STREET,W
B,S-01262471,UNION AVENUE,EAST  160 STREET,EAST  161 STREET,E
B,S-01262473,UNION AVENUE,EAST  160 STREET,EAST  161 STREET,W
B,S-01262474,UNION AVENUE,EAST  152 STREET,EAST  155 STREET,E
B,S-01262478,UNION AVENUE,EAST  155 STREET,EAST  156 STREET,E
B,S-01262480,UNION AVENUE,EAST  156 STREET,WESTCHESTER AVENUE,E
B,S-01262483,UNION AVENUE,EAST  149 STREET,EAST  150 STREET,E
B,S-01262484,UNION AVENUE,EAST  151 STREET,EAST  152 STREET,E
B,S-01262486,UNION AVENUE,EAST  150 STREET,EAST  151 STREET,E
B,S-01262492,UNION AVENUE,EAST  158 STREET,EAST  160 STREET,W
B,S-01262493,UNION AVENUE,WESTCHESTER AVENUE,EAST  158 STREET,W
B,S-01262494,UNION AVENUE,EAST  156 STREET,WESTCHESTER AVENUE,W
B,S-01262498,TRINITY AVENUE,EAST  149 STREET,PONTIAC PLACE,E
B,S-01262499,CONCORD AVENUE,EAST  151 STREET,EAST  152 STREET,E
B,S-01262501,CONCORD AVENUE,EAST  150 STREET,EAST  151 STREET,E
B,S-01262503,CONCORD AVENUE,EAST  142 STREET,ST MARYS STREET,E
B,S-01262504,CONCORD AVENUE,EAST  142 STREET,EAST  141 STREET,W
B,S-01262505,CONCORD AVENUE,EAST  142 STREET,EAST  141 STREET,E
B,S-01262507,CONCORD AVENUE,ST MARYS STREET,EAST  142 STREET,W
B,S-01262513,TIMPSON PLACE,EAST  144 STREET,EAST  147 STREET,E
B,S-01262523,COLLEGE AVENUE,EAST  145 STREET,EAST  148 STREET,W
B,S-01262530,COLLEGE AVENUE,EAST  146 STREET,EAST  148 STREET,E
B,S-01262533,TINTON AVENUE,EAST  152 STREET,EAST  151 STREET,W
B,S-01262535,TINTON AVENUE,EAST  158 STREET,EAST  160 STREET,E
B,S-01262537,TINTON AVENUE,WESTCHESTER AVENUE,EAST  158 STREET,E
B,S-01262539,WALNUT AVENUE,EAST  134 STREET,EAST  135 STREET,E
B,S-01262540,WALNUT AVENUE,EAST  133 STREET,EAST  134 STREET,E
B,S-01262541,WALNUT AVENUE,EAST  140 STREET,EAST  139 STREET,W
B,S-01262543,WALNUT AVENUE,EAST  141 STREET,EAST  140 STREET,W
B,S-01262545,SOUTHERN BOULEVARD,EAST  144 STREET,ST MARYS STREET,W
B,S-01262546,SOUTHERN BOULEVARD,EAST  142 STREET,BRUCKNER BOULEVARD,W
B,S-01262547,SOUTHERN BOULEVARD,BRUCKNER BOULEVARD,EAST  142 STREET,E
B,S-01262548,SOUTHERN BOULEVARD,PROSPECT AVENUE,UNION AVENUE,W
B,S-01262549,SOUTHERN BOULEVARD,EAST  149 STREET,PROSPECT AVENUE,W
B,S-01262551,WALNUT AVENUE,EAST  137 STREET,EAST  136 STREET,W
B,S-01262558,WALNUT AVENUE,EAST  138 STREET,EAST  137 STREET,W
B,S-01262672,WASHINGTON AVENUE,EAST  178 STREET,EAST TREMONT AVENUE,W
B,S-01262710,ST RAYMOND AVENUE,ODELL STREET,OLMSTEAD AVENUE,N
B,S-01262744,LEGGETT AVENUE,BRUCKNER BOULEVARD,SOUTHERN BOULEVARD,N
B,S-01262745,COURTLANDT AVENUE,EAST  148 STREET,THIRD AVENUE,E
B,S-01262832,EAST  161 STREET,MELROSE AVENUE,COURTLANDT AVENUE,N
B,S-01262953,BECK STREET,LONGWOOD AVENUE,EAST  156 STREET,E
B,S-01262957,FOOD CENTER DRIVE,UNNAMED STREET,HALLECK STREET,S
B,S-01263064,EAST  161 STREET*MN RDWY,RIVER AVENUE,RUPPERT PLACE,N
B,S-01263090,EAST FORDHAM ROAD,CRESTON AVENUE,GRAND CONCOURSE,S
B,S-01263130,EAST  163 STREET,ELTON AVENUE,THIRD AVENUE,S
B,S-01263167,OLMSTEAD AVENUE,CHATTERTON AVENUE,BRUCKNER BOULEVARD*N RDWY,W
B,S-01263172,OLMSTEAD AVENUE,CHATTERTON AVENUE,BLACKROCK AVENUE,E
B,S-01263178,OLMSTEAD AVENUE,BLACKROCK AVENUE,WATSON AVENUE,E
B,S-01263198,THWAITES PLACE,BARKER AVENUE,OLINVILLE AVENUE,S
B,S-01263213,ELDER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,W
B,S-01263216,TINTON AVENUE,EAST  152 STREET,EAST  150 STREET,E
B,S-01263218,GILES PLACE,FT INDEPENDENCE STREET,CANNON PLACE,W
B,S-01263407,BARNES AVENUE,WARING AVENUE,ASTOR AVENUE,W
B,S-01263433,WASHINGTON AVENUE,CROSS BRONX EXPRESSWAY,EAST  174 STREET,W
B,S-01263443,BROOK AVENUE,EAST  167 STREET,EAST  166 STREET,W
B,S-01263452,EAST  166 STREET,CLAY AVENUE,TELLER AVENUE,N
B,S-01263531,EAST  185 STREET,PROSPECT AVENUE,SOUTHERN BOULEVARD,S
B,S-01263534,RIVER AVENUE,EAST  167 STREET,EAST  168 STREET,E
B,S-01263554,UNION AVENUE,HOME STREET,EAST  168 STREET,W
B,S-01263616,EAST  161 STREET*N RDWY,RIVER AVENUE,RUPPERT PLACE,S
B,S-01263658,RANDALL AVENUE,FAILE STREET,BRYANT AVENUE,S
B,S-01263695,BROOK AVENUE,EAST  142 STREET,EAST  141 STREET,W
B,S-01263751,BARNES AVENUE,EAST GUN HILL ROAD,MAGENTA STREET,W
B,S-01263767,EAST  140 STREET,ALEXANDER AVENUE,DEAD END,S
B,S-01263819,WALTON AVENUE,EAST  168 STREET,EAST  167 STREET,W
B,S-01263843,FRANKLIN AVENUE,EAST  168 STREET,EAST  169 STREET,E
B,S-01263933,BALCOM AVENUE,DEAD END,SAMPSON AVENUE,E
B,S-01264074,MACE AVENUE,WHITE PLAINS ROAD,OLINVILLE AVENUE,N
B,S-01264077,BARKER AVENUE,MACE AVENUE,WARING AVENUE,E
B,S-01264082,WARING AVENUE,OLINVILLE AVENUE,WHITE PLAINS ROAD,S
B,S-01264085,OLINVILLE AVENUE,WARING AVENUE,MACE AVENUE,W
B,S-01264190,BARNES AVENUE,MACE AVENUE,BOSTON ROAD,E
B,S-01264229,MATTHEWS AVENUE,ADEE AVENUE,WILLIAMSBRIDGE ROAD,W
B,S-01264232,ADEE AVENUE,BRONXWOOD AVENUE,RADCLIFF AVENUE,S
B,S-01264235,ADEE AVENUE,RADCLIFF AVENUE,COLDEN AVENUE,S
B,S-01264239,BURKE AVENUE,COLDEN AVENUE,PAULDING AVENUE,S
B,S-01264439,HOLLAND AVENUE,SOUTH OAK DRIVE,BURKE AVENUE,W
B,S-01264452,BARTHOLDI STREET,HOLLAND AVENUE,CRUGER AVENUE,N
B,S-01264456,BARTHOLDI STREET,WHITE PLAINS ROAD,CRUGER AVENUE,S
B,S-01264667,WEST  162 STREET,WOODYCREST AVENUE,OGDEN AVENUE,N
B,S-01264758,VAN NEST AVENUE,WHITE PLAINS ROAD,VICTOR STREET,S
B,S-01264767,VICTOR STREET,VAN NEST AVENUE,MORRIS PARK AVENUE,E
B,S-01264771,UNIONPORT ROAD,MORRIS PARK AVENUE,VAN NEST AVENUE,W
B,S-01264777,THROGS NECK BOULEVARD,HARDING AVENUE,SILVER BEACH PLACE,W
B,S-01264778,SAINT RAYMOND AVENUE,SEDDON STREET,ST PETERS AVENUE,N
B,S-01264783,ST PETERS AVENUE,MACLAY AVENUE,SAINT RAYMOND AVENUE,S
B,S-01264855,RANDALL AVENUE,ST LAWRENCE AVENUE,BEACH AVENUE,S
B,S-01264858,RANDALL AVENUE,BEACH AVENUE,ST LAWRENCE AVENUE,N
B,S-01264947,EAST  161 STREET*S RDWY,SHERMAN AVENUE,SHERIDAN AVENUE,N
B,S-012651,,,,
