IntakeType,IntakeSubtype,Number_of_Animals,YEAR,MONTH,OBJECTID
OWNER SUR,,1,2010,12,1287
OWNER SUR,FIELD,45,2010,12,1288
OWNER SUR,OTC,152,2010,12,1289
QUARANTINE,MAS,2,2010,12,1290
QUARANTINE,STRAY,2,2010,12,1291
RETURN,ADOPTION,1,2010,12,1292
RETURN,FIELD,1,2010,12,1293
RETURN,OTC,20,2010,12,1294
STRAY,FIELD,321,2010,12,1295
STRAY,OTC,220,2010,12,1296
CONFISCATE,ABANDONED,8,2011,1,1297
CONFISCATE,BITE,1,2011,1,1298
CONFISCATE,CHAINING,2,2011,1,1299
CONFISCATE,CRUELTY,2,2011,1,1300
CONFISCATE,NEGLECT,10,2011,1,1301
CONFISCATE,OWNER DIED,4,2011,1,1302
CONFISCATE,POLICE,1,2011,1,1303
CONFISCATE,RESTRAINT,9,2011,1,1304
EUTH REQ,FIELD OWN,5,2011,1,1305
EUTH REQ,OTC OWNED,35,2011,1,1306
FOSTER,RETURN,1,2011,1,1307
OUTSURGERY,,21,2011,1,1308
OUTSURGERY,NEUTER,7,2011,1,1309
OWNER SUR,FIELD,52,2011,1,1310
OWNER SUR,OTC,162,2011,1,1311
QUARANTINE,MAS,7,2011,1,1312
RETURN,OTC,17,2011,1,1313
STRAY,FIELD,301,2011,1,1314
STRAY,OTC,210,2011,1,1315
CONFISCATE,ABANDONED,1,2011,2,1316
CONFISCATE,BITE,1,2011,2,1317
CONFISCATE,CHAINING,2,2011,2,1318
CONFISCATE,CRUELTY,1,2011,2,1319
CONFISCATE,NEGLECT,10,2011,2,1320
CONFISCATE,POLICE,1,2011,2,1321
CONFISCATE,POTDANGER,1,2011,2,1322
EUTH REQ,FIELD OWN,3,2011,2,1323
EUTH REQ,OTC OWNED,45,2011,2,1324
INVESTIGAT,DANGER DOG,2,2011,2,1325
KHS,,1,2011,2,1326
OUTSURGERY,,44,2011,2,1327
OUTSURGERY,NEUTER,6,2011,2,1328
OWNER SUR,FIELD,36,2011,2,1329
OWNER SUR,OTC,169,2011,2,1330
QUARANTINE,MAS,2,2011,2,1331
QUARANTINE,OWNER,1,2011,2,1332
QUARANTINE,STRAY,1,2011,2,1333
RETURN,,1,2011,2,1334
RETURN,K HUMANE S,1,2011,2,1335
RETURN,OTC,7,2011,2,1336
STRAY,FIELD,302,2011,2,1337
STRAY,OTC,155,2011,2,1338
CONFISCATE,ABANDONED,10,2011,3,1339
CONFISCATE,BITE,2,2011,3,1340
CONFISCATE,CHAINING,6,2011,3,1341
CONFISCATE,CRUELTY,3,2011,3,1342
CONFISCATE,EVICTION,3,2011,3,1343
CONFISCATE,NEGLECT,21,2011,3,1344
CONFISCATE,POLICE,2,2011,3,1345
CONFISCATE,POTDANGER,1,2011,3,1346
CONFISCATE,RESTRAINT,1,2011,3,1347
CONFISCATE,UNPERMITED,1,2011,3,1348
EUTH REQ,FIELD OWN,10,2011,3,1349
EUTH REQ,OTC OWNED,49,2011,3,1350
INVESTIGAT,NUISANCE,1,2011,3,1351
OUTSURGERY,,46,2011,3,1352
OUTSURGERY,NEUTER,6,2011,3,1353
OWNER SUR,,4,2011,3,1354
OWNER SUR,EUTH REQ,2,2011,3,1355
OWNER SUR,FIELD,39,2011,3,1356
OWNER SUR,OTC,192,2011,3,1357
QUARANTINE,MAS,1,2011,3,1358
QUARANTINE,OWNER,2,2011,3,1359
RETURN,,3,2011,3,1360
RETURN,ADOPTION,2,2011,3,1361
RETURN,OTC,9,2011,3,1362
STRAY,,1,2011,3,1363
STRAY,EUTH REQ,1,2011,3,1364
STRAY,FIELD,395,2011,3,1365
STRAY,OTC,203,2011,3,1366
TRANSFER,AN CONTROL,1,2011,3,1367
CONFISCATE,BITE,7,2011,4,1368
CONFISCATE,CHAINING,3,2011,4,1369
CONFISCATE,CRUELTY,1,2011,4,1370
CONFISCATE,NEGLECT,11,2011,4,1371
CONFISCATE,POLICE,3,2011,4,1372
CONFISCATE,RESTRAINT,6,2011,4,1373
EUTH REQ,OTC OWNED,5,2011,4,1374
OUTSURGERY,,28,2011,4,1375
OUTSURGERY,NEUTER,6,2011,4,1376
OWNER SUR,EUTH REQ,29,2011,4,1377
OWNER SUR,FIELD,38,2011,4,1378
OWNER SUR,OTC,251,2011,4,1379
RETURN,,1,2011,4,1380
RETURN,ADOPTION,21,2011,4,1381
STRAY,,2,2011,4,1382
STRAY,EUTH REQ,1,2011,4,1383
STRAY,FIELD,493,2011,4,1384
STRAY,OTC,266,2011,4,1385
CONFISCATE,ABANDONED,8,2011,5,1386
CONFISCATE,BITE,2,2011,5,1387
CONFISCATE,CHAINING,7,2011,5,1388
CONFISCATE,CRUELTY,3,2011,5,1389
CONFISCATE,NEGLECT,9,2011,5,1390
CONFISCATE,POLICE,1,2011,5,1391
CONFISCATE,POTDANGER,1,2011,5,1392
CONFISCATE,RESTRAINT,10,2011,5,1393
FOSTER,RETURN,1,2011,5,1394
OUTSURGERY,,18,2011,5,1395
OUTSURGERY,NEUTER,1,2011,5,1396
OWNER SUR,,1,2011,5,1397
OWNER SUR,EUTH REQ,70,2011,5,1398
OWNER SUR,FIELD,40,2011,5,1399
OWNER SUR,OTC,275,2011,5,1400
RETURN,ADOPTION,18,2011,5,1401
RETURN,K HUMANE S,3,2011,5,1402
STRAY,,4,2011,5,1403
STRAY,EUTH REQ,3,2011,5,1404
STRAY,FIELD,460,2011,5,1405
STRAY,OTC,292,2011,5,1406
CONFISCATE,ABANDONED,1,2011,6,1407
CONFISCATE,BITE,1,2011,6,1408
CONFISCATE,CHAINING,2,2011,6,1409
CONFISCATE,CRUELTY,2,2011,6,1410
CONFISCATE,DANGER DOG,1,2011,6,1411
CONFISCATE,HOSPITAL,1,2011,6,1412
CONFISCATE,NEGLECT,10,2011,6,1413
CONFISCATE,POLICE,2,2011,6,1414
CONFISCATE,POTDANGER,1,2011,6,1415
CONFISCATE,RESTRAINT,3,2011,6,1416
FOSTER,,7,2011,6,1417
FOSTER,RETURN,2,2011,6,1418
OUTSURGERY,NEUTER,4,2011,6,1419
OWNER SUR,EUTH REQ,69,2011,6,1420
OWNER SUR,FIELD,70,2011,6,1421
OWNER SUR,OTC,248,2011,6,1422
RETURN,,3,2011,6,1423
RETURN,ADOPTION,31,2011,6,1424
RETURN,K HUMANE S,1,2011,6,1425
STRAY,FIELD,445,2011,6,1426
STRAY,OTC,330,2011,6,1427
CONFISCATE,ABANDONED,15,2011,7,1428
CONFISCATE,BITE,4,2011,7,1429
CONFISCATE,CHAINING,1,2011,7,1430
CONFISCATE,CRUELTY,2,2011,7,1431
CONFISCATE,NEGLECT,7,2011,7,1432
CONFISCATE,POTDANGER,2,2011,7,1433
CONFISCATE,RESTRAINT,1,2011,7,1434
DISPOSAL,STRAY,1,2011,7,1435
FOSTER,,7,2011,7,1436
FOSTER,RETURN,4,2011,7,1437
OWNER SUR,,2,2011,7,1438
OWNER SUR,EUTH REQ,48,2011,7,1439
OWNER SUR,FIELD,88,2011,7,1440
OWNER SUR,OTC,247,2011,7,1441
RETURN,,1,2011,7,1442
RETURN,ADOPTION,31,2011,7,1443
RETURN,FOSTER,1,2011,7,1444
RETURN,K HUMANE S,2,2011,7,1445
STRAY,,3,2011,7,1446
STRAY,EUTH REQ,1,2011,7,1447
STRAY,FIELD,492,2011,7,1448
STRAY,OTC,288,2011,7,1449
CONFISCATE,ABANDONED,1,2011,8,1450
CONFISCATE,BITE,3,2011,8,1451
CONFISCATE,CRUELTY,1,2011,8,1452
CONFISCATE,NEGLECT,9,2011,8,1453
CONFISCATE,POLICE,1,2011,8,1454
CONFISCATE,RESTRAINT,4,2011,8,1455
FOSTER,,12,2011,8,1456
FOSTER,RETURN,6,2011,8,1457
OWNER SUR,EUTH REQ,64,2011,8,1458
OWNER SUR,FIELD,48,2011,8,1459
OWNER SUR,OTC,261,2011,8,1460
RETURN,,4,2011,8,1461
RETURN,ADOPTION,19,2011,8,1462
RETURN,K HUMANE S,3,2011,8,1463
STRAY,FIELD,542,2011,8,1464
STRAY,OTC,264,2011,8,1465
CONFISCATE,ABANDONED,3,2011,9,1466
CONFISCATE,BITE,5,2011,9,1467
CONFISCATE,CHAINING,1,2011,9,1468
CONFISCATE,CRUELTY,2,2011,9,1469
CONFISCATE,NEGLECT,3,2011,9,1470
CONFISCATE,OWNER DIED,1,2011,9,1471
CONFISCATE,RESTRAINT,4,2011,9,1472
DISPOSAL,STRAY,1,2011,9,1473
FOSTER,,1,2011,9,1474
FOSTER,RETURN,11,2011,9,1475
OWNER SUR,,1,2011,9,1476
OWNER SUR,EUTH REQ,62,2011,9,1477
OWNER SUR,FIELD,57,2011,9,1478
OWNER SUR,OTC,138,2011,9,1479
RETURN,ADOPTION,19,2011,9,1480
STRAY,,1,2011,9,1481
STRAY,FIELD,362,2011,9,1482
STRAY,OTC,211,2011,9,1483
CONFISCATE,BITE,2,2011,10,1484
CONFISCATE,CHAINING,2,2011,10,1485
CONFISCATE,CRUELTY,2,2011,10,1486
CONFISCATE,NEGLECT,2,2011,10,1487
CONFISCATE,POLICE,1,2011,10,1488
CONFISCATE,RESTRAINT,2,2011,10,1489
DISPOSAL,,1,2011,10,1490
DISPOSAL,STRAY,1,2011,10,1491
FOSTER,RETURN,17,2011,10,1492
OWNER SUR,EUTH REQ,66,2011,10,1493
OWNER SUR,FIELD,33,2011,10,1494
OWNER SUR,OTC,122,2011,10,1495
RETURN,ADOPTION,21,2011,10,1496
STRAY,,1,2011,10,1497
STRAY,FIELD,296,2011,10,1498
STRAY,OTC,184,2011,10,1499
CONFISCATE,BITE,2,2011,11,1500
CONFISCATE,CHAINING,2,2011,11,1501
CONFISCATE,DANGER DOG,1,2011,11,1502
CONFISCATE,NEGLECT,5,2011,11,1503
CONFISCATE,POLICE,1,2011,11,1504
CONFISCATE,RESTRAINT,6,2011,11,1505
FOSTER,RETURN,11,2011,11,1506
OWNER SUR,,3,2011,11,1507
OWNER SUR,EUTH REQ,71,2011,11,1508
OWNER SUR,FIELD,46,2011,11,1509
OWNER SUR,OTC,159,2011,11,1510
RETURN,ADOPTION,31,2011,11,1511
STRAY,FIELD,295,2011,11,1512
STRAY,OTC,155,2011,11,1513
CONFISCATE,,1,2011,12,1514
CONFISCATE,ABANDONED,3,2011,12,1515
CONFISCATE,BITE,2,2011,12,1516
CONFISCATE,CHAINING,1,2011,12,1517
CONFISCATE,CRUELTY,2,2011,12,1518
CONFISCATE,DANGER DOG,2,2011,12,1519
CONFISCATE,HOSPITAL,1,2011,12,1520
CONFISCATE,NEGLECT,5,2011,12,1521
CONFISCATE,POTDANGER,1,2011,12,1522
FOSTER,RETURN,20,2011,12,1523
OWNER SUR,EUTH REQ,48,2011,12,1524
OWNER SUR,FIELD,21,2011,12,1525
OWNER SUR,OTC,142,2011,12,1526
RETURN,ADOPTION,17,2011,12,1527
RETURN,FOSTER,1,2011,12,1528
STRAY,FIELD,324,2011,12,1529
STRAY,OTC,171,2011,12,1530
CONFISCATE,ABANDONED,1,2012,1,1531
CONFISCATE,CRUELTY,1,2012,1,1532
CONFISCATE,NEGLECT,6,2012,1,1533
CONFISCATE,POLICE,1,2012,1,1534
CONFISCATE,POTDANGER,2,2012,1,1535
DISPOSAL,OWNER,5,2012,1,1536
DISPOSAL,STRAY,1,2012,1,1537
ET REQUEST,OLD,7,2012,1,1538
ET REQUEST,SICK,4,2012,1,1539
FOSTER,RETURN,73,2012,1,1540
OWNER SUR,EUTH REQ,27,2012,1,1541
OWNER SUR,FIELD,37,2012,1,1542
OWNER SUR,OTC,103,2012,1,1543
RETURN,,1,2012,1,1544
RETURN,ADOPTION,10,2012,1,1545
STRAY,,1,2012,1,1546
STRAY,FIELD,256,2012,1,1547
STRAY,OTC,144,2012,1,1548
CONFISCATE,BITE,1,2012,2,1549
CONFISCATE,CHAINING,1,2012,2,1550
CONFISCATE,NEGLECT,7,2012,2,1551
CONFISCATE,POLICE,1,2012,2,1552
CONFISCATE,RESTRAINT,2,2012,2,1553
DISPOSAL,OTHER,2,2012,2,1554
DISPOSAL,OWNER,2,2012,2,1555
ET REQUEST,OLD,8,2012,2,1556
ET REQUEST,SICK,9,2012,2,1557
FOSTER,,7,2012,2,1558
FOSTER,RETURN,63,2012,2,1559
OWNER SUR,EUTH REQ,23,2012,2,1560
OWNER SUR,FIELD,22,2012,2,1561
OWNER SUR,OTC,114,2012,2,1562
RETURN,,1,2012,2,1563
RETURN,ADOPTION,28,2012,2,1564
STRAY,,2,2012,2,1565
STRAY,FIELD,223,2012,2,1566
STRAY,OTC,147,2012,2,1567
CONFISCATE,BITE,3,2012,3,1568
CONFISCATE,CHAINING,1,2012,3,1569
CONFISCATE,CRUELTY,2,2012,3,1570
CONFISCATE,DANGER DOG,1,2012,3,1571
CONFISCATE,NEGLECT,13,2012,3,1572
CONFISCATE,OWNER DIED,1,2012,3,1573
CONFISCATE,POLICE,10,2012,3,1574
CONFISCATE,RESTRAINT,4,2012,3,1575
DISPOSAL,OTHER,1,2012,3,1576
DISPOSAL,OWNER,1,2012,3,1577
ET REQUEST,,6,2012,3,1578
ET REQUEST,AGGRESSIVE,1,2012,3,1579
ET REQUEST,OLD,25,2012,3,1580
ET REQUEST,SICK,20,2012,3,1581
FOSTER,,1,2012,3,1582
FOSTER,RETURN,63,2012,3,1583
OWNER SUR,,1,2012,3,1584
OWNER SUR,EUTH REQ,32,2012,3,1585
OWNER SUR,FIELD,32,2012,3,1586
OWNER SUR,OTC,151,2012,3,1587
RETURN,,1,2012,3,1588
RETURN,ADOPTION,16,2012,3,1589
STRAY,,4,2012,3,1590
STRAY,FIELD,303,2012,3,1591
STRAY,OTC,169,2012,3,1592
CONFISCATE,,3,2012,4,1593
CONFISCATE,BITE,1,2012,4,1594
CONFISCATE,CHAINING,2,2012,4,1595
CONFISCATE,CRUELTY,2,2012,4,1596
CONFISCATE,NEGLECT,8,2012,4,1597
CONFISCATE,RESTRAINT,3,2012,4,1598
DISPOSAL,STRAY,1,2012,4,1599
ET REQUEST,,2,2012,4,1600
ET REQUEST,AGGRESSIVE,29,2012,4,1601
ET REQUEST,OLD,12,2012,4,1602
ET REQUEST,SICK,14,2012,4,1603
FOSTER,RETURN,91,2012,4,1604
OWNER SUR,,1,2012,4,1605
OWNER SUR,EUTH REQ,24,2012,4,1606
OWNER SUR,FIELD,50,2012,4,1607
OWNER SUR,OTC,161,2012,4,1608
RETURN,ADOPTION,14,2012,4,1609
STRAY,,3,2012,4,1610
STRAY,FIELD,404,2012,4,1611
STRAY,OTC,178,2012,4,1612
CONFISCATE,ABANDONED,3,2012,5,1613
CONFISCATE,BITE,3,2012,5,1614
CONFISCATE,CHAINING,1,2012,5,1615
CONFISCATE,CRUELTY,7,2012,5,1616
CONFISCATE,NEGLECT,8,2012,5,1617
CONFISCATE,OWNER DIED,1,2012,5,1618
CONFISCATE,RESTRAINT,3,2012,5,1619
DISPOSAL,OTHER,1,2012,5,1620
DISPOSAL,STRAY,1,2012,5,1621
DISPOSAL,WILDLIFE,1,2012,5,1622
ET REQUEST,,20,2012,5,1623
ET REQUEST,AGGRESSIVE,10,2012,5,1624
ET REQUEST,OLD,10,2012,5,1625
ET REQUEST,SICK,15,2012,5,1626
FOSTER,RETURN,88,2012,5,1627
OWNER SUR,EUTH REQ,3,2012,5,1628
OWNER SUR,FIELD,56,2012,5,1629
OWNER SUR,OTC,145,2012,5,1630
RETURN,,1,2012,5,1631
RETURN,ADOPTION,20,2012,5,1632
STRAY,,4,2012,5,1633
STRAY,FIELD,318,2012,5,1634
STRAY,OTC,317,2012,5,1635
CONFISCATE,BITE,1,2012,6,1636
CONFISCATE,CHAINING,1,2012,6,1637
CONFISCATE,CRUELTY,2,2012,6,1638
CONFISCATE,NEGLECT,2,2012,6,1639
CONFISCATE,OWNER DIED,1,2012,6,1640
CONFISCATE,RESTRAINT,3,2012,6,1641
DISPOSAL,OWNER,2,2012,6,1642
ET REQUEST,,12,2012,6,1643
ET REQUEST,AGGRESSIVE,4,2012,6,1644
ET REQUEST,OLD,14,2012,6,1645
ET REQUEST,SICK,13,2012,6,1646
FOSTER,,1,2012,6,1647
FOSTER,RETURN,96,2012,6,1648
OWNER SUR,,1,2012,6,1649
OWNER SUR,EUTH REQ,11,2012,6,1650
OWNER SUR,FIELD,39,2012,6,1651
OWNER SUR,OTC,158,2012,6,1652
RETURN,ADOPTION,20,2012,6,1653
STRAY,,8,2012,6,1654
STRAY,FIELD,307,2012,6,1655
STRAY,OTC,385,2012,6,1656
CONFISCATE,ABANDONED,2,2012,7,1657
CONFISCATE,BITE,1,2012,7,1658
CONFISCATE,CHAINING,1,2012,7,1659
CONFISCATE,CRUELTY,8,2012,7,1660
CONFISCATE,NEGLECT,1,2012,7,1661
CONFISCATE,POTDANGER,2,2012,7,1662
DISPOSAL,OTHER,2,2012,7,1663
DISPOSAL,WILDLIFE,1,2012,7,1664
ET REQUEST,,7,2012,7,1665
ET REQUEST,AGGRESSIVE,13,2012,7,1666
ET REQUEST,OLD,19,2012,7,1667
ET REQUEST,SICK,18,2012,7,1668
FOSTER,,7,2012,7,1669
FOSTER,RETURN,94,2012,7,1670
OWNER SUR,EUTH REQ,9,2012,7,1671
OWNER SUR,FIELD,36,2012,7,1672
OWNER SUR,OTC,165,2012,7,1673
RETURN,,1,2012,7,1674
RETURN,ADOPTION,9,2012,7,1675
RETURN,K HUMANE S,1,2012,7,1676
STRAY,,5,2012,7,1677
STRAY,FIELD,278,2012,7,1678
STRAY,OTC,330,2012,7,1679
CONFISCATE,ABANDONED,2,2012,8,1680
CONFISCATE,BITE,1,2012,8,1681
CONFISCATE,CRUELTY,15,2012,8,1682
CONFISCATE,DANGER DOG,3,2012,8,1683
CONFISCATE,NEGLECT,2,2012,8,1684
CONFISCATE,POLICE,3,2012,8,1685
CONFISCATE,POTDANGER,2,2012,8,1686
DISPOSAL,FIELD,1,2012,8,1687
DISPOSAL,OTHER,2,2012,8,1688
DISPOSAL,OWNER,5,2012,8,1689
ET REQUEST,AGGRESSIVE,8,2012,8,1690
ET REQUEST,OLD,15,2012,8,1691
ET REQUEST,SICK,11,2012,8,1692
FOSTER,,2,2012,8,1693
FOSTER,RETURN,89,2012,8,1694
OWNER SUR,,1,2012,8,1695
OWNER SUR,EUTH REQ,7,2012,8,1696
OWNER SUR,FIELD,19,2012,8,1697
OWNER SUR,OTC,157,2012,8,1698
RETURN,ADOPTION,15,2012,8,1699
RETURN,K HUMANE S,1,2012,8,1700
STRAY,,2,2012,8,1701
STRAY,FIELD,293,2012,8,1702
STRAY,OTC,271,2012,8,1703
CONFISCATE,ABANDONED,3,2012,9,1704
CONFISCATE,BITE,2,2012,9,1705
CONFISCATE,CHAINING,1,2012,9,1706
CONFISCATE,DANGER DOG,1,2012,9,1707
CONFISCATE,HOSPITAL,2,2012,9,1708
CONFISCATE,NEGLECT,2,2012,9,1709
CONFISCATE,POLICE,2,2012,9,1710
CONFISCATE,RESTRAINT,1,2012,9,1711
DISPOSAL,FIELD,1,2012,9,1712
DISPOSAL,OTHER,6,2012,9,1713
DISPOSAL,OWNER,1,2012,9,1714
ET REQUEST,,2,2012,9,1715
ET REQUEST,AGGRESSIVE,3,2012,9,1716
ET REQUEST,OLD,12,2012,9,1717
ET REQUEST,SICK,14,2012,9,1718
FOSTER,RETURN,56,2012,9,1719
OWNER SUR,,1,2012,9,1720
OWNER SUR,EUTH REQ,13,2012,9,1721
OWNER SUR,FIELD,22,2012,9,1722
OWNER SUR,OTC,161,2012,9,1723
RETURN,,1,2012,9,1724
RETURN,ADOPTION,12,2012,9,1725
STRAY,,3,2012,9,1726
STRAY,FIELD,299,2012,9,1727
STRAY,OTC,318,2012,9,1728
CONFISCATE,ABANDONED,2,2012,10,1729
CONFISCATE,BITE,3,2012,10,1730
CONFISCATE,COURT ORD,2,2012,10,1731
CONFISCATE,EVICTION,1,2012,10,1732
CONFISCATE,NEGLECT,5,2012,10,1733
CONFISCATE,POLICE,2,2012,10,1734
CONFISCATE,POTDANGER,2,2012,10,1735
CONFISCATE,RESTRAINT,3,2012,10,1736
DISPOSAL,,1,2012,10,1737
DISPOSAL,FIELD,2,2012,10,1738
DISPOSAL,OTHER,7,2012,10,1739
DISPOSAL,OWNER,5,2012,10,1740
DISPOSAL,STRAY,2,2012,10,1741
ET REQUEST,,1,2012,10,1742
ET REQUEST,AGGRESSIVE,3,2012,10,1743
ET REQUEST,OLD,13,2012,10,1744
ET REQUEST,SICK,14,2012,10,1745
FOSTER,RETURN,109,2012,10,1746
OWNER SUR,,2,2012,10,1747
OWNER SUR,EUTH REQ,4,2012,10,1748
OWNER SUR,FIELD,26,2012,10,1749
OWNER SUR,OTC,107,2012,10,1750
RETURN,,1,2012,10,1751
RETURN,ADOPTION,12,2012,10,1752
STRAY,FIELD,247,2012,10,1753
STRAY,OTC,274,2012,10,1754
CONFISCATE,ABANDONED,5,2012,11,1755
CONFISCATE,BITE,1,2012,11,1756
CONFISCATE,CRUELTY,3,2012,11,1757
CONFISCATE,DANGER DOG,1,2012,11,1758
CONFISCATE,NEGLECT,1,2012,11,1759
CONFISCATE,POLICE,2,2012,11,1760
CONFISCATE,RESTRAINT,4,2012,11,1761
DISPOSAL,,3,2012,11,1762
DISPOSAL,FIELD,1,2012,11,1763
DISPOSAL,OTHER,1,2012,11,1764
DISPOSAL,OWNER,5,2012,11,1765
DISPOSAL,STRAY,3,2012,11,1766
ET REQUEST,,4,2012,11,1767
ET REQUEST,AGGRESSIVE,9,2012,11,1768
ET REQUEST,OLD,13,2012,11,1769
ET REQUEST,SICK,15,2012,11,1770
FOSTER,RETURN,126,2012,11,1771
FOUND,,1,2012,11,1772
OWNER SUR,EUTH REQ,8,2012,11,1773
OWNER SUR,FIELD,26,2012,11,1774
OWNER SUR,OTC,117,2012,11,1775
RETURN,ADOPTION,9,2012,11,1776
RETURN,K HUMANE S,1,2012,11,1777
STRAY,,2,2012,11,1778
STRAY,FIELD,215,2012,11,1779
STRAY,OTC,196,2012,11,1780
CONFISCATE,ABANDONED,2,2012,12,1781
CONFISCATE,CHAINING,1,2012,12,1782
CONFISCATE,NEGLECT,11,2012,12,1783
CONFISCATE,POLICE,2,2012,12,1784
CONFISCATE,POTDANGER,2,2012,12,1785
CONFISCATE,RESTRAINT,1,2012,12,1786
DISPOSAL,,2,2012,12,1787
DISPOSAL,OTHER,5,2012,12,1788
DISPOSAL,OWNER,7,2012,12,1789
ET REQUEST,,1,2012,12,1790
ET REQUEST,AGGRESSIVE,8,2012,12,1791
ET REQUEST,OLD,12,2012,12,1792
ET REQUEST,SICK,12,2012,12,1793
FOSTER,RETURN,47,2012,12,1794
OWNER SUR,EUTH REQ,9,2012,12,1795
OWNER SUR,FIELD,25,2012,12,1796
OWNER SUR,OTC,108,2012,12,1797
RETURN,,2,2012,12,1798
RETURN,ADOPTION,8,2012,12,1799
RETURN,K HUMANE S,2,2012,12,1800
STRAY,,1,2012,12,1801
STRAY,FIELD,215,2012,12,1802
STRAY,OTC,203,2012,12,1803
CONFISCATE,ABANDONED,1,2013,1,1804
CONFISCATE,BITE,2,2013,1,1805
CONFISCATE,NEGLECT,1,2013,1,1806
CONFISCATE,POLICE,3,2013,1,1807
CONFISCATE,RESTRAINT,2,2013,1,1808
DISPOSAL,FIELD,2,2013,1,1809
DISPOSAL,OTHER,8,2013,1,1810
DISPOSAL,OWNER,5,2013,1,1811
DISPOSAL,STRAY,1,2013,1,1812
ET REQUEST,,1,2013,1,1813
ET REQUEST,AGGRESSIVE,5,2013,1,1814
ET REQUEST,OLD,13,2013,1,1815
ET REQUEST,SICK,7,2013,1,1816
FOSTER,RETURN,70,2013,1,1817
FOUND,,1,2013,1,1818
OWNER SUR,EUTH REQ,5,2013,1,1819
OWNER SUR,FIELD,21,2013,1,1820
OWNER SUR,OTC,121,2013,1,1821
RETURN,,1,2013,1,1822
RETURN,ADOPTION,7,2013,1,1823
RETURN,K HUMANE S,3,2013,1,1824
STRAY,,1,2013,1,1825
STRAY,FIELD,237,2013,1,1826
STRAY,OTC,206,2013,1,1827
CONFISCATE,ABANDONED,2,2013,2,1828
CONFISCATE,BITE,3,2013,2,1829
CONFISCATE,CHAINING,1,2013,2,1830
CONFISCATE,CRUELTY,3,2013,2,1831
CONFISCATE,DANGER DOG,1,2013,2,1832
CONFISCATE,NEGLECT,3,2013,2,1833
CONFISCATE,POLICE,3,2013,2,1834
CONFISCATE,RESTRAINT,2,2013,2,1835
DISPOSAL,,3,2013,2,1836
DISPOSAL,OTHER,2,2013,2,1837
DISPOSAL,OWNER,1,2013,2,1838
ET REQUEST,AGGRESSIVE,4,2013,2,1839
ET REQUEST,OLD,24,2013,2,1840
ET REQUEST,SICK,9,2013,2,1841
FOSTER,RETURN,77,2013,2,1842
OWNER SUR,EUTH REQ,3,2013,2,1843
OWNER SUR,FIELD,48,2013,2,1844
OWNER SUR,OTC,87,2013,2,1845
RETURN,ADOPTION,8,2013,2,1846
STRAY,FIELD,245,2013,2,1847
STRAY,OTC,133,2013,2,1848
CONFISCATE,BITE,1,2013,3,1849
CONFISCATE,CRUELTY,8,2013,3,1850
CONFISCATE,NEGLECT,1,2013,3,1851
CONFISCATE,POLICE,2,2013,3,1852
CONFISCATE,RESTRAINT,1,2013,3,1853
DISPOSAL,,6,2013,3,1854
DISPOSAL,FIELD,2,2013,3,1855
DISPOSAL,OTHER,1,2013,3,1856
DISPOSAL,OWNER,7,2013,3,1857
DISPOSAL,STRAY,2,2013,3,1858
ET REQUEST,,2,2013,3,1859
ET REQUEST,AGGRESSIVE,13,2013,3,1860
ET REQUEST,OLD,15,2013,3,1861
ET REQUEST,SICK,11,2013,3,1862
FOSTER,RETURN,30,2013,3,1863
OWNER SUR,,2,2013,3,1864
OWNER SUR,EUTH REQ,16,2013,3,1865
OWNER SUR,FIELD,40,2013,3,1866
OWNER SUR,OTC,125,2013,3,1867
RETURN,ADOPTION,9,2013,3,1868
RETURN,K HUMANE S,2,2013,3,1869
STRAY,,4,2013,3,1870
STRAY,FIELD,239,2013,3,1871
STRAY,OTC,134,2013,3,1872
CONFISCATE,ABANDONED,1,2013,4,1873
CONFISCATE,CHAINING,1,2013,4,1874
CONFISCATE,CRUELTY,11,2013,4,1875
CONFISCATE,HOSPITAL,1,2013,4,1876
CONFISCATE,NEGLECT,8,2013,4,1877
CONFISCATE,POLICE,6,2013,4,1878
CONFISCATE,POTDANGER,1,2013,4,1879
DISPOSAL,,1,2013,4,1880
DISPOSAL,FIELD,1,2013,4,1881
DISPOSAL,OTHER,2,2013,4,1882
DISPOSAL,OWNER,2,2013,4,1883
DISPOSAL,STRAY,2,2013,4,1884
ET REQUEST,,1,2013,4,1885
ET REQUEST,AGGRESSIVE,10,2013,4,1886
ET REQUEST,OLD,12,2013,4,1887
ET REQUEST,SICK,7,2013,4,1888
FOSTER,,6,2013,4,1889
FOSTER,RETURN,65,2013,4,1890
OWNER SUR,EUTH REQ,21,2013,4,1891
OWNER SUR,FIELD,21,2013,4,1892
OWNER SUR,OTC,137,2013,4,1893
RETURN,ADOPTION,12,2013,4,1894
RETURN,K HUMANE S,1,2013,4,1895
STRAY,,7,2013,4,1896
STRAY,FIELD,299,2013,4,1897
STRAY,OTC,192,2013,4,1898
CONFISCATE,ABANDONED,3,2013,5,1899
CONFISCATE,EVICTION,1,2013,5,1900
CONFISCATE,NEGLECT,11,2013,5,1901
CONFISCATE,OWNER DIED,1,2013,5,1902
CONFISCATE,RESTRAINT,1,2013,5,1903
DISPOSAL,,1,2013,5,1904
DISPOSAL,FIELD,1,2013,5,1905
DISPOSAL,OTHER,6,2013,5,1906
DISPOSAL,OWNER,16,2013,5,1907
DISPOSAL,WILDLIFE,1,2013,5,1908
