OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CLASS_ID,CLASS_NAME,MILES_SQUARE,AQUATIC_LIFE_ATTAINMENT_CODE,AQUATIC_LIFE_ATTAINMENT,RECREATION_ATTAINMENT_CODE,RECREATION_ATTAINMENT,FISH_CONSUMPTN_ATTAINMENT_CODE,FISH_CONSUMPTION_ATTAINMENT,SHELLFISH_USE_DESCRIPTION,SHELLFISH_ATTAINMENT_CODE,SHELLFISH_ATTAINMENT,IMPAIRED,Shape__Area,Shape__Length
130,2016,CT-C2_018-SB,"LIS CB Shore - New Haven Harbor (West), West Haven","See Map for Boundaries.  Central portion of LIS from Oyster River Point to Sandy Point area (includes West Haven West Beach, West Haven East Beach, West Shore, Sandy Point), out approximately 1000 ft offshore, West Haven.",0.789,SQUARE MILES,ESTUARY,Central,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,0.789,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,21992464.7755737,49849.2761494969
132,2016,CT-E2_003,"LIS EB Shore - Outer Quiambaug Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS from Mouth of inner Quiambaug Cove at RR crossing to SB/SA water quality boundary at mouth of Stonington Harbor, out approximately 1000 ft offshore.",0.388,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.388,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,10821502.4887085,26208.431173549
133,2016,CT-E2_008,"LIS EB Shore - Bluff Point, Groton","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary at Bushy Point Beach to Mumford Point, out approximately 1000 ft offshore.",0.235,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.235,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,6538221.73175049,15609.5219741627
134,2016,CT-E2_006,"LIS EB Shore - West Cove (Groton Long Pt), Groton","See Map for Boundaries.  Eastern portion of LIS from tip of Groton Long Point to Morgan Point at SB/SA water quality boundary for Mystic River mouth, out approximately 1000 ft offshore.",0.422,SQUARE MILES,ESTUARY,Eastern,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.422,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,11768503.7597656,29119.2075345705
135,2016,CT-E2_012,"LIS EB Shore - Outer Jordan Cove, Waterford","See Map for Boundaries.  Eastern portion of LIS from Millstone Point to SB/SA water quality boundary at Magonk Point, out approximately 1000 ft offshore.  Waters adjacent to Millstone Power Plant.",0.465,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.465,F,Fully Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,12960706.463501,29096.1986267687
136,2016,CT-E2_015,"LIS EB Shore - Niantic Bay (Black Pt), East Lyme","See Map for Boundaries.  Eastern portion of LIS from Point East of Griswald Island, past Black Point to Pond Point in Niantic Bay, out approximately 1000 ft offshore.",0.554,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.554,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,15452756.6040649,34211.0484188466
137,2016,CT-C2_008,"LIS CB Shore - Guilford Harbor, Guilford","See Map for Boundaries.  Central portion of LIS from Mulberry Point to Hogshead Point area (includes Jacobs Beach, Guilford Point), out approximately 1000 ft offshore, Guilford.",0.481,SQUARE MILES,ESTUARY,Central,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.481,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,13396719.3609619,30583.7935872889
138,2016,CT-C2_009,"LIS CB Shore - Indian Cove, Guilford","See Map for Boundaries.  Central portion of LIS from Sachem Head to Mulberry Point area (includes Vineyard Point), out approximately 1000 ft offshore, Guilford.",0.431,SQUARE MILES,ESTUARY,Central,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.431,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,12027134.5786133,27051.9571772897
139,2016,CT-W3_013,"LIS WB Midshore - Outer Cos Cob Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Bush Island to Greenwich Point area), out to 50 ft contour, Greenwich.",2.378,SQUARE MILES,ESTUARY,Western,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,2.378,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,66295443.8293152,51319.5460961997
141,2016,CT-C2_023,"LIS CB Shore - Walnut Beach, Milford","See Map for Boundaries.  Central portion of LIS from SA/SB WQ line at Milford Point to SA/SB WQ line at Silver Sands State Park Beach area (includes Walnut Beach, all SA, Housatonic River mouth to The Gulf), out approximately 1000 ft offshore, Milford.",0.577,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.577,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,16085441.7079468,34758.0261511217
142,2016,CT-W2_022,"LIS WB Shore - Cos Cob Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from Tweed Island to Todd Point (includes Horse Island, Goose Island, Cos Cob Cove) out approximately 1000 ft offshore, Greenwich.",0.704,SQUARE MILES,ESTUARY,Western,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.704,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,19617399.8740845,51878.6102724744
143,2016,CT-E2_007,"LIS EB Shore - Outer Mumford Cove, Groton","See Map for Boundaries.  Eastern portion of LIS from Mumford Point to eastern most tip of Groton Long Point (includes outer Mumford cove and all of Venetian Harbor), out approximately 1000 ft offshore.",0.555,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.555,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,15466669.7158813,42387.1175578377
145,2016,CT-E2_014,"LIS EB Shore - Niantic Bay (West), East Lyme","See Map for Boundaries.  Eastern portion of LIS from Pond Point to Smith Avenue at junction with Route 156, out approximately 1000 ft offshore.  Waters adjacent to Millstone Power Plant.",0.302,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.302,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,8425765.35852051,19211.1902303527
147,2016,CT-W3_004,"LIS WB Midshore - Shoal Point, Fairfield","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Shoal Point and outer Black Rock Harbor area), out to 50 ft contour, Fairfield.",4.155,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,4.155,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,115825404.329041,47630.0906239517
148,2016,CT-W3_005,"LIS WB Midshore - Southport Harbor, Fairfield","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Frost Point to Pine creek Point area), out to 50 ft contour, Fairfield.",5.275,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,5.275,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,147055583.904358,49068.2849830026
149,2016,CT-W2_020,"LIS WB Shore - Stamford Harbor (West), Greenwich","See Map for Boundaries.  Western portion of LIS from Greenwich Point to Peck Point (includes Greenwich Point Beach, western potion of Stamford Harbor) out approximately 1000 ft offshore, Greenwich.",0.54,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.54,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,15057898.7907104,41204.5776271716
150,2016,CT-W1_016-SB,"LIS WB Inner - Holly Pond, Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Holly Pond outlet at Brush Island (flows into Cove Harbor), US to saltwater limit at Route 1 crossing (just DS of I95 crossing), Stamford/Darien.",0.31,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.31,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,8636172.1439209,24183.8112000854
152,2016,CT-W3_002,"LIS WB Midshore - Bridgeport Hbr, East, Bridgeport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Inner Bridgeport Harbor, Lewis Gut, Pleasure Beach area), out to 50 ft contour, Bridgeport.",8.083,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,8.083,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,225347723.976929,64536.0880006858
153,2016,CT-W2_007,"LIS WB Shore - Southport Harbor (West), Fairfield","See Map for Boundaries.  Western portion of LIS from Beachside Lane area to inner Southport Harbor outlet area (includes Southport Beach, Sasco Brook outlet) out approximately 1000 ft offshore, Fairfield.",0.188,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.188,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,5232367.32122803,13135.9202598188
154,2016,CT-W2_015,"LIS WB Shore - Fivemile River Estuary, Darien","See Map for Boundaries.  Western portion of LIS from Fish Islands to Norton Point (includes Bell Island Beach, Fish Islands, Contentment Island, Butlers Island, Fivemile River mouth, Roton Point) out approximately 1000 ft offshore, Darien.",0.342,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.342,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,9541387.11026001,28735.9965860811
155,2016,CT-W2_002,"LIS WB Shore - Long Beach, Stratford","See Map for Boundaries.  Western portion of LIS from SA/SB WQ line at Pleasure Beach to Point No Point area (includes Long Beach (Proper), SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Stratford.",0.458,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.458,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,12763318.7767029,28274.576936588
156,2016,CT-W2_001,"LIS WB Shore - Lordship, Stratford","See Map for Boundaries.  Western portion of LIS from Point No Point area to SA/SB WQ line at Stratford Point (includes Long Beach (Marnick's), SB water is at mouth of Housatonic River) out approximately 1000 ft offshore, Stratford.",0.409,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.409,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,11399688.1549988,24865.6685676611
157,2016,CT-W2_008,"LIS WB Shore - Green Farms, Westport","See Map for Boundaries.  Western portion of LIS from Burying Hill Road to Beachside Lane area (includes Burying Hill Beach, Frost Point) out approximately 1000 ft offshore, Westport.",0.237,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.237,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,6593467.73620605,15197.4134739278
158,2016,CT-W3_015-I,"LIS WB Midshore - Captain Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Byrant Point at Connecticut/New York state line, to Brush Island, Captain Harbor area), out to just beyond Great Captain Island to Wee Captain Island, Greenwich.",3.422,SQUARE MILES,ESTUARY,Western,Midshore,True,True,51,Coastal and Marine Surface Waters Class SA,3.422,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,95395226.5901184,69674.4477115555
159,2016,CT-W2_021,"LIS WB Shore - Greenwich Cove, Greenwich","See Map for Boundaries.  Western portion of LIS from Todd Point to Greenwich Point (includes Elias Point, Greenwich Island, Pelican Island, Flat Neck Point, Greenwich Cove) out approximately 1000 ft offshore, Greenwich.",1.244,SQUARE MILES,ESTUARY,Western,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,1.244,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,34669931.7434387,90586.7987119607
160,2016,CT-W4_001,LIS WB Offshore - Bridgeport,See Map for Boundaries.  Western portion of LIS from 50ft contour to CT/NY State line.,19.767,SQUARE MILES,ESTUARY,Western,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,19.767,N,Not Supporting,X,Unassessed,F,Fully Supporting,Not Evaluated,,Natural Conditions Not Viable,Yes,551076187.852844,102427.967850523
163,2016,CT-C2_001,"LIS CB Shore - Westbrook Harbor (East), Westbrook","See Map for Boundaries.  Central portion of LIS from Fiske Lane to Old Saltworks Road (includes Middle Beach), out approximately 1000 ft offshore, Westbrook.",0.244,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.244,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,6789121.29382324,17052.0812227048
164,2016,CT-C3_002,"LIS CB Midshore - Duck Island area, Clinton","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Clinton Beach, includes Duck Island and Menunketesuck Island areas), out to 50 ft contour, Clinton.",3.619,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,3.619,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,100894596.085693,62265.2461081296
165,2016,CT-C2_007,"LIS CB Shore - Madison Beaches (West), Madison","See Map for Boundaries.  Central portion of LIS from Hogshead Point to West Warf area (includes Surf Club Beach, Chipman Point), out approximately 1000 ft offshore, Madison.",0.482,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.482,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,13432502.8557129,29157.803139868
166,2016,CT-C3_004,"LIS CB Midshore - Hammonasset Beach area, Madison","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Madison Beaches, inlcuding area nearshore Hammonasset Beach State Park), out to 50 ft contour, Madison.",5.554,SQUARE MILES,ESTUARY,Central,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,5.554,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,154829705.901978,51678.9367295456
169,2016,CT-W2_019,"LIS WB Shore - Stamford Harbor, Stamford","See Map for Boundaries.  Western portion of LIS from Peck Point to near intersection of Hobson Street and Sea Beach Drive (includes Flathead Rocks, Davenport Point, Shippan Point, outer Stamford Harbor) out approximately 1000 ft offshore, Stamford.",0.524,SQUARE MILES,ESTUARY,Western,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.524,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,14610225.5737,31564.1899310242
170,2016,CT-W1_012-SB,"LIS WB Inner - Norwalk Harbor, Norwalk","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Norwalk Harbor (Calf Pasture Point), US to saltwater limit at Wall Street Crossing (EXCLUDES eastern cove of Marvin Beach), Norwalk.",0.942,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.942,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,26257497.2741699,70932.9240959622
171,2016,CT-W1_013-SB,"LIS WB Inner - Norwalk Hrbr (MarvinBeach), Norwalk","See Map for Boundaries.  Western portion of LIS, Inner Estuary, eastern embayment of Norwalk Harbor, from Gregory Point to Fitch Point into shore (includes Marvin Beach), Norwalk.",0.044,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,True,52,Coastal and Marine Surface Waters Class SB,0.044,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,1224385.02801514,6714.80010761385
172,2016,CT-W2_014,"LIS WB Shore - Wilson Cove, Farm Creek, Norwalk","See Map for Boundaries.  Western portion of LIS from Norton Point to just west of Hoyt Island (includes Rowayton Beach, Bell Island, Wilson Point) out approximately 1000 ft offshore, Norwalk.",0.424,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.424,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,11825047.3701477,35997.9662772847
174,2016,CT-E2_004,"LIS EB Shore - Wilcox Cove (Mason Is.), Stonington","See Map for Boundaries.  Eastern portion of LIS from tip of Mason Island to Mouth of inner Quiambaug Cove, out approximately 1000 ft offshore.",0.694,SQUARE MILES,ESTUARY,Eastern,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.694,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,19353840.7731323,54533.4867254349
175,2016,CT-E3_003,"LIS EB Midshore - Groton, Mystic River","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore, Groton Long Point to Enders Island, out to CT/NY State line.",2.853,SQUARE MILES,ESTUARY,Eastern,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,2.853,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,79549861.8469849,51645.4530696432
176,2016,CT-W3_001,"LIS WB Midshore - Lordship, Stratford","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Point No Point, Lordship), out to 50 ft contour, Stratford. Odd shape due to 50 ft contour.",7.916,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,7.916,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,220692894.477051,65137.7927317508
177,2016,CT-C3_011,LIS CB Midshore - East Haven,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven and Branford Harbors out to 50 ft contour, East Haven.",8.152,SQUARE MILES,ESTUARY,Central,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,8.152,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,227275019.495605,102225.020796099
178,2016,CT-C3_006,"LIS CB Midshore - Outer Guilford Harbor, Guilford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Guilford Harbor), out to 50 ft contour, Guilford.",8.364,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,8.364,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,233185039.502441,71762.5629233234
179,2016,CT-C3_005,LIS CB Midshore - Madison,"See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Hogshead Point), out to 50 ft contour, Madison.",8.348,SQUARE MILES,ESTUARY,Central,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,8.348,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,232716733.104492,68312.6893274631
180,2016,CT-C3_020,"LIS CB Midshore - Milford Point, Milford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (SA water surrounding SB water, outer mouth of Housatonic River), out to 50 ft contour, Milford.",10.663,SQUARE MILES,ESTUARY,Central,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,10.663,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,297277705.796814,86565.9644430889
181,2016,CT-E3_005-SB,"LIS EB Midshore - Waterford, Thames River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary, approximately 1000 ft offshore of Magonk Point, Waterford to BushyPoint, Groton, out to SB/SA water quality boundary (Thames River mouth).",5.256,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,52,Coastal and Marine Surface Waters Class SB,5.256,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,146533706.575806,76086.9683477393
182,2016,CT-C3_015-SB,"LIS CB Midshore - New Haven Harbor, New Haven","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (West Shore to Morgan Point), from Sandy Point out to segments CT-C3_013/014, outer New Haven Harbor, West Haven/New Haven.",4.561,SQUARE MILES,ESTUARY,Central,Midshore,False,False,52,Coastal and Marine Surface Waters Class SB,4.561,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,127144098.595276,58465.9078673957
183,2016,CT-W3_014,"LIS WB Midshore - Outer Captain Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from Connecticut New York state line just beyond Great Captain Island to east of Wee Captain Island, out to 50 ft contour, Greenwich.",2.007,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,2.007,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,F,Fully Supporting,Yes,55938224.1283264,31574.7271153236
184,2016,CT-E1_014-SB,"LIS EB Inner - Thames River (Mouth), New London","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, mouth of Thames River from Eastern Point (North of Avery Point), US to I95 crossing (Includes Inner New London Harbor), Groton.",1.994,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,True,52,Coastal and Marine Surface Waters Class SB,1.994,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,55590146.2477417,77299.9908390296
185,2016,CT-E1_031-SB,"LIS EB Inner - Connecticut River (upper), Chester","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from area just above Brockway Island, US to saltwater limit just above Chapman Pond inlet (adjacent to Gillette Castle State Park), East Haddam.",2.13,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,2.13,X,Unassessed,X,Unassessed,N,Not Supporting,Not Evaluated,,Natural Conditions Not Viable,Yes,59371835.9403687,199013.731952209
186,2016,CT-W3_007,"LIS WB Midshore - Offshore Norwalk Islands,Norwalk","See Map for Boundaries.  Western portion of LIS from line just beyond cluster of Norwalk Islands (Sheffield Island to Cockenoe Island area), out to 50 ft contour, Norwalk.",5.663,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,5.663,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,F,Fully Supporting,Yes,157887389.460938,72857.8609507351
187,2016,CT-C2_010,"LIS CB Shore - Joshua Cove & Island Bay, Guilford","See Map for Boundaries.  Central portion of LIS from Clark Point to Sachem Head area (includes Horse and Foskett Islands), out approximately 1000 ft offshore, Guilford.",0.738,SQUARE MILES,ESTUARY,Central,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.738,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,20560688.9050903,46255.5490127436
188,2016,CT-W2_012,"LIS WB Shore - Outer Norwalk Harbor(East), Norwalk","See Map for Boundaries.  Western portion of LIS from midpoint of outer Norwalk Harbor to just west of Canfield Island area (includes Calf Pasture Beach, Shady Beach, Calf Pasture Point) out approximately 1000 ft offshore, Norwalk.",0.258,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.258,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,7185558.58453369,16017.9391515436
189,2016,CT-W2_006,"LIS WB Shore - Southport Harbor (East), Fairfield","See Map for Boundaries.  Western portion of LIS from inner Southport Harbor outlet to Pine Creek Point area (includes Sasco Beach, Kense Point) out approximately 1000 ft offshore, Fairfield.",0.183,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.183,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,5101178.27435303,12244.9801408303
190,2016,CT-W2_009,"LIS WB Shore - Compo Cove, SISP, Westport","See Map for Boundaries.  Western portion of LIS from Compo Cove to Burying Hill Road area (includes Sherwood Island State Park Beach, Sherwood Point, Sherwood Millpond outlet, Greens Farms Brook outlet) out approximately 1000 ft offshore, Westport.",0.324,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.324,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,9031116.49475098,19624.6261909901
191,2016,CT-W2_018,"LIS WB Shore - Westcott Cove, Stamford","See Map for Boundaries.  Western portion of LIS from near intersection of Hobson Street and Sea Beach Drive to Greenway Island area of outer Cove Harbor (includes West Beach, Cummings Beach, Vincent Island) out approximately 1000 ft offshore, Stamford.",0.366,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.366,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,10212232.6795959,30453.3335211611
192,2016,CT-E2_017,"LIS EB Shore - Rocky Neck (Fourmile Rvr), Old Lyme","See Map for Boundaries.  Eastern portion of LIS from Hatchett Point to Seal Rock (Great Neck) Includes Rocky Neck State Park Beach, out approximately 1000 ft offshore.",0.531,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.531,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,14794070.7501831,31440.7690127884
193,2016,CT-E2_016,"LIS EB Shore - Pattagansett River Mouth, East Lyme","See Map for Boundaries.  Eastern portion of LIS from Seal Rock (Great Neck) to Point East of Griswald Island (entire mouth of Pattagansett River, including area around Watts Island), out approximately 1000 ft offshore.",0.322,SQUARE MILES,ESTUARY,Eastern,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.322,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,8984828.84356689,45121.3071410528
194,2016,CT-E3_006,LIS EB Midshore - Niantic Bay,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Black Point, East Lyme to Magonk Point (SB/SA water quality boundary) Waterford, out to 50 ft contour (Niantic Bay).",6.179,SQUARE MILES,ESTUARY,Eastern,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,6.179,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,172264535.749023,93975.6910232227
