OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIP,OWNER,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWID,SURFACED_1,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUT,NGHBRHDGRN,NATIONHWYS,STREETTYPE,MJTRK_STR_,PVMTCONDIN,PVMTCOND_1,TRANCLASS,TRANDESCRI,FREIGHTCLASS,SHAPE_Length
1234,13523,68,10425,0030,104250030,WESTERN AVE W BETWEEN 3RD AVE W AND ELLIOTT AVE W,WESTERN AVE W,WESTERN AVE W,3RD AVE W,ELLIOTT AVE W,1, , ,300,30,NW,N, , ,158.0,0,,3RD AVE W AND WESTERN AVE W,NW,28656,ELLIOTT AVE W AND WESTERN AVE W,SE,28669,1263715.88087484,230151.15689573, , , ,Mixed, ,0,0,0, ,1,158.202953419711
1235,13521,68,10425,0020,104250020,WESTERN AVE W BETWEEN 2ND AVE W AND ELLIOTT ER AVE W,WESTERN AVE W,WESTERN AVE W,2ND AVE W,ELLIOTT ER AVE W,1, , ,200,30,NW,N, , ,224.0,0,,2ND AVE W AND WESTERN AVE W,NW,28663,ELLIOTT ER AVE W AND WESTERN AVE W,SE,28668,1264007.27185114,229885.28655946, , , ,Regional, ,0,0,0, ,1,223.859653874628
1236,13519,68,10425,0009,104250009,WESTERN AVE W BETWEEN W DENNY WAY AND 1ST AVE W,WESTERN AVE W,WESTERN AVE W,W DENNY WAY,1ST AVE W,1, , ,0,30,NW,N, , ,229.0,0,,WESTERN AVE W AND W DENNY WAY,NW,28666,1ST AVE W AND WESTERN AVE W,SE,28665,1264489.50525963,229448.59068701, , , ,Regional, ,0,0,0, ,1,228.879133466227
1237,13511,68,10420,0250,104200250,WESTERN AVE BETWEEN WALL ST AND VINE ST,WESTERN AVE,WESTERN AVE,WALL ST,VINE ST,1, , ,2500,30,NW,Y,NW,F,307.0,0,,WALL ST AND WESTERN AVE,NW,29698,VINE ST AND WESTERN AVE,SE,29692,1266340.05329353,227767.29410929, , , , , ,0,0,3, ,1,306.613378753635
1238,13510,68,10420,0240,104200240,WESTERN AVE BETWEEN BATTERY ST AND WALL ST,WESTERN AVE,WESTERN AVE,BATTERY ST,WALL ST,1, , ,2400,30,NW,Y,NW,F,306.0,0,,BATTERY ST AND WESTERN AVE,NW,29699,WALL ST AND WESTERN AVE,SE,29698,1266566.44394976,227561.22895707, , , , , ,0,0,3, ,1,305.646646959916
1239,13516,68,10420,0300,104200300,WESTERN AVE BETWEEN EAGLE ST AND BAY ST,WESTERN AVE,WESTERN AVE,EAGLE ST,BAY ST,1, , ,3000,30,NW,N, , ,426.0,0,,EAGLE ST AND WESTERN AVE,NW,29663,BAY ST AND WESTERN AVE,SE,35490,1265063.65956423,228927.25417447, , , , , ,0,0,3, ,1,426.286721357499
1240,9080,68,05365,0240,053650240,BATTERY ST TUNNEL NB BETWEEN ALASKAN WY VI NB AND AURORA AVE N,BATTERY ST TUNNEL NB,BATTERY ST TUNNEL NB,ALASKAN WY VI NB,AURORA AVE N,1, , ,0,40,NE,Y,NE,F,2042.0,0,,ALASKAN WY VI NB AND BATTERY ST TUNNEL NB,NE,29715,AURORA AVE N AND BATTERY ST TUNNEL NB,SW,29571,1267553.57060677,228373.4984619, , , , , ,0,0,2, ,5,2041.68460168053
1241,8759,68,05065,0010,050650010,ALASKAN WY VI NB BETWEEN BATTERY ST TUNNEL NB AND BATTERY ST TUN ON RP,ALASKAN WY VI NB,ALASKAN WY VI NB,BATTERY ST TUNNEL NB,BATTERY ST TUN ON RP,1, , ,0,50,N,Y,N,F,18.0,0,,ALASKAN WY VI NB AND BATTERY ST TUNNEL NB,N,29715,ALASKAN WY VI NB AND BATTERY ST TUN ON RP,S,29712,1266908.1761741,227644.80732517, , , , , ,0,0,2, ,1,17.9160381842062
1242,9206,68,05430,0230,054300230,BATTERY ST TUN ON RP BETWEEN BELL ST AND ALASKAN WY VI NB,BATTERY ST TUN ON RP,BATTERY ST TUN ON RP,BELL ST,ALASKAN WY VI NB,1, , ,2300,40,N,Y,N,F,478.0,0,,BELL ST AND WESTERN AVE,N,29704,ALASKAN WY VI NB AND BATTERY ST TUN ON RP,S,29712,1266944.77515015,227400.81916492, , , , , ,0,0,3, ,1,478.004956962412
1243,1278,68,00082,0660,000820660,1ST AV S BR SB BETWEEN 1ST AV S SB ON RP AND POINT B,1ST AV S BR SB,1ST AV S BR SB,1ST AV S SB ON RP,POINT B,1, , ,0,35,S,Y,S,F,303.0,0,,1ST AV S BR SB AND 1ST AV S SB ON RP,S,34090,1ST AV S BR SB AND POINT B,N,34091,1269663.56344093,201646.10662654, , , , , ,0,0,2, ,5,302.657370983733
1244,14399,68,11300,0540,113000540,EAST MARGINAL WAY S BETWEEN S BRANDON ST AND S LUCILE ST,EAST MARGINAL WAY S,EAST MARGINAL WAY S,S BRANDON ST,S LUCILE ST,1, , ,5400,45,S,N, , ,288.0,0,,EAST MARGINAL WAY S AND S BRANDON ST,S,33027,EAST MARGINAL WAY S AND S LUCILE ST,N,33036,1269078.25880033,205642.48077463, , , ,Industrial, ,0,0,2, ,1,288.01128087716
1245,8729,68,05045,0220,050450220,ALASKAN WAY BETWEEN BLANCHARD ST AND XW BELL ST,ALASKAN WAY,ALASKAN WAY,BLANCHARD ST,XW BELL ST,1, , ,2200,30,NW,N, , ,423.0,0,,ALASKAN WAY AND BLANCHARD ST,NW,29723,ALASKAN WAY AND XW BELL ST,SE,29707,1266765.50276597,226604.1622041, , , , , ,0,0,3, ,1,423.163742814014
1246,8722,68,05045,0120,050450120,ALASKAN WAY BETWEEN SENECA ST AND UNIVERSITY ST,ALASKAN WAY,ALASKAN WAY,SENECA ST,UNIVERSITY ST,1, , ,1100,30,NW,Y,SE,T,311.0,0,,ALASKAN WAY AND SENECA ST,NW,29633,ALASKAN WAY AND UNIVERSITY ST,SE,29634,1268738.83038399,224523.08648996, , , , , ,0,0,3, ,1,310.515640238594
1247,8721,68,05045,0110,050450110,ALASKAN WAY BETWEEN SPRING ST AND SENECA ST,ALASKAN WAY,ALASKAN WAY,SPRING ST,SENECA ST,1, , ,1100,30,NW,Y,SE,T,303.0,0,,ALASKAN WAY AND SPRING ST,NW,29632,ALASKAN WAY AND SENECA ST,SE,29633,1268896.75921614,224260.2855937, , , , , ,0,0,3, ,1,302.922539789168
1248,8720,68,05045,0100,050450100,ALASKAN WAY BETWEEN MADISON ST AND SPRING ST,ALASKAN WAY,ALASKAN WAY,MADISON ST,SPRING ST,1, , ,1000,30,NW,Y,S,T,306.0,0,,ALASKAN WAY AND MADISON ST,NW,29631,ALASKAN WAY AND SPRING ST,SE,29632,1269058.07288031,224002.27176943, , , , , ,0,0,3, ,1,305.691357213687
1249,12428,68,09345,0940,093450940,RAINIER AVE S BETWEEN 54TH AVE S AND SEWARD PARK AVE S,RAINIER AVE S,RAINIER AVE S,54TH AVE S,SEWARD PARK AVE S,1, , ,9400,30,E,N, , ,581.0,0,,54TH AVE S AND RAINIER AVE S,E,35458,RAINIER AVE S AND SEWARD PARK AVE S,W,35451,1286942.78105862,192957.21861765, , , ,Mixed, ,0,0,2, ,2,580.761727235474
1250,12378,68,09345,0400,093450400,RAINIER AVE S BETWEEN S ANDOVER ST AND S DAKOTA ST,RAINIER AVE S,RAINIER AVE S,S ANDOVER ST,S DAKOTA ST,1, , ,4000,30,S,N, , ,669.0,0,,RAINIER AVE S AND S ANDOVER ST,S,32690,RAINIER AVE S AND S DAKOTA ST,N,32695,1281075.96255662,210240.31495534, , , ,Mixed, ,0,0,2, ,2,668.851519629059
1251,12370,68,09345,0310,093450310,RAINIER AVE S BETWEEN S MOUNT BAKER EB BV AND S HANFORD ST,RAINIER AVE S,RAINIER AVE S,S MOUNT BAKER EB BV,S HANFORD ST,1, , ,3100,30,SE,N, , ,370.0,0,,RAINIER AVE S AND S MOUNT BAKER EB BV,SE,31494,RAINIER AVE S AND S HANFORD ST,NW,31505,1279427.68652293,213325.6889105, , , ,Mixed, ,0,0,2, ,2,370.348658672712
1252,12424,68,09345,0923,093450923,RAINIER AVE S BETWEEN 51ST AVE S AND STURTEVANT AVE S,RAINIER AVE S,RAINIER AVE S,51ST AVE S,STURTEVANT AVE S,1, , ,9200,30,SE,N, , ,284.0,0,,51ST AVE S AND RAINIER AVE S,SE,35450,RAINIER AVE S AND STURTEVANT AVE S,NW,35461,1285627.02521728,192961.06412165, , , ,Mixed, ,0,0,2, ,2,284.191648818724
1253,12381,68,09345,0425,093450425,RAINIER AVE S BETWEEN S GENESEE N ST AND S GENESEE S ST,RAINIER AVE S,RAINIER AVE S,S GENESEE N ST,S GENESEE S ST,1, , ,4400,30,S,N, , ,67.0,0,,RAINIER AVE S AND S GENESEE N ST,S,32708,RAINIER AVE S AND S GENESEE S ST,N,32715,1281250.02694079,209192.84263428, , , ,Mixed, ,0,0,2, ,2,66.6990005283004
1254,12401,68,09345,0650,093450650,RAINIER AVE S BETWEEN S MORGAN ST AND S WARSAW ST,RAINIER AVE S,RAINIER AVE S,S MORGAN ST,S WARSAW ST,1, , ,6500,30,SE,N, , ,359.0,0,,RAINIER AVE S AND S MORGAN ST,SE,34407,RAINIER AVE S AND S WARSAW ST,NW,34416,1284682.64416032,201696.7184666, , , ,Regional, ,0,0,2, ,2,358.888861996197
1255,12372,68,09345,0330,093450330,RAINIER AVE S BETWEEN S BYRON ST AND S WALDEN ST,RAINIER AVE S,RAINIER AVE S,S BYRON ST,S WALDEN ST,1, , ,3300,30,SE,N, , ,421.0,0,,RAINIER AVE S AND S BYRON ST,SE,32410,RAINIER AVE S AND S WALDEN ST,NW,32416,1279787.1085393,212593.74081375, , , ,Mixed, ,0,0,2, ,2,420.558145281712
1256,12373,68,09345,0340,093450340,RAINIER AVE S BETWEEN S WALDEN ST AND S ESTELLE ST,RAINIER AVE S,RAINIER AVE S,S WALDEN ST,S ESTELLE ST,1, , ,3400,30,SE,N, , ,420.0,0,,RAINIER AVE S AND S WALDEN ST,SE,32416,RAINIER AVE S AND S ESTELLE ST,NW,32431,1279972.78674749,212216.64628537, , , ,Regional, ,0,0,2, ,2,420.100327116572
1257,12408,68,09345,0725,093450725,RAINIER AVE S BETWEEN S GARDEN ST AND S OTHELLO ST,RAINIER AVE S,RAINIER AVE S,S GARDEN ST,S OTHELLO ST,1, , ,7200,30,S,N, , ,253.0,0,,RAINIER AVE S AND S GARDEN ST,S,34469,RAINIER AVE S AND S OTHELLO ST,N,34470,1285474.79520112,199305.13382414, , , ,Mixed, ,0,0,2, ,2,252.838797932285
1258,12437,68,09345,1000,093451000,RAINIER AVE S BETWEEN 68TH AVE S AND CORNELL AVE S,RAINIER AVE S,RAINIER AVE S,68TH AVE S,CORNELL AVE S,1, , ,10000,35,SE,N, , ,394.0,0,,68TH AVE S AND RAINIER AVE S,SE,38204,CORNELL AVE S AND RAINIER AVE S,NW,38351,1290874.41152665,189696.7340703, , , ,Mixed, ,0,0,2, ,2,393.887547465513
1259,7252,68,03890,0022,038900022,5TH AVE N BETWEEN BROAD ST AND HARRISON ST,5TH AVE N,5TH AVE N,BROAD ST,HARRISON ST,1, , ,200,30,N,N, , ,496.0,0,,5TH AVE N AND BROAD ST,N,28931,5TH AVE N AND HARRISON ST,S,28925,1267001.61815821,230339.95510392, , , ,Mixed, ,0,0,2, ,2,495.850844223319
1260,8760,68,05065,0030,050650030,ALASKAN WY VI NB BETWEEN BATTERY ST TUN ON RP AND WESTERN AV OFF RP,ALASKAN WY VI NB,ALASKAN WY VI NB,BATTERY ST TUN ON RP,WESTERN AV OFF RP,1, , ,0,40,NW,Y,NW,F,1296.0,0,,ALASKAN WY VI NB AND BATTERY ST TUN ON RP,NW,29712,ALASKAN WY VI NB AND WESTERN AV OFF RP,SE,29713,1267066.97188628,227016.29154852, , , , , ,0,0,2, ,5,1295.99385575546
1261,8768,68,05070,0060,050700060,ALASKAN WY VI SB BETWEEN ELLIOTT AV ON RP AND COLUMBIA ST ON RP,ALASKAN WY VI SB,ALASKAN WY VI SB,ELLIOTT AV ON RP,COLUMBIA ST ON RP,1, , ,0,50,SE,Y,SE,F,3767.0,0,,ALASKAN WY VI SB AND ELLIOTT AV ON RP,SE,29714,ALASKAN WY VI SB AND COLUMBIA ST ON RP,NW,30370,1268603.62359984,224913.21980237, , , , , ,0,0,2, ,5,3767.20943005638
1262,12415,68,09345,0810,093450810,RAINIER AVE S BETWEEN S ELMGROVE ST AND S ROSE N ST,RAINIER AVE S,RAINIER AVE S,S ELMGROVE ST,S ROSE N ST,1, , ,8100,30,S,N, , ,298.0,0,,RAINIER AVE S AND S ELMGROVE ST,S,35409,RAINIER AVE S AND S ROSE N ST,N,35410,1285514.90214516,196619.16198139, , , ,Mixed, ,0,0,2, ,2,298.237896617547
1263,12430,68,09345,0950,093450950,RAINIER AVE S BETWEEN 57TH AVE S AND ITHACA PL S,RAINIER AVE S,RAINIER AVE S,57TH AVE S,ITHACA PL S,1, , ,9500,35,E,N, , ,218.0,0,,57TH AVE S AND RAINIER AVE S,E,35452,ITHACA PL S AND RAINIER AVE S,W,35453,1287633.19424333,193068.95909776, , , ,Mixed, ,0,0,2, ,2,218.011653356477
1264,12431,68,09345,0951,093450951,RAINIER AVE S BETWEEN ITHACA PL S AND S CARVER ST,RAINIER AVE S,RAINIER AVE S,ITHACA PL S,S CARVER ST,1, , ,9500,35,SE,N, , ,931.0,0,,ITHACA PL S AND RAINIER AVE S,SE,35453,RAINIER AVE S AND S CARVER ST,NW,35397,1288191.5299239,192944.61528963, , , ,Regional, ,0,0,2, ,2,931.488130957341
1265,12411,68,09345,0760,093450760,RAINIER AVE S BETWEEN S AUSTIN ST AND S HOLDEN ST,RAINIER AVE S,RAINIER AVE S,S AUSTIN ST,S HOLDEN ST,1, , ,7600,30,S,N, , ,369.0,0,,RAINIER AVE S AND S AUSTIN ST,S,34479,RAINIER AVE S AND S HOLDEN ST,N,34492,1285544.0323212,198160.59494297, , , ,Regional, ,0,0,2, ,2,368.567613570896
1266,12399,68,09345,0640,093450640,RAINIER AVE S BETWEEN 46TH AVE S AND S EDDY ST,RAINIER AVE S,RAINIER AVE S,46TH AVE S,S EDDY ST,1, , ,6400,30,SE,N, , ,105.0,0,,46TH AVE S AND RAINIER AVE S,SE,34397,RAINIER AVE S AND S EDDY ST,NW,34395,1284329.91865595,202295.74182721, , , ,Mixed, ,0,0,2, ,2,105.241033808579
1267,12418,68,09345,0840,093450840,RAINIER AVE S BETWEEN S THISTLE ST AND S CLOVERDALE ST,RAINIER AVE S,RAINIER AVE S,S THISTLE ST,S CLOVERDALE ST,1, , ,8400,30,S,N, , ,636.0,0,,RAINIER AVE S AND S THISTLE ST,S,35417,RAINIER AVE S AND S CLOVERDALE ST,N,35427,1285496.13657714,195562.67084432, , , ,Regional, ,0,0,2, ,2,636.426124374358
1268,12434,68,09345,0970,093450970,RAINIER AVE S BETWEEN S PILGRIM ST AND S NORFOLK ST,RAINIER AVE S,RAINIER AVE S,S PILGRIM ST,S NORFOLK ST,1, , ,9700,35,SE,N, , ,911.0,0,,RAINIER AVE S AND S PILGRIM ST,SE,38179,RAINIER AVE S AND S NORFOLK ST,NW,38186,1289467.95162122,191340.15723999, , , ,Regional, ,0,0,2, ,2,910.801107378544
1269,12425,68,09345,0925,093450925,RAINIER AVE S BETWEEN STURTEVANT AVE S AND 52ND AVE S,RAINIER AVE S,RAINIER AVE S,STURTEVANT AVE S,52ND AVE S,1, , ,9200,30,E,N, , ,329.0,0,,RAINIER AVE S AND STURTEVANT AVE S,E,35461,52ND AVE S AND RAINIER AVE S,W,35460,1285929.95680159,192930.94117762, , , ,Mixed, ,0,0,2, ,2,329.391757162043
1270,12417,68,09345,0830,093450830,RAINIER AVE S BETWEEN S ROSE S ST AND S THISTLE ST,RAINIER AVE S,RAINIER AVE S,S ROSE S ST,S THISTLE ST,1, , ,8300,30,S,N, , ,443.0,0,,RAINIER AVE S AND S ROSE S ST,S,35416,RAINIER AVE S AND S THISTLE ST,N,35417,1285505.71641715,196102.30905287, , , ,Mixed, ,0,0,2, ,2,443.020264476224
1271,12374,68,09345,0350,093450350,RAINIER AVE S BETWEEN S ESTELLE ST AND S COURT ST,RAINIER AVE S,RAINIER AVE S,S ESTELLE ST,S COURT ST,1, , ,3500,30,SE,N, , ,345.0,0,,RAINIER AVE S AND S ESTELLE ST,SE,32431,RAINIER AVE S AND S COURT ST,NW,32437,1280141.64249167,211873.57486102, , , ,Regional, ,0,0,2, ,2,344.648419155251
1272,12426,68,09345,0930,093450930,RAINIER AVE S BETWEEN 52ND AVE S AND 53RD AVE S,RAINIER AVE S,RAINIER AVE S,52ND AVE S,53RD AVE S,1, , ,9300,30,E,N, , ,297.0,0,,52ND AVE S AND RAINIER AVE S,E,35460,53RD AVE S AND RAINIER AVE S,W,35459,1286243.12979391,192922.58124161, , , ,Mixed, ,0,0,2, ,2,297.17780306286
1273,12422,68,09345,0910,093450910,RAINIER AVE S BETWEEN S DIRECTOR S ST AND S FISHER PL,RAINIER AVE S,RAINIER AVE S,S DIRECTOR S ST,S FISHER PL,1, , ,9100,30,S,N, , ,180.0,0,,RAINIER AVE S AND S DIRECTOR S ST,S,35444,RAINIER AVE S AND S FISHER PL,N,35449,1285456.72262511,193598.5562823, , , ,Mixed, ,0,0,2, ,2,180.00020225567
1274,12369,68,09345,0309,093450309,RAINIER AVE S BETWEEN S MOUNT BAKER WB BV AND S MOUNT BAKER EB BV,RAINIER AVE S,RAINIER AVE S,S MOUNT BAKER WB BV,S MOUNT BAKER EB BV,1, , ,3000,30,SE,N, , ,58.0,0,,RAINIER AVE S AND S MOUNT BAKER WB BV,SE,31513,RAINIER AVE S AND S MOUNT BAKER EB BV,NW,31494,1279333.75077884,213517.9074067, , , ,Mixed, ,0,0,2, ,2,57.8460869331055
1275,12406,68,09345,0710,093450710,RAINIER AVE S BETWEEN S MYRTLE ST AND S ORCHARD ST,RAINIER AVE S,RAINIER AVE S,S MYRTLE ST,S ORCHARD ST,1, , ,7100,30,S,N, , ,232.0,0,,RAINIER AVE S AND S MYRTLE ST,S,34452,RAINIER AVE S AND S ORCHARD ST,N,34451,1285409.54297705,199777.59500863, , , ,Mixed, ,0,0,2, ,2,232.499411517837
1276,8771,68,05070,0170,050700170,ALASKAN WY VI SB BETWEEN S HOLGATE ST AND S LANDER ST,ALASKAN WY VI SB,ALASKAN WY VI SB,S HOLGATE ST,S LANDER ST,1, , ,0,50,S,Y,S,F,2275.0,0,,ALASKAN WY VI SB AND S HOLGATE ST,S,31211,ALASKAN WY VI SB AND S LANDER ST,N,31219,1268718.10347196,216267.97326551, , , ,Industrial, ,0,0,2, ,5,2266.06687006033
1277,8769,68,05070,0100,050700100,ALASKAN WY VI SB BETWEEN COLUMBIA ST ON RP AND ALASKAN WY VI SB EFR OFF RP,ALASKAN WY VI SB,ALASKAN WY VI SB,COLUMBIA ST ON RP,ALASKAN WY VI SB EFR OFF RP,1, , ,0,50,SE,Y,SE,F,2856.0,0,,ALASKAN WY VI SB AND COLUMBIA ST ON RP,SE,30370,ALASKAN WY VI SB AND ALASKAN WY VI SB EFR OFF RP,NW,30369,1269805.25489707,222013.28731939, , , ,Industrial, ,0,0,2, ,5,2707.2308814832
1278,8773,68,05070,0210,050700210,ALASKAN WY VI SB BETWEEN ALASKAN WY VI SB WSB WB OFF RP AND EAST MARGINAL WAY S,ALASKAN WY VI SB,ALASKAN WY VI SB,ALASKAN WY VI SB WSB WB OFF RP,EAST MARGINAL WAY S,1, , ,0,50,S,Y,S,F,2441.0,0,,ALASKAN WY VI SB AND S SPOKANE ST RP,S,32167,ALASKAN WY VI NB AND EAST MARGINAL WAY S,N,32193,1268657.2471519,211443.97863658, , , ,Industrial, ,0,0,2, ,5,2441.18945414012
1279,12377,68,09345,0380,093450380,RAINIER AVE S BETWEEN S CHARLESTOWN ST AND S ANDOVER ST,RAINIER AVE S,RAINIER AVE S,S CHARLESTOWN ST,S ANDOVER ST,1, , ,3800,30,SE,N, , ,758.0,0,,RAINIER AVE S AND S CHARLESTOWN ST,SE,32672,RAINIER AVE S AND S ANDOVER ST,NW,32690,1280860.7365724,210911.99124403, , , ,Mixed, ,0,0,2, ,2,758.438933234385
1280,12423,68,09345,0915,093450915,RAINIER AVE S BETWEEN S FISHER PL AND 51ST AVE S,RAINIER AVE S,RAINIER AVE S,S FISHER PL,51ST AVE S,1, , ,9100,30,S,N, , ,478.0,0,,RAINIER AVE S AND S FISHER PL,S,35449,51ST AVE S AND RAINIER AVE S,N,35450,1285449.20979309,193278.57228197, , , ,Mixed, ,0,0,2, ,2,477.585080754018
1281,12409,68,09345,0730,093450730,RAINIER AVE S BETWEEN S OTHELLO ST AND S FONTANELLE ST,RAINIER AVE S,RAINIER AVE S,S OTHELLO ST,S FONTANELLE ST,1, , ,7300,30,S,N, , ,380.0,0,,RAINIER AVE S AND S OTHELLO ST,S,34470,RAINIER AVE S AND S FONTANELLE ST,N,34478,1285518.05740917,198991.89286383, , , ,Regional, ,0,0,2, ,2,379.589636362591
1282,12383,68,09345,0450,093450450,RAINIER AVE S BETWEEN S OREGON ST AND S ALASKA ST,RAINIER AVE S,RAINIER AVE S,S OREGON ST,S ALASKA ST,1, , ,4500,30,S,N, , ,787.0,0,,RAINIER AVE S AND S OREGON ST,S,32721,RAINIER AVE S AND S ALASKA ST,N,32737,1281396.80882895,208308.40263337, , , ,Mixed, ,0,0,2, ,2,787.054245719982
1283,12407,68,09345,0720,093450720,RAINIER AVE S BETWEEN S ORCHARD ST AND S GARDEN ST,RAINIER AVE S,RAINIER AVE S,S ORCHARD ST,S GARDEN ST,1, , ,7200,30,S,N, , ,234.0,0,,RAINIER AVE S AND S ORCHARD ST,S,34451,RAINIER AVE S AND S GARDEN ST,N,34469,1285441.47360109,199546.40140839, , , ,Mixed, ,0,0,2, ,2,234.276983003826
1284,12420,68,09345,0900,093450900,RAINIER AVE S BETWEEN S HENDERSON ST AND S DIRECTOR N ST,RAINIER AVE S,RAINIER AVE S,S HENDERSON ST,S DIRECTOR N ST,1, , ,9000,30,S,N, , ,359.0,0,,RAINIER AVE S AND S HENDERSON ST,S,35443,RAINIER AVE S AND S DIRECTOR N ST,N,35486,1285466.46284911,194020.89074673, , , ,Main, ,0,0,2, ,2,358.657613075974
1285,12433,68,09345,0960,093450960,RAINIER AVE S BETWEEN S KEPPLER ST AND S PILGRIM ST,RAINIER AVE S,RAINIER AVE S,S KEPPLER ST,S PILGRIM ST,1, , ,9600,35,S,N, , ,311.0,0,,RAINIER AVE S AND S KEPPLER ST,S,35402,RAINIER AVE S AND S PILGRIM ST,N,38179,1289201.31680495,191888.93823256, , , ,Regional, ,0,0,2, ,2,311.011524573095
1286,12435,68,09345,0980,093450980,RAINIER AVE S BETWEEN S NORFOLK ST AND S COOPER ST,RAINIER AVE S,RAINIER AVE S,S NORFOLK ST,S COOPER ST,1, , ,9800,35,SE,N, , ,716.0,0,,RAINIER AVE S AND S NORFOLK ST,SE,38186,RAINIER AVE S AND S COOPER ST,NW,38195,1289988.49619775,190726.22027937, , , ,Regional, ,0,0,2, ,2,715.998136042357
1287,12400,68,09345,0645,093450645,RAINIER AVE S BETWEEN S EDDY ST AND S MORGAN ST,RAINIER AVE S,RAINIER AVE S,S EDDY ST,S MORGAN ST,1, , ,6400,30,SE,N, , ,470.0,0,,RAINIER AVE S AND S EDDY ST,SE,34395,RAINIER AVE S AND S MORGAN ST,NW,34407,1284513.04128014,202070.19014697, , , ,Mixed, ,0,0,2, ,2,469.690254353978
1288,12404,68,09345,0690,093450690,RAINIER AVE S BETWEEN S WILLOW ST AND S FRONTENAC ST,RAINIER AVE S,RAINIER AVE S,S WILLOW ST,S FRONTENAC ST,1, , ,6900,30,SE,N, , ,359.0,0,,RAINIER AVE S AND S WILLOW ST,SE,34430,RAINIER AVE S AND S FRONTENAC ST,NW,34441,1285274.15494491,200385.06073725, , , ,Mixed, ,0,0,2, ,2,358.874768433537
1289,12376,68,09345,0375,093450375,RAINIER AVE S BETWEEN 33RD AVE S AND S CHARLESTOWN ST,RAINIER AVE S,RAINIER AVE S,33RD AVE S,S CHARLESTOWN ST,1, , ,3700,30,SE,N, , ,101.0,0,,33RD AVE S AND RAINIER AVE S,SE,32673,RAINIER AVE S AND S CHARLESTOWN ST,NW,32672,1280636.52966017,211274.82894041, , , ,Regional, ,0,0,2, ,2,100.785151530152
1290,14385,68,11300,0320,113000320,EAST MARGINAL WAY S BETWEEN S HANFORD ST AND S HORTON ST,EAST MARGINAL WAY S,EAST MARGINAL WAY S,S HANFORD ST,S HORTON ST,2, , ,3200,35,S,N, , ,435.0,0,,EAST MARGINAL WAY S AND S HANFORD ST,S,32154,EAST MARGINAL WAY S AND S HORTON ST,N,32155,1268551.71428779,213377.06599855, , , ,Industrial, ,0,0,3, ,1,434.815557842236
1291,8719,68,05045,0090,050450090,ALASKAN WAY BETWEEN MARION ST AND MADISON ST,ALASKAN WAY,ALASKAN WAY,MARION ST,MADISON ST,1, , ,900,30,NW,Y,S,T,306.0,0,,ALASKAN WAY AND MARION ST,NW,30379,ALASKAN WAY AND MADISON ST,SE,29631,1269213.72638448,223738.89896916, , , , , ,0,0,3, ,1,306.236885461146
1292,8740,68,05050,0070,050500070,ALASKAN WAY S BETWEEN ALASKAN E RDWY WAY S AND S ROYAL BROUGHAM WAY,ALASKAN WAY S,ALASKAN WAY S,ALASKAN E RDWY WAY S,S ROYAL BROUGHAM WAY,1, , ,700,35,S,N, , ,1799.0,0,,ALASKAN WAY S AND ALASKAN E RDWY WAY S,S,30392,ALASKAN WAY S AND S ROYAL BROUGHAM WAY,N,30383,1269693.00977696,220596.20808594, , , ,Industrial, ,0,0,3, ,1,1798.7426010793
1293,14397,68,11300,0500,113000500,EAST MARGINAL WAY S BETWEEN S HUDSON ST AND S DAWSON ST,EAST MARGINAL WAY S,EAST MARGINAL WAY S,S HUDSON ST,S DAWSON ST,1, , ,5000,45,S,N, , ,637.0,0,,EAST MARGINAL WAY S AND S HUDSON ST,S,33017,EAST MARGINAL WAY S AND S DAWSON ST,N,33022,1268738.78411199,206662.64755967, , , ,Industrial, ,0,0,2, ,1,637.109872754499
1294,617698,68,05041,0150,050410150,ALASKA AVE BETWEEN ALASKAN WAY AND LENORA ST,ALASKAN W RDWY WAY,ALASKA AVE,ALASKAN WAY,LENORA ST,1, , ,1500,0,NW,Y,SE,T,1248.35,0,,ALASKAN WAY AND PIKE HILL CLIMB,NW,617697,ALASKAN WAY AND LENORA ST,SE,29724,1267684.9991509,225741.91228321, , , , , ,0,0,0, ,1,1248.34612733885
1295,8731,68,05045,0250,050450250,ALASKAN WAY BETWEEN WALL ST AND VINE ST,ALASKAN WAY,ALASKAN WAY,WALL ST,VINE ST,1, , ,2500,30,NW,N, , ,309.0,0,,ALASKAN WAY AND WALL ST,NW,29706,ALASKAN WAY AND VINE ST,SE,29695,1265935.23319711,227325.10428484, , , , , ,0,0,3, ,1,308.741695021514
1296,8718,68,05045,0080,050450080,ALASKAN WAY BETWEEN COLUMBIA ST AND MARION ST,ALASKAN WAY,ALASKAN WAY,COLUMBIA ST,MARION ST,1, , ,800,30,NW,Y,S,T,304.0,0,,ALASKAN WAY AND COLUMBIA ST,NW,30351,ALASKAN WAY AND MARION ST,SE,30379,1269366.04049663,223474.3774329, , , , , ,0,0,3, ,1,304.246307318998
