ETC_ID,Q1A_Qual_of_services_in_city,Q1B_Appearance_of_city,Q1C_Image_of_city,Q1D_Planning_for_growth,Q1E_Quality_of_life,Q1F_Feeling_of_safety,Q1G_Efforts_to_promote_diversity,Q1H_Promotion_of_inclusiveness,Q1I_Direction_of_city,Q1J_Leadership_of_officials,Q1K_Public_involvement,Q1L_Ethical_conduct_of_employees,Q1M_Sustainability_programs,Q1N_Informed_about_budget,Q1O_Opport_to_express_ideas,Q2_Usage_of_city_services_facilities,Q2_2nd,Q2_3rd,Q2_4th,Q2_5th,Q2_6th,Q2_7th,Q2_8th,Q2_9th,Q2_10th,Q2_11th,Q2_12th,Q3A_Condition_of_streets,Q3B_Condition_of_sidewalks,Q3C_Maint_of_private_property,Q3D_Condition_of_alley,Q3E_Feeling_of_safety,Q3F_Quality_of_neigh_park,Q3G_Adequacy_of_lighting,Q4_Services_should_emphasize,Q4_2nd,Q5_Overall_neighborhood,Q6_Most_important_public_safety_concern,Q7A_Qual_of_large_parks,Q7B_Qual_of_city_rec_centers,Q7C_Qual_of_city_swim_pools,Q7D_Qual_of_athletic_fields,Q7E_Qual_of_youth_rec,Q7F_Qual_of_adult_rec,Q7G_Qual_of_golf_courses,Q7H_Qual_of_arts_cultural,Q7I_Library_programs,Q8_Programs_emphasize_most,Q8_2nd,Q9A_Library_services,Q9B_Condition_of_streets,Q9C_Clarity_of_street_signs,Q9D_Local_transit,Q9E_Mgmt_of_traffic_flow,Q9F_Walk_bike_paths,Q9G_Info_about_programs_events,Q9H_Enforce_prop_maint_codes,Q9I_Landscape_maintenance,Q9J_Appearance_of_resid_prop,Q9K_Appearance_of_comm_prop,Q9L_Cleanliness_of_streets,Q9M_Resid_trash_collection,Q9N_Recycling_services,Q9O_Bulky_item_pickup,Q9P_Water_service,Q9Q_Local_police_services,Q9R_Enforcement_of_traffic_laws,Q9S_Qual_of_local_fire_services,Q9T_Efforts_to_prevent_crime,Q9U_Qual_of_parks_rec,Q9V_Maint_of_city_parks,Q10_Services_emphasize_most,Q10_2nd,Q10_3rd,Q11_Social_human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Social_human_emphasize_most,Q12_2nd,Q12_3rd,Q13_How_get_info_about_Tempe,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_get_info,Q13a_2nd,Q13a_3rd,Q14A_Contacted_Tempe_in_past_year,Q14B_Easy_to_contact,Q14C_Way_you_were_treated,Q14D_Accuracy_of_info_given,Q14E_How_quickly_staff_responded,Q14F_How_well_issue_handled,Q15_Overall_priorities,Q15_2nd,Q15_3rd,Q15_4th,Q16_One_improvement_in_neighborhood,Q17_One_problem_to_work_on,Q18A_How_long_in_Tempe,Q18B_Age,Q18C_Gender,Q18D_Used_public_transit,Q18E_Full_time_student,Q18F_Own_or_rent,Q18G_Have_an_alley,Q18H_Highest_level_of_educ,Q18I_Have_cable_television,Q18J_Internet_access,Q18K_Visited_downtown_Tempe,Q18L_Race_ethnicity,Q18L_2nd,Q18L__3rd,Q18L__4th,Q18L__Other,Q20_Zip,OBJECTID
428,4,4,4,4,4,2,3,2,4,3,3,2,3,3,3,1,2.0,3.0,9.0,12.0,,,,,,,,5,4.0,4,4,4,5,9,G,B,5,BURGLARIES,5,3,3,4,3,4,3,4,5,E,H,4,4,2,4,3,3,2,4,4,4,3,4,5,4,5,4,5,3,4,3,4,4,T,A,G,99,,,,,,,,,2,9.0,4.0,3.0,4.0,5.0,9.0,10.0,,,,,,99,,,1,3.0,5.0,2.0,4.0,3.0,1,11.0,,,DARK SKIES PGM PARTICIPATION,DOWNTOWN/ARTS DEVELOPMENT,5,4,1,1,2,1,1,4,1,1,1,2,,,,,85282,426
429,5,5,5,4,4,3,3,4,3,4,3,3,3,4,4,1,2.0,3.0,5.0,6.0,9.0,10.0,11.0,,,,,4,4.0,3,4,3,4,4,C,E,4,BURGLARY,5,5,9,5,5,5,4,5,4,Z,,4,4,4,4,4,4,4,3,4,4,3,4,5,5,5,5,3,4,4,3,5,5,Q,T,H,2,3.0,,,,,,,,4,7.0,9.0,1.0,2.0,4.0,5.0,8.0,9.0,,,,,1,2.0,5.0,1,4.0,4.0,4.0,4.0,4.0,1,8.0,,,,BURGLARY/CAR THEFT,5,6,2,1,2,1,1,3,1,1,1,2,,,,,85282,427
430,5,5,5,4,5,4,9,9,5,5,4,5,5,9,5,1,2.0,3.0,5.0,9.0,10.0,11.0,,,,,,5,5.0,5,1,4,5,5,Z,,4,RENTAL PROPERTIES,5,5,5,5,5,5,5,5,5,H,D,5,4,5,5,5,5,5,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,H,J,I,4,5.0,6.0,9.0,,,,,,4,6.0,9.0,8.0,9.0,,,,,,,,,6,8.0,,1,4.0,4.0,4.0,4.0,4.0,1,2.0,,,CLEAN UP RENTAL PROPERTIES!,CLEAN UP RESID RENTAL PROP!,5,4,1,1,2,1,1,5,1,1,1,5,,,,SICILIAN-AMER,85283,428
431,4,4,4,3,4,3,3,3,4,4,4,3,3,3,3,5,6.0,,,,,,,,,,,4,2.0,3,4,4,3,3,E,G,4,MAINTENANCE OF PRIV PROP,4,4,9,4,4,4,4,5,5,Z,,5,4,4,5,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,T,J,I,99,,,,,,,,,99,,,1.0,2.0,5.0,9.0,,,,,,,99,,,2,,,,,,2,6.0,,,PROPERTY MAINTENANCE,SAFETY,5,6,1,1,2,2,1,4,1,1,1,5,,,,,85281,429
432,3,3,3,2,2,3,2,3,3,3,4,3,4,4,4,1,2.0,9.0,12.0,,,,,,,,,4,4.0,4,9,2,4,4,Z,,3,SPEEDING/MORE STOP SIGNS,4,9,9,9,9,3,9,2,3,I,H,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,2,4,3,4,9,3,4,P,D,,99,,,,,,,,,99,,,3.0,,,,,,,,,,6,,,2,,,,,,4,11.0,,,MORE GROCERY STORES,MORE SMALL BUSINESS-MILL AREA,4,2,2,1,2,2,2,4,1,1,1,2,9.0,,,,85281,430
433,5,5,5,2,5,4,5,5,4,5,5,5,5,4,4,1,2.0,5.0,7.0,9.0,10.0,11.0,12.0,,,,,4,4.0,4,5,4,4,5,E,C,4,GRAFFITI,5,5,2,3,5,9,9,5,5,I,H,5,5,5,5,5,9,4,4,5,2,2,4,5,5,5,5,5,5,5,5,5,5,A,H,J,99,,,,,,,,,3,4.0,7.0,2.0,5.0,9.0,10.0,,,,,,,2,5.0,9.0,1,5.0,5.0,5.0,5.0,5.0,4,8.0,,,LONG-TERM PLANNING/PRESERVATIO,STOP LOSS TO TEMPE MARKETPLACE,4,4,1,1,2,2,1,5,2,1,1,2,,,,,85282,431
434,5,5,5,3,4,4,5,4,4,4,4,4,4,4,5,8,,,,,,,,,,,,4,4.0,4,9,4,4,4,Z,,4,,4,5,4,4,4,5,4,4,4,F,,5,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,4,5,4,4,4,Z,,,99,,,,,,,,,99,,,99.0,,,,,,,,,,99,,,2,,,,,,4,8.0,,,,,5,6,2,2,2,2,2,9,1,1,2,1,,,,,85281,432
435,4,4,4,4,5,5,3,9,4,4,4,4,4,4,9,2,3.0,,,,,,,,,,,4,4.0,4,9,4,4,4,F,A,4,TRAFFIC/SPEEDING,9,9,9,9,9,9,9,9,9,E,A,5,4,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,4,5,4,4,4,Q,S,U,99,,,,,,,,,99,,,4.0,5.0,7.0,9.0,,,,,,,5,9.0,4.0,2,,,,,,8,11.0,,,,MORE JOBS,5,4,2,2,2,2,2,5,1,1,1,2,,,,,85281,433
436,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,1,2.0,5.0,9.0,12.0,,,,,,,,4,4.0,2,4,3,2,4,C,F,3,SPEEDING CARS,4,4,9,9,4,4,9,4,4,E,F,4,4,4,4,3,9,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,3,H,J,V,99,,,,,,,,,1,4.0,7.0,2.0,5.0,8.0,9.0,,,,,,,9,2.0,8.0,1,4.0,4.0,4.0,4.0,4.0,6,,,,REGULATION OF RENTAL PROPERTY,MORE INTERESTING SHOPS,5,4,2,1,2,1,1,5,2,1,1,2,,,,,85281,434
437,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,2,3.0,4.0,9.0,,,,,,,,,3,3.0,1,2,3,3,2,C,G,3,MAINT OF PRIV PROPERTY,4,3,3,3,3,3,4,4,4,Z,,4,3,3,3,3,3,4,4,2,2,2,3,4,4,4,4,4,4,4,2,4,3,J,I,V,99,,,,,,,,,1,3.0,6.0,1.0,4.0,9.0,,,,,,,,1,4.0,9.0,1,4.0,4.0,4.0,4.0,4.0,3,6.0,,,PROPERTY MAINTENANCE,PROPERTY MAINTENANCE,5,4,1,2,2,2,1,3,1,1,2,2,,,,,85281,435
438,5,5,5,3,5,4,5,4,4,3,3,4,3,4,3,1,2.0,5.0,8.0,12.0,,,,,,,,4,4.0,3,3,4,4,4,E,G,3,LIGHTING,5,5,5,5,3,4,3,5,5,I,B,5,4,5,5,4,4,5,3,3,3,9,4,5,5,5,5,4,4,4,4,4,5,Q,N,D,99,,,,,,,,,3,7.0,2.0,2.0,5.0,8.0,9.0,,,,,,,2,5.0,8.0,2,,,,,,8,12.0,,,LIGHTING,ECONOMIC DEVELOPMENT,3,3,1,1,2,1,2,3,1,2,1,3,,,,,85281,436
439,5,5,5,5,5,5,3,3,4,5,5,4,4,3,5,1,2.0,3.0,9.0,11.0,,,,,,,,5,5.0,4,4,4,4,2,E,G,3,STREET LIGHTS,5,9,9,9,9,9,9,4,4,F,C,4,5,5,5,4,4,4,4,4,2,4,4,5,5,5,5,4,2,4,4,9,4,J,R,E,2,,,,,,,,,1,6.0,9.0,1.0,2.0,5.0,8.0,10.0,,,,,,2,1.0,10.0,1,5.0,5.0,5.0,5.0,5.0,6,11.0,,,STREET LIGHTS,BUSINESS DEVELOPMENT,5,4,2,2,2,1,1,4,1,1,1,2,,,,,85281,437
440,5,5,5,4,5,5,4,4,5,5,5,5,4,5,4,99,,,,,,,,,,,,5,5.0,5,5,5,5,5,E,,5,,5,4,4,4,4,4,4,4,4,Z,,9,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Q,R,T,99,,,,,,,,,99,,,1.0,5.0,7.0,9.0,,,,,,,99,,,2,,,,,,99,,,,,,5,6,2,2,2,1,1,3,1,9,1,2,,,,,85282,438
441,4,4,4,3,4,4,3,3,3,4,3,3,4,4,4,2,3.0,5.0,12.0,,,,,,,,,2,4.0,3,9,4,4,4,C,A,3,STREETS & LIGHTING,5,4,9,9,9,9,9,4,9,F,H,9,3,3,4,4,4,4,4,3,4,4,4,3,2,4,4,4,4,4,4,4,4,N,I,B,99,,,,,,,,,3,9.0,2.0,5.0,6.0,8.0,9.0,10.0,,,,,,99,,,2,,,,,,1,3.0,,,FREE INTERNET ACCESS,,3,4,2,1,2,1,2,5,1,1,1,2,,,,,85282,439
442,4,5,4,3,4,5,9,9,3,3,4,9,4,2,3,1,2.0,3.0,4.0,7.0,11.0,,,,,,,4,4.0,3,2,4,4,2,G,D,4,SPEEDERS,5,9,4,4,4,4,4,9,5,E,C,5,4,4,3,2,4,4,3,4,4,5,4,5,5,5,5,4,2,5,4,4,4,E,R,D,99,,,,,,,,,99,,,1.0,5.0,8.0,,,,,,,,99,,,2,,,,,,6,8.0,,,CLEANER ALLEYS,TRAFFIC ENFORCEMENT,4,4,1,2,2,2,1,4,1,1,1,2,,,,,85283,440
443,3,2,2,2,2,3,2,3,2,3,2,9,2,3,2,1,2.0,3.0,4.0,5.0,8.0,12.0,,,,,,5,5.0,4,9,3,5,4,E,F,4,,4,4,3,4,2,3,9,3,5,I,B,5,5,5,4,4,3,3,4,4,4,4,4,5,3,4,4,5,4,4,4,4,4,A,G,V,2,9.0,,,,,,,,3,9.0,1.0,2.0,4.0,5.0,8.0,9.0,10.0,,,,,2,5.0,9.0,1,4.0,4.0,4.0,4.0,4.0,4,6.0,,,BICYCLE & PUBLIC TRANSPORTATIO,QUALITY AND ALL AROUND EDUC,4,4,1,1,2,2,2,5,1,1,1,1,,,,,85284,441
444,4,3,4,2,4,2,9,9,2,2,2,2,4,2,2,2,3.0,8.0,,,,,,,,,,3,4.0,9,3,2,4,4,E,A,3,THEFT & AUTO BREAK-INS,4,9,9,3,9,9,4,9,3,A,I,4,2,3,9,3,4,9,9,4,9,9,4,4,2,9,4,3,4,4,3,4,3,S,B,F,99,,,,,,,,,99,,,7.0,,,,,,,,,,1,7.0,8.0,2,,,,,,10,12.0,,,SAFETY OF PEOPLE,CUT SALARIES OF CITY WORKERS,5,6,2,2,2,2,2,5,2,1,2,2,,,,,85283,442
445,4,4,4,4,4,4,4,4,4,4,5,4,5,3,5,1,2.0,3.0,6.0,9.0,,,,,,,,4,4.0,4,5,5,5,5,E,G,4,,5,5,5,5,5,5,5,5,5,E,,5,4,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,9,4,5,5,E,N,A,99,,,,,,,,,99,,,99.0,,,,,,,,,,99,,,2,,,,,,4,8.0,,,PROUD TO BE TEMPE RESIDENT,SUPPORT LIBRARY & PARKS,5,6,2,2,2,2,2,5,1,1,1,2,,,,,85283,443
446,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2.0,3.0,4.0,6.0,8.0,11.0,12.0,,,,,4,4.0,4,9,4,4,4,C,F,4,,4,4,4,5,5,9,5,4,4,A,B,4,4,4,4,4,5,5,4,5,4,4,4,5,5,5,5,4,4,4,4,4,4,V,B,U,99,,,,,,,,,99,,,4.0,8.0,,,,,,,,,99,,,1,5.0,5.0,5.0,5.0,5.0,3,11.0,,,,,2,3,2,1,2,1,2,4,1,1,1,2,,,,,85284,444
447,4,3,3,3,4,4,3,3,4,3,2,3,2,2,2,1,2.0,3.0,4.0,5.0,6.0,11.0,12.0,,,,,3,4.0,2,3,4,4,4,C,A,3,UNSAFE DRIVING,4,4,4,4,4,4,5,4,4,E,H,4,3,3,5,3,4,4,2,4,3,4,4,4,4,4,4,4,3,4,4,4,4,H,E,J,9,,,,,,,,,2,3.0,9.0,2.0,4.0,5.0,8.0,,,,,,,5,8.0,6.0,1,4.0,4.0,4.0,5.0,5.0,1,9.0,,,REMOVE SEWER SMELL ON PRIEST,PUT RESTAURANTS/BARS @ LAKE,4,3,1,1,2,1,2,4,2,1,1,2,,,,,85281,445
448,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2.0,8.0,10.0,,,,,,,,,4,4.0,4,4,4,4,4,E,D,4,NOISE/PARTIES,4,4,4,4,4,4,9,4,4,H,I,4,4,4,4,3,9,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,E,T,Q,99,,,,,,,,,3,6.0,7.0,1.0,5.0,7.0,,,,,,,,5,7.0,1.0,1,3.0,4.0,3.0,3.0,3.0,4,8.0,,,SAFETY,CRIME,2,3,2,2,2,1,1,5,1,1,1,2,,,,,85282,446
449,4,3,4,4,3,2,4,4,4,4,4,4,3,4,4,2,3.0,5.0,11.0,12.0,,,,,,,,2,3.0,2,2,2,4,2,A,G,3,DRIVERS SPEEDING,4,4,4,4,4,4,4,4,4,Z,,9,2,4,5,1,5,5,9,3,3,2,4,4,5,4,4,4,1,4,3,4,4,R,D,K,99,,,,,,,,,3,7.0,9.0,8.0,,,,,,,,,,8,,,1,3.0,9.0,9.0,9.0,9.0,1,10.0,,,TRAFFIC LAW ENFORCEMENT-SPEED,TRAFFIC LAW ENFORCEMENT-SPEED,4,3,2,1,2,1,1,5,1,1,1,2,,,,,85282,447
450,4,4,4,3,4,2,3,3,3,3,4,4,3,3,4,99,,,,,,,,,,,,4,4.0,4,4,2,1,4,E,F,3,,3,3,2,3,2,3,3,3,3,E,C,4,4,4,3,4,4,2,4,4,4,4,4,5,4,4,4,3,3,3,3,3,2,V,G,,99,,,,,,,,,99,,,2.0,5.0,,,,,,,,,2,,,1,4.0,4.0,3.0,4.0,3.0,4,7.0,,,CONCRETE PATH @ INDIAN BEND PK,SAFETY,4,3,2,2,2,1,1,1,2,1,2,5,,,,,85281,448
451,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,2.0,3.0,5.0,12.0,,,,,,,,4,4.0,4,4,4,3,4,A,E,5,DRUG HOUSES,4,4,4,4,4,4,4,4,5,H,C,5,4,4,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,3,3,T,U,H,2,,,,,,,,,3,5.0,6.0,2.0,5.0,8.0,9.0,,,,,,,99,,,1,4.0,4.0,4.0,4.0,4.0,1,8.0,,,HELP RESID DEAL W/DRUG HOUSES,CRIME PREVENTION,2,3,2,1,2,2,9,5,1,1,1,2,,,,,85282,449
452,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,2,3.0,9.0,11.0,,,,,,,,,4,4.0,3,4,4,4,3,E,G,4,STREET LIGHTS,4,4,4,4,4,4,4,4,4,E,A,4,4,4,9,3,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,Q,T,E,99,,,,,,,,,9,3.0,6.0,5.0,7.0,9.0,10.0,,,,,,,5,7.0,10.0,2,,,,,,8,12.0,,,,DRUGS & CRIME,2,3,1,2,2,1,1,5,2,1,1,2,,,,,85282,450
453,5,5,5,4,5,4,5,5,5,5,9,9,9,4,4,1,2.0,3.0,6.0,9.0,11.0,12.0,,,,,,5,5.0,4,5,5,4,5,E,F,4,BICYCLE SAFETY,5,9,9,9,9,9,5,4,4,I,E,5,5,5,5,4,5,4,9,5,5,5,5,5,5,5,5,5,5,5,9,5,5,T,U,A,99,,,,,,,,,4,9.0,3.0,5.0,6.0,9.0,,,,,,,,9,6.0,8.0,2,,,,,,8,11.0,,,MORE BIKE/MULTIPURPOSE PATHS,SAFETY OF ASU STUDENTS,2,6,2,1,2,1,1,5,2,1,1,2,,,,,85283,451
454,4,4,4,3,4,4,4,4,3,3,3,3,3,3,4,1,2.0,3.0,5.0,8.0,9.0,11.0,12.0,,,,,4,4.0,3,3,4,4,4,E,A,4,RECKLESS DRIVING NEAR ASU,3,3,9,9,9,3,9,3,3,Z,,4,4,4,4,4,9,3,3,3,3,3,9,3,3,4,3,4,3,4,4,4,4,Z,,,99,,,,,,,,,99,,,4.0,5.0,9.0,,,,,,,,9,6.0,5.0,1,9.0,9.0,9.0,9.0,9.0,8,12.0,,,,,2,6,2,1,2,2,1,5,2,1,1,2,,,,,85281,452
455,5,4,4,3,3,2,3,2,2,2,3,2,2,1,1,1,2.0,3.0,4.0,5.0,12.0,,,,,,,4,4.0,2,2,2,3,3,C,E,4,SAFETY,4,9,1,2,3,2,9,3,4,B,E,4,4,3,4,3,2,4,1,2,2,3,3,3,2,1,4,3,2,3,1,3,3,O,Q,J,99,,,,,,,,,99,,,99.0,,,,,,,,,,99,,,2,,,,,,99,,,,,,9,9,1,9,9,2,9,9,9,2,9,4,,,,,85283,453
456,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5.0,,,,,,,,,,,3,3.0,3,3,3,5,2,A,G,3,,5,5,5,5,5,5,5,5,5,Z,,5,3,4,5,5,5,5,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,B,J,H,99,,,,,,,,,4,9.0,3.0,1.0,5.0,7.0,,,,,,,,1,5.0,7.0,1,5.0,5.0,5.0,5.0,5.0,3,6.0,,,NEIGHBORHOOD APPEARANCE,MAINTENANCE OF STREETS,2,3,2,2,2,1,1,3,1,1,1,3,,,,,85282,454
457,4,5,5,3,4,4,4,9,4,4,9,9,9,9,9,1,2.0,3.0,5.0,9.0,10.0,,,,,,,4,4.0,2,1,4,5,4,D,C,3,,5,4,2,4,4,4,9,4,4,Z,,4,4,5,4,4,4,4,3,4,3,4,4,4,4,9,4,4,4,4,4,4,4,J,H,,99,,,,,,,,,99,,,2.0,4.0,5.0,9.0,,,,,,,5,9.0,,2,,,,,,6,,,,"CLEAN UP ALLEYS, CONTROL DUST",STRICTER CODES ON HOME MAINT,2,3,2,1,2,1,1,3,1,1,1,2,,,,,85283,455
458,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,1,2.0,5.0,6.0,7.0,11.0,12.0,,,,,,5,5.0,5,5,5,5,5,E,G,3,TRAFFIC,5,9,4,4,9,9,4,4,5,C,E,5,5,4,4,4,9,4,9,4,3,3,4,5,5,5,5,5,4,5,4,9,9,H,J,T,99,,,,,,,,,99,,,1.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,5,6.0,8.0,1,4.0,3.0,2.0,1.0,1.0,3,4.0,,,,DOGS RUNNING LOOSE,2,3,2,1,2,1,1,3,1,1,1,2,,,,,85283,456
459,5,4,4,9,4,4,9,9,9,9,9,9,4,9,9,2,3.0,5.0,12.0,,,,,,,,,4,4.0,4,3,5,2,5,E,A,5,MORE POLICE PATROLS,5,9,9,9,9,9,9,9,9,Z,,9,4,5,5,5,4,9,4,5,4,4,5,5,5,5,5,4,4,4,5,5,5,T,V,D,99,,,,,,,,,99,,,5.0,9.0,,,,,,,,,5,9.0,,1,5.0,5.0,5.0,5.0,5.0,6,11.0,,,REDUCE SKY HARBOR NOISE,ECONOMIC DEVELOPMENT/GROWTH,2,2,1,1,2,1,1,4,1,1,1,2,,,,,85281,457
460,4,4,4,3,4,2,5,4,3,3,3,3,4,4,4,1,2.0,3.0,5.0,6.0,9.0,12.0,,,,,,4,4.0,3,2,3,5,5,E,C,4,HOMICIDES AT ASU,5,9,9,5,9,4,4,5,5,A,D,5,4,3,4,4,4,4,2,4,2,4,4,5,5,5,5,5,4,4,3,4,5,J,H,J,1,2.0,3.0,,,,,,,6,3.0,2.0,1.0,2.0,4.0,5.0,7.0,9.0,10.0,,,,5,9.0,10.0,1,5.0,5.0,5.0,5.0,5.0,6,11.0,,,WEED CONTROL/DOMESTIC UPKEEP,YARD MAINT IN NEIGHBORHOODS,4,6,1,1,2,1,1,1,1,1,1,2,,,,,85281,458
461,3,4,4,3,4,2,3,3,3,3,3,3,3,4,4,1,12.0,,,,,,,,,,,4,4.0,4,4,2,4,2,E,G,4,LIGHTS,4,3,3,3,3,3,3,3,4,Z,,4,4,4,4,4,4,4,2,4,2,4,4,4,4,5,4,2,4,4,4,4,4,Q,H,J,99,,,,,,,,,99,,,5.0,7.0,,,,,,,,,5,7.0,4.0,2,,,,,,3,8.0,,,MORE LIGHTS,SAFETY,2,3,2,2,2,2,1,3,1,1,1,2,,,,,85281,459
462,4,4,4,3,4,4,4,9,9,9,9,9,9,9,9,2,4.0,6.0,11.0,,,,,,,,,5,5.0,4,9,5,5,5,F,E,4,,4,9,9,2,4,3,3,9,9,D,A,9,4,4,9,2,9,9,9,4,3,3,4,5,5,5,4,9,9,9,9,4,4,T,U,V,99,,,,,,,,,3,7.0,9.0,5.0,,,,,,,,,,99,,,1,4.0,5.0,5.0,5.0,5.0,1,6.0,,,CITY FIELDS AVAIL TO ADULTS,,4,3,1,2,2,2,2,5,1,1,1,2,,,,,85284,460
463,4,5,5,4,4,5,5,5,4,4,4,4,4,4,4,1,2.0,3.0,5.0,8.0,12.0,,,,,,,4,4.0,4,5,4,4,4,E,G,4,SAFETY,4,4,3,3,3,3,9,4,5,I,H,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,3,5,4,5,4,3,3,S,Q,P,99,,,,,,,,,99,,,2.0,5.0,7.0,9.0,10.0,,,,,,5,7.0,9.0,1,4.0,4.0,4.0,5.0,5.0,8,12.0,,,UTILITY BILL COST,UTILITY COSTS,2,3,1,1,2,2,9,4,1,2,1,5,,,,,85281,461
464,4,3,2,2,4,4,3,3,2,3,4,3,4,4,3,1,2.0,3.0,5.0,12.0,,,,,,,,4,4.0,4,4,4,4,4,F,A,4,GRAFFITI,5,4,3,3,4,4,9,3,4,H,I,4,4,2,5,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,3,4,4,T,N,C,99,,,,,,,,,99,,,2.0,5.0,7.0,9.0,,,,,,,7,9.0,5.0,2,,,,,,10,11.0,,,LOWER TAXES,FINISH DEVELOPMENT PROJECTS,4,3,1,1,2,2,1,3,2,1,1,2,,,,,85281,462
465,4,4,5,4,4,3,4,4,3,4,3,3,4,3,3,3,4.0,11.0,,,,,,,,,,2,4.0,2,3,3,4,5,E,C,3,,5,4,4,5,4,4,9,4,9,A,D,9,2,5,5,2,4,4,2,4,2,4,4,4,4,4,4,3,3,4,2,4,4,H,J,T,99,,,,,,,,,99,,,1.0,2.0,5.0,,,,,,,,5,1.0,2.0,1,4.0,4.0,4.0,4.0,4.0,8,12.0,,,MAINTENANCE OF PRIVATE PROP,PUBLIC SAFETY,2,3,2,2,2,1,1,3,1,1,1,2,,,,,85283,463
466,4,4,5,9,5,4,4,4,4,4,2,5,5,3,3,2,3.0,4.0,5.0,12.0,,,,,,,,4,5.0,3,5,4,4,3,C,G,3,,4,9,9,4,9,4,9,9,9,A,F,9,4,4,3,4,4,3,2,4,3,4,5,5,5,4,3,4,4,4,4,4,5,J,D,V,99,,,,,,,,,99,,,4.0,5.0,7.0,8.0,,,,,,,5,4.0,,1,4.0,5.0,4.0,4.0,4.0,6,11.0,,,RESTORE MARS ORBIT ROUTE,JOBS,3,3,1,1,1,1,1,5,2,1,1,2,,,,,85282,464
467,4,4,4,9,4,5,9,9,9,9,9,3,4,9,9,2,3.0,6.0,,,,,,,,,,4,4.0,4,9,4,5,4,A,F,4,VANDALISM,9,9,9,9,9,9,2,9,9,G,,4,2,4,4,4,5,9,2,2,2,3,3,5,5,2,1,5,5,5,5,5,5,P,B,H,99,,,,,,,,,99,,,7.0,,,,,,,,,,99,,,2,,,,,,3,9.0,,,MAINTENANCE,WATER SERVICES,3,3,2,2,2,2,2,4,1,1,1,5,,,,,85282,465
468,5,5,5,5,5,4,5,4,4,4,5,5,4,4,4,1,2.0,5.0,12.0,,,,,,,,,5,5.0,4,3,4,4,5,D,E,4,SPEEDING,5,5,5,5,4,4,3,4,5,E,B,5,5,5,5,5,5,3,3,4,4,4,5,4,4,3,4,4,4,5,5,5,5,O,H,G,9,,,,,,,,,9,6.0,1.0,4.0,5.0,7.0,9.0,,,,,,,5,7.0,9.0,2,,,,,,1,8.0,,,TRASH IN ALLEYS/FRONT YARDS,POLICE SERVICES,2,6,1,2,2,1,1,3,2,2,1,2,,,,,85282,466
469,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,1,2.0,3.0,5.0,10.0,11.0,12.0,,,,,,4,4.0,4,2,4,4,4,D,E,4,ALLEY IS SCARY AT NIGHT,5,3,4,4,4,4,9,9,4,C,H,4,4,4,4,3,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,G,E,O,99,,,,,,,,,2,3.0,9.0,1.0,2.0,5.0,7.0,9.0,10.0,,,,,2,5.0,9.0,2,,,,,,1,11.0,,,ECONOMIC/BUSINESS DEVELOPMENT,TRANSPORTATION,2,3,2,1,2,1,1,4,1,1,1,2,,,,,85282,467
470,3,3,4,3,3,3,4,3,4,3,3,2,4,3,3,5,,,,,,,,,,,,2,4.0,3,9,3,3,2,G,A,3,FEELING OF SAFETY,4,3,3,4,9,9,9,9,3,E,F,4,3,4,9,4,4,2,2,4,3,3,9,4,4,9,4,3,3,4,3,4,4,Q,T,B,99,,,,,,,,,99,,,7.0,,,,,,,,,,99,,,2,,,,,,3,8.0,,,,,4,3,1,2,2,1,2,4,1,1,2,2,,,,,85282,468
