Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
0,8.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40213,1473895.0,2022/01/28 10:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,167.05,21.0,30720.0,4799
0,3.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40213,1473895.0,2022/01/28 10:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,167.05,21.0,30720.0,4800
0,9.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40213,1473895.0,2022/01/28 10:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,167.05,21.0,30720.0,4801
0,9.0,Mixed Race,Female,Non-Hispanic,Not Disabled,Early Head Start,Unemployed(Not in Labor Force),Single Person,40291,1455478.0,2021/12/14 13:48:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,606.98,26.0,50400.0,4802
0,15.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1264371.0,2021/08/19 11:20:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,526.03,1.0,8898.0,4803
0,4.0,African American,Male,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Multigenerational Household,40212,1237191.0,2021/08/04 13:47:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,694.45,5.0,72000.0,4804
0,13.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40241,1233818.0,2021/08/03 12:11:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000.0,17.0,0.0,4805
0,2.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40216,1454324.0,2021/12/13 15:15:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,974.1,12.0,24000.0,4806
0,6.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40214,1303128.0,2021/09/17 12:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,297.83,21.0,28800.0,4807
0,5.0,African American,Female,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40213,1473895.0,2022/01/28 10:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,167.05,21.0,30720.0,4808
0,4.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40214,1303128.0,2021/09/17 12:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,297.83,21.0,28800.0,4809
1,43.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40229,1274468.0,2021/08/25 15:49:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,365.52,23.0,0.0,4810
0,21.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40229,1274468.0,2021/08/25 15:49:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,365.52,23.0,0.0,4811
0,17.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40229,1274468.0,2021/08/25 15:49:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,365.52,23.0,0.0,4812
1,46.0,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40023,1306962.0,2021/09/21 15:39:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,552.62,11.0,51600.0,4813
0,19.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40023,1306962.0,2021/09/21 15:39:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,552.62,11.0,51600.0,4814
0,10.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40023,1306962.0,2021/09/21 15:39:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,552.62,11.0,51600.0,4815
0,24.0,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40023,1306962.0,2021/09/21 15:39:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,552.62,11.0,51600.0,4816
0,15.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40211,1211186.0,2021/07/23 08:56:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,959.7,4.0,19056.0,4817
1,41.0,White,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40299,1270694.0,2021/08/24 09:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,744.24,20.0,29400.0,4818
0,13.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40299,1270694.0,2021/08/24 09:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,744.24,20.0,29400.0,4819
0,9.0,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40299,1270694.0,2021/08/24 09:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,744.24,20.0,29400.0,4820
0,20.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40299,1270694.0,2021/08/24 09:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,744.24,20.0,29400.0,4821
1,53.0,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Person,40215,1246463.0,2021/08/10 10:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,942.67,15.0,0.0,4822
1,29.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Person,40215,1305536.0,2021/09/20 15:15:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000.0,15.0,0.0,4823
0,58.0,African American,Male,Non-Hispanic,Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40211,1245045.0,2021/08/09 14:02:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,613.55,5.0,33062.4,4824
0,8.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40215,1305536.0,2021/09/20 15:15:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000.0,15.0,0.0,4825
1,44.0,Mixed Race,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40272,1290290.0,2021/09/08 10:28:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,364.56,25.0,36000.0,4826
0,18.0,Mixed Race,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40272,1290290.0,2021/09/08 10:28:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,364.56,25.0,36000.0,4827
0,17.0,Mixed Race,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40272,1290290.0,2021/09/08 10:28:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,364.56,25.0,36000.0,4828
0,24.0,Mixed Race,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40272,1290290.0,2021/09/08 10:28:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,364.56,25.0,36000.0,4829
1,51.0,Unknown,Female,Unknown,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40241,1224588.0,2021/07/29 10:02:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,21.0,27600.0,4830
0,21.0,Unknown,Female,Unknown,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40241,1224588.0,2021/07/29 10:02:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,21.0,27600.0,4831
0,19.0,Unknown,Male,Unknown,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40241,1224588.0,2021/07/29 10:02:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,21.0,27600.0,4832
0,5.0,Unknown,Male,Unknown,Unknown,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40241,1224588.0,2021/07/29 10:02:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,21.0,27600.0,4833
1,46.0,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Male,40212,1264740.0,2021/08/19 12:49:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,659.98,5.0,0.0,4834
0,4.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Male,40212,1264740.0,2021/08/19 12:49:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,659.98,5.0,0.0,4835
1,34.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Person,40212,1240772.0,2021/08/05 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,61260.0,4836
0,14.0,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40212,1240772.0,2021/08/05 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,61260.0,4837
0,37.0,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Person,40212,1240772.0,2021/08/05 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,61260.0,4838
0,8.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40212,1240772.0,2021/08/05 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,61260.0,4839
0,3.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40212,1240772.0,2021/08/05 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,61260.0,4840
1,40.0,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Long - Term, more than 6 months)",Single Person,40291,1284162.0,2021/09/01 15:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,553.47,22.0,22152.0,4841
0,23.0,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Person,40291,1284162.0,2021/09/01 15:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,553.47,22.0,22152.0,4842
0,21.0,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Person,40291,1284162.0,2021/09/01 15:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,553.47,22.0,22152.0,4843
0,14.0,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Person,40291,1284162.0,2021/09/01 15:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,553.47,22.0,22152.0,4844
1,29.0,African American,Male,Unknown,Not Disabled,Equivalency Diploma (GED),"Unemployed(Short - Term, 6 months or less)",Single Person,40220,1306556.0,2021/09/21 12:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,26.0,4800.0,4845
1,34.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40213,1477959.0,2022/01/11 10:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,307.86,10.0,24000.0,4846
1,42.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Person,40203,1260911.0,2021/08/17 16:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,428.38,6.0,0.0,4847
0,21.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40203,1260911.0,2021/08/17 16:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,428.38,6.0,0.0,4848
1,45.0,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Male,40211,1390906.0,2021/11/10 09:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,963.35,4.0,0.0,4849
0,23.0,Mixed Race,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Short - Term, 6 months or less)",Two Adults No Children,40214,1287855.0,2021/09/03 15:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,12.0,18000.0,4850
0,5.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40208,1303444.0,2021/09/17 14:11:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,565.47,3.0,0.0,4851
0,15.0,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40208,1303444.0,2021/09/17 14:11:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,565.47,3.0,0.0,4852
0,17.0,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40208,1303444.0,2021/09/17 14:11:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,565.47,3.0,0.0,4853
1,41.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40211,1264371.0,2021/08/19 11:20:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,526.03,1.0,8898.0,4854
0,19.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40211,1264371.0,2021/08/19 11:20:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,526.03,1.0,8898.0,4855
0,15.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40219,1466070.0,2021/12/28 13:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,310.73,24.0,4236.0,4856
0,16.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40299,1274534.0,2021/08/25 16:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,348.51,0.0,18765.72,4857
0,11.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40214,1460236.0,2021/12/17 15:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,21.0,0.0,4858
0,8.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40212,1237191.0,2021/08/04 13:47:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,694.45,5.0,72000.0,4859
0,8.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40214,1460236.0,2021/12/17 15:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,21.0,0.0,4860
1,31.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40214,1300403.0,2021/09/15 14:55:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,640.66,15.0,0.0,4861
0,13.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40219,1466070.0,2021/12/28 13:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,310.73,24.0,4236.0,4862
0,19.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40216,1454324.0,2021/12/13 15:15:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,974.1,12.0,24000.0,4863
0,6.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40241,1233818.0,2021/08/03 12:11:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000.0,17.0,0.0,4864
1,25.0,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Person,40212,1301489.0,2021/09/16 12:18:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,148.75,5.0,4800.0,4865
1,75.0,White,Female,Non-Hispanic,Not Disabled,Equivalency Diploma (GED),Retired,Single Person,40215,1672829.0,2022/04/12 11:21:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,509.05,21.0,12204.0,4866
1,63.0,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40272,1315515.0,2021/09/28 14:34:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,1000.0,12.0,12072.0,4867
0,2.0,White,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Two Parent Household,40214,1437958.0,2021/12/06 14:18:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,848.93,25.0,9600.0,4868
0,2.0,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Multigenerational Household,40212,1237191.0,2021/08/04 13:47:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,694.45,5.0,72000.0,4869
1,34.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40245,1321416.0,2021/10/04 11:08:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,332.07,17.0,11400.0,4870
1,38.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Person,40272,1404297.0,2021/11/17 09:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,74.56,25.0,16800.0,4871
1,62.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Person,40211,1296666.0,2021/09/13 14:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,212.4,1.0,9720.0,4872
1,34.0,African American,Male,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unknown,Single Person,40206,1280574.0,2021/08/30 16:11:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,9.0,16800.0,4873
1,54.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40228,1449757.0,2021/12/10 10:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,468.76,23.0,15626.04,4874
1,53.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Person,40220,1287996.0,2021/09/07 08:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,244.1,10.0,13506.84,4875
1,56.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Multigenerational Household,40218,1362213.0,2021/10/28 10:33:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,327.01,13.0,0.0,4876
1,39.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40214,1364734.0,2021/10/29 10:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,194.49,21.0,0.0,4877
0,12.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40214,1364734.0,2021/10/29 10:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,194.49,21.0,0.0,4878
1,51.0,White,Female,Non-Hispanic,Not Disabled,Advanced/Post-Secondary Degree,Employed Full-Time,Single Person,40258,1337774.0,2021/10/14 13:45:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,54194.76,4879
0,18.0,White,Female,Non-Hispanic,Unknown,Unknown,Unemployed(Not in Labor Force),Single Person,40258,1337774.0,2021/10/14 13:45:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,54194.76,4880
1,34.0,White,Male,Non-Hispanic,Not Disabled,Advanced/Post-Secondary Degree,"Unemployed(Short - Term, 6 months or less)",Single Person,40213,1251715.0,2021/08/12 10:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,21.0,0.0,4881
1,57.0,White,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Person,40228,1268105.0,2021/08/23 08:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,616.21,0.0,12288.0,4882
0,51.0,White,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40228,1268105.0,2021/08/23 08:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,616.21,0.0,12288.0,4883
1,40.0,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40218,1326751.0,2021/10/07 10:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,234.81,2.0,21120.0,4884
0,20.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Female,40218,1326751.0,2021/10/07 10:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,234.81,2.0,21120.0,4885
0,17.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40218,1326751.0,2021/10/07 10:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,234.81,2.0,21120.0,4886
0,15.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40218,1326751.0,2021/10/07 10:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,234.81,2.0,21120.0,4887
1,41.0,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,Retired,Single Person,40214,1460829.0,2021/12/20 10:44:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,448.99,21.0,11196.0,4888
0,19.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Male,40211,1390906.0,2021/11/10 09:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,963.35,4.0,0.0,4889
0,19.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40214,1460829.0,2021/12/20 10:44:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,448.99,21.0,11196.0,4890
0,16.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40214,1460829.0,2021/12/20 10:44:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,448.99,21.0,11196.0,4891
1,42.0,White,Female,Non-Hispanic,Disabled,Advanced/Post-Secondary Degree,Employed Part-Time,Single Person,40220,1230144.0,2021/08/02 10:41:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,393.56,26.0,16258.8,4892
0,3.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40219,1466070.0,2021/12/28 13:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,310.73,24.0,4236.0,4893
1,25.0,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Person,40211,1259288.0,2021/08/17 11:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,12000.0,4894
1,52.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Person,40299,1462832.0,2021/12/21 13:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,141.14,20.0,19200.0,4895
0,5.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40219,1387091.0,2021/11/12 08:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,88.99,24.0,29760.0,4896
0,15.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40219,1387091.0,2021/11/12 08:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,88.99,24.0,29760.0,4897
0,11.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40219,1387091.0,2021/11/12 08:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,88.99,24.0,29760.0,4898
1,26.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40208,1302679.0,2021/09/17 10:26:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,6.0,0.0,4899
0,9.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40208,1302679.0,2021/09/17 10:26:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,6.0,0.0,4900
1,73.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Retired,Two Adults No Children,40214,1387135.0,2021/11/09 09:24:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,589.35,13.0,0.0,4901
1,38.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40203,1317093.0,2021/09/29 13:46:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,143.05,4.0,0.0,4902
