OBJECTID,GEOID,ACRES_TOTAL,PCT_PEOPLE_OF_COLOR,PCT_ENGLISH_LANG_LEARNERS,PCT_FOREIGN_BORN,PCT_POP_UNDER200PCT_POVERTY,PCT_LESS_BACHELOR_DEGREE,PCT_ADULT_NOLEISUREPHYSACTIV,PCT_ADULT_WITH_DIABETES,PCT_ADULT_WITH_OBESITY,PCT_ADULT_MENTALHLTHNOTGOOD,PCT_ADULT_WITH_ASTHMA,LIFE_EXPECTANCY_AT_BIRTH,PCT_ADULT_WITH_DISABILITY,PTL_PEOPLE_OF_COLOR,PTL_ENGLISH_LANG_LEARNERS,PTL_FOREIGN_BORN,PTL_POP_UNDER200PCT_POVERTY,PTL_LESS_BACHELOR_DEGREE,PTL_ADULT_NOLEISUREPHYSACTIV,PTL_ADULT_WITH_DIABETES,PTL_ADULT_WITH_OBESITY,PTL_ADULT_MENTALHLTHNOTGOOD,PTL_ADULT_WITH_ASTHMA,PTL_LOW_LIFE_EXPECT_AT_BIRTH,RACE_ELL_ORIGINS_PERCENTILE,SOCIOECON_DISADV_PERCENTILE,HEALTH_DISADV_PERCENTILE,COMPOSITE_PERCENTILE,RACE_ELL_ORIGINS_QUINTILE,HEALTH_DISADV_QUINTILE,COMPOSITE_QUINTILE,TRACTCE,TRACT,NAME,NAMELSAD,POP_POC,POP_TOTAL_FOR_POC,POP_FOREIGN_BORN,POP_TOTAL_FOR_FOREIGN_BORN,POP_ENGLISH_LANG_LEARNERS,POP_5_YRS_AND_OLDER,POP_LESS_THAN_BACHELOR_DEG,POP_25_YRS_AND_OLDER,POP_UNDER200PCT_POVERTY,POP_POV_STATUS_DETERMINED,POP_ADULT_WITH_DISABILITY,POP_ADULT_CIVILIAN_NONINST,COMPOSITE_SCORE,RACE_ELL_ORIGINS_SCORE,SOCIOECON_DISADV_SCORE,HEALTH_DISADV_SCORE,SOCIOECON_DISADV_QUINTILE,PTL_ADULT_WITH_DISABILITY,SHAPE_Length,SHAPE_Area
99,53033004201,307.40735234,0.3125,0.0274,0.1013,0.0466,0.2181,0.093,0.052,0.191,0.114,0.088,85.71,0.098230408,0.375,0.284,0.17,0.017,0.221,0.176,0.392,0.198,0.107,0.159,0.29,0.295,0.056,0.13,0.079,Second Lowest,Lowest,Lowest,4201,4201,42.01,Census Tract 42.01,1237,3959,366,3612,92,3355,549,2517,168,3605,272,2769,0.160333333,0.301,0.119,0.259428571,Lowest,0.494,18286.1439211159,13390664.2679295
100,53033004301,241.96006825,0.3447,0.0313,0.1701,0.3108,0.2197,0.119,0.054,0.202,0.141,0.098,85.55,0.051628552,0.454,0.34,0.494,0.846,0.227,0.619,0.448,0.443,0.812,0.795,0.313,0.443,0.556,0.596,0.568,Middle,Middle,Middle,4301,4301,43.01,Census Tract 43.01,1359,3943,626,3681,106,3382,472,2148,1098,3533,149,2886,0.531666667,0.4355,0.5365,0.500428571,Middle,0.073,17192.703749828,10539780.5728424
101,53033004901,122.83949072,0.2582,0.0168,0.0999,0.1637,0.2661,0.085,0.034,0.189,0.133,0.091,78.87,0.067213115,0.204,0.153,0.164,0.551,0.363,0.045,0.039,0.176,0.704,0.437,0.904,0.142,0.448,0.289,0.295,Lowest,Second Lowest,Second Lowest,4901,4901,49.01,Census Tract 49.01,993,3846,412,4126,67,3979,805,3025,648,3959,246,3660,0.293,0.18125,0.457,0.356,Middle,0.187,9379.65576684679,5350888.21563384
102,53033005000,187.14284423,0.2901,0.0137,0.0812,0.1317,0.223,0.095,0.038,0.189,0.133,0.092,81.86,0.053890641,0.289,0.119,0.073,0.352,0.244,0.232,0.107,0.176,0.704,0.551,0.694,0.176,0.267,0.323,0.227,Lowest,Second Lowest,Second Lowest,5000,5000,50.0,Census Tract 50,1312,4523,354,4357,58,4228,777,3485,574,4357,205,3804,0.255333333,0.1925,0.298,0.364857143,Second Lowest,0.09,11560.148011522,8151942.29478973
103,53033005801,514.59036203,0.3296,0.028,0.2023,0.1153,0.2446,0.099,0.048,0.202,0.128,0.092,86.43,0.05829435,0.42,0.306,0.642,0.261,0.301,0.312,0.34,0.443,0.511,0.551,0.199,0.448,0.25,0.295,0.323,Middle,Second Lowest,Second Lowest,5801,5801,58.01,Census Tract 58.01,2016,6116,1272,6288,169,6029,1290,5273,723,6273,324,5558,0.331,0.447,0.281,0.357571429,Second Lowest,0.147,25500.0139546944,19618424.243365
104,53033007002,108.97313695,0.3135,0.0192,0.1163,0.1624,0.3154,0.102,0.047,0.196,0.13,0.092,83.76,0.112979351,0.38,0.187,0.25,0.539,0.522,0.357,0.312,0.289,0.642,0.551,0.512,0.284,0.545,0.545,0.471,Second Lowest,Middle,Middle,7002,7002,70.02,Census Tract 70.02,1248,3981,411,3534,67,3492,970,3075,574,3534,383,3390,0.458,0.29925,0.5305,0.476142857,Middle,0.67,9490.79905735624,4746869.84532836
105,53033007101,122.32494506,0.4464,0.0291,0.1958,0.1499,0.3264,0.091,0.039,0.198,0.128,0.088,85.49,0.094814815,0.659,0.318,0.602,0.488,0.551,0.125,0.13,0.335,0.511,0.159,0.324,0.596,0.534,0.204,0.454,Middle,Second Lowest,Middle,7101,7101,71.01,Census Tract 71.01,1438,3221,545,2784,79,2713,827,2534,415,2768,256,2700,0.444666667,0.5595,0.5195,0.294428571,Middle,0.477,9004.94722654019,5328474.60674548
106,53033007102,83.00047975,0.4269,0.0063,0.3625,0.1631,0.2899,0.091,0.039,0.198,0.128,0.088,85.49,0.086682427,0.619,0.051,0.914,0.545,0.443,0.125,0.13,0.335,0.511,0.159,0.324,0.573,0.5,0.164,0.403,Middle,Lowest,Middle,7102,7102,71.02,Census Tract 71.02,1136,2661,920,2538,16,2538,646,2228,414,2538,220,2538,0.412333333,0.55075,0.494,0.281428571,Middle,0.386,11499.9407456685,3615500.89796482
107,53033007902,106.5573416,0.4305,0.0349,0.1554,0.2604,0.3131,0.109,0.051,0.214,0.134,0.095,81.91,0.101130461,0.636,0.392,0.46,0.755,0.5,0.46,0.369,0.71,0.727,0.71,0.688,0.556,0.653,0.704,0.647,Middle,Second Highest,Second Highest,7902,7902,79.02,Census Tract 79.02,1585,3682,590,3796,129,3692,902,2881,986,3786,331,3273,0.637666667,0.531,0.6275,0.602142857,Second Highest,0.551,9715.12087740264,4641637.80002308
108,53033009100,101.46201253,0.7789,0.4144,0.5412,0.4761,0.6359,0.286,0.156,0.185,0.117,0.083,88.43,0.295336788,0.965,1.0,1.0,0.948,0.943,0.988,1.0,0.073,0.159,0.011,0.057,0.988,0.971,0.5,0.863,Highest Equity Priority,Middle,Highest Equity Priority,9100,9100,91.0,Census Tract 91,2286,2935,1465,2707,1108,2674,1544,2428,1274,2676,741,2509,0.819666667,0.9825,0.9455,0.468857143,Highest Equity Priority/Most Disadvantaged,0.994,10608.3854115204,4419685.26590521
109,53033010302,156.2079603,0.4789,0.0253,0.1177,0.1367,0.1787,0.174,0.091,0.246,0.131,0.097,81.56,0.083152567,0.71,0.272,0.284,0.38,0.113,0.886,0.897,0.943,0.659,0.755,0.722,0.528,0.198,0.846,0.551,Middle,Highest Equity Priority/Most Disadvantaged,Middle,10302,10302,103.02,Census Tract 103.02,1804,3767,359,3051,75,2962,481,2692,417,3051,230,2766,0.524,0.494,0.2465,0.746428571,Lowest,0.363,11267.2532000827,6804418.75054294
110,53033010402,430.6632896,0.7298,0.2868,0.4203,0.1285,0.6765,0.185,0.089,0.173,0.115,0.078,82.99,0.100415153,0.943,0.971,0.954,0.34,0.965,0.909,0.892,0.011,0.13,0.0,0.552,0.965,0.687,0.443,0.715,Highest Equity Priority,Middle,Second Highest,10402,10402,104.02,Census Tract 104.02,3720,5097,2032,4835,1308,4561,2432,3595,617,4802,387,3854,0.698333333,0.95275,0.6525,0.433285714,Second Highest,0.539,18925.0430066197,18759692.8948335
111,53033010702,192.76691444,0.6638,0.1759,0.2616,0.4844,0.5043,0.219,0.098,0.293,0.171,0.122,76.26,0.09098966,0.914,0.909,0.75,0.954,0.863,0.96,0.926,1.0,0.96,0.988,0.966,0.903,0.954,0.977,0.971,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,10702,10702,107.02,Census Tract 107.02,3011,4536,1266,4839,768,4367,1542,3058,2328,4806,308,3385,0.944666667,0.87175,0.9085,0.890142857,Highest Equity Priority/Most Disadvantaged,0.431,14935.9302412484,8396926.79304659
112,53033001202,202.96478153,0.4876,0.0665,0.1791,0.2955,0.4119,0.157,0.07,0.219,0.14,0.098,84.03,0.102100995,0.738,0.607,0.517,0.835,0.727,0.806,0.75,0.772,0.795,0.795,0.466,0.664,0.823,0.812,0.812,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,1202,1202,12.02,Census Tract 12.02,1892,3880,579,3232,207,3112,898,2180,955,3232,277,2713,0.766333333,0.65,0.781,0.708142857,Highest Equity Priority/Most Disadvantaged,0.573,13324.9900925288,8841145.88354976
113,53033001400,584.64955156,0.2952,0.0192,0.0946,0.138,0.3388,0.113,0.057,0.214,0.127,0.093,81.52,0.09461326,0.312,0.187,0.153,0.397,0.585,0.545,0.539,0.71,0.465,0.636,0.728,0.232,0.494,0.687,0.494,Second Lowest,Second Highest,Middle,1400,1400,14.0,Census Tract 14,1564,5298,491,5190,96,4991,1394,4114,716,5190,411,4344,0.471,0.241,0.491,0.584857143,Middle,0.471,30536.3374485091,23073388.6555521
114,53033001600,578.30456676,0.2393,0.0194,0.116,0.0614,0.2121,0.106,0.065,0.204,0.11,0.089,85.82,0.063350931,0.125,0.204,0.244,0.062,0.204,0.42,0.653,0.505,0.062,0.187,0.273,0.136,0.062,0.244,0.062,Lowest,Second Lowest,Lowest,1600,1600,16.0,Census Tract 16,1078,4504,547,4714,86,4422,707,3333,289,4707,228,3599,0.147333333,0.1745,0.133,0.325142857,Lowest,0.176,23147.6459804202,20575392.7102698
115,53033001701,220.59288532,0.3528,0.0783,0.1098,0.1788,0.4042,0.125,0.053,0.219,0.142,0.097,82.18,0.093842431,0.477,0.664,0.215,0.607,0.721,0.647,0.426,0.772,0.835,0.755,0.671,0.471,0.715,0.744,0.659,Middle,Second Highest,Second Highest,1701,1701,17.01,Census Tract 17.01,1500,4252,466,4244,318,4059,1419,3511,759,4244,349,3719,0.643333333,0.45825,0.664,0.653,Second Highest,0.465,17164.4547776423,9609026.0846508
116,53033002600,307.57667989,0.2866,0.0365,0.0881,0.1358,0.1649,0.096,0.048,0.205,0.125,0.091,83.92,0.082811748,0.272,0.409,0.113,0.375,0.073,0.255,0.34,0.522,0.386,0.437,0.5,0.244,0.164,0.375,0.244,Second Lowest,Second Lowest,Second Lowest,2600,2600,26.0,Census Tract 26,1535,5355,460,5219,180,4933,622,3773,709,5219,344,4154,0.261,0.2665,0.224,0.399571429,Lowest,0.357,15933.937900155,13398040.1758954
117,53033003201,619.30278001,0.2106,0.0,0.0375,0.1043,0.3936,0.101,0.054,0.208,0.122,0.091,84.86,0.0710466,0.056,0.0,0.017,0.198,0.698,0.323,0.448,0.585,0.255,0.437,0.404,0.0,0.443,0.346,0.255,Lowest,Second Lowest,Second Lowest,3201,3201,32.01,Census Tract 32.01,995,4724,166,4429,0,4248,1461,3712,462,4429,279,3927,0.263,0.03225,0.448,0.381857143,Middle,0.221,32094.5033857247,11927788.6226758
118,53033004800,322.50801658,0.2433,0.0238,0.1347,0.1119,0.2413,0.09,0.043,0.203,0.126,0.091,90.21,0.07070469,0.159,0.25,0.363,0.232,0.289,0.107,0.261,0.465,0.426,0.437,0.012,0.221,0.215,0.153,0.136,Second Lowest,Lowest,Lowest,4800,4800,48.0,Census Tract 48,1244,5113,679,5039,114,4797,991,4107,564,5039,300,4243,0.196333333,0.23275,0.2605,0.274714286,Second Lowest,0.215,18822.2365726525,13833886.8197875
119,53033005202,71.28673368,0.6826,0.0716,0.3767,0.4367,0.2258,0.127,0.039,0.184,0.157,0.098,84.75,0.044549443,0.931,0.642,0.943,0.931,0.255,0.653,0.13,0.062,0.937,0.795,0.432,0.869,0.625,0.448,0.664,Highest Equity Priority,Middle,Second Highest,5202,5202,52.02,Census Tract 52.02,2454,3595,1131,3002,213,2973,305,1351,1311,3002,132,2963,0.647333333,0.86175,0.593,0.435428571,Second Highest,0.039,7845.30321659896,2865193.63627456
120,53033006000,370.98721289,0.3033,0.0141,0.1346,0.1387,0.3241,0.102,0.051,0.198,0.13,0.094,80.97,0.02702199,0.352,0.13,0.357,0.409,0.539,0.357,0.369,0.335,0.642,0.681,0.807,0.278,0.465,0.482,0.392,Second Lowest,Middle,Second Lowest,6000,6000,60.0,Census Tract 60,1838,6061,832,6180,83,5886,1608,4962,827,5964,145,5366,0.408333333,0.29775,0.474,0.456571429,Middle,0.005,19123.0326298116,14158764.7131775
121,53033007302,77.33630086,0.5395,0.0275,0.3318,0.147,0.2276,0.11,0.054,0.209,0.125,0.089,79.56,0.081112132,0.795,0.295,0.875,0.46,0.261,0.477,0.448,0.607,0.386,0.187,0.87,0.698,0.346,0.534,0.556,Second Highest,Middle,Middle,7302,7302,73.02,Census Tract 73.02,2854,5290,1555,4686,123,4479,925,4064,687,4673,353,4352,0.526,0.69,0.3605,0.473571429,Second Lowest,0.34,7802.42635391176,3368769.26534297
122,53033008003,48.71542037,0.4822,0.0629,0.3616,0.146,0.2593,0.093,0.044,0.193,0.116,0.083,85.04,0.136023916,0.721,0.573,0.903,0.443,0.329,0.176,0.272,0.227,0.136,0.011,0.387,0.755,0.386,0.176,0.437,Second Highest,Lowest,Middle,8003,8003,80.03,Census Tract 80.03,1986,4119,1484,4104,257,4084,999,3852,599,4104,546,4014,0.439,0.7295,0.386,0.284714286,Second Lowest,0.784,8720.99942149516,2122043.71130831
123,53033008700,180.96908103,0.468,0.0337,0.123,0.2715,0.3895,0.145,0.07,0.245,0.145,0.102,84.02,0.093578895,0.693,0.369,0.301,0.789,0.693,0.744,0.75,0.937,0.869,0.909,0.472,0.545,0.772,0.835,0.744,Middle,Highest Equity Priority/Most Disadvantaged,Second Highest,8700,8700,87.0,Census Tract 87,1986,4244,574,4665,153,4543,1331,3417,1241,4571,376,4018,0.717333333,0.514,0.741,0.734428571,Second Highest,0.46,11432.3842123557,7883013.16949212
124,53033009300,2491.52256542,0.5021,0.1056,0.1984,0.2168,0.4164,0.143,0.077,0.221,0.123,0.087,85.89,0.124163569,0.761,0.795,0.63,0.676,0.738,0.732,0.835,0.812,0.318,0.073,0.268,0.778,0.75,0.636,0.755,Second Highest,Second Highest,Second Highest,9300,9300,93.0,Census Tract 93,1813,3611,592,2984,306,2898,1059,2543,617,2846,334,2690,0.721333333,0.73675,0.707,0.533714286,Second Highest,0.698,53946.3734519272,102171584.839791
125,53033010502,241.14672502,0.2578,0.0037,0.0762,0.1709,0.4036,0.113,0.058,0.201,0.12,0.091,84.82,0.125571646,0.193,0.028,0.062,0.585,0.715,0.545,0.545,0.397,0.238,0.437,0.415,0.068,0.67,0.505,0.409,Lowest,Middle,Middle,10502,10502,105.02,Census Tract 105.02,1365,5294,446,5853,21,5653,2026,5020,1000,5853,659,5248,0.414333333,0.119,0.65,0.469571429,Second Highest,0.71,14546.1362419116,10504351.3418276
126,53033011200,640.68546724,0.6622,0.2376,0.2891,0.398,0.7123,0.225,0.097,0.276,0.155,0.101,76.22,0.158280922,0.909,0.943,0.795,0.914,0.977,0.971,0.92,0.988,0.931,0.892,0.972,0.926,0.971,0.994,0.982,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11200,11200,112.0,Census Tract 112,2474,3736,1102,3812,859,3616,1926,2704,1491,3746,453,2862,0.963666667,0.889,0.9455,0.933857143,Highest Equity Priority/Most Disadvantaged,0.863,27000.3340810895,26402720.8390818
127,53033011602,581.22691729,0.2005,0.0507,0.0541,0.057,0.3095,0.111,0.065,0.209,0.113,0.09,83.92,0.070201643,0.034,0.511,0.028,0.045,0.477,0.505,0.653,0.607,0.085,0.346,0.5,0.113,0.227,0.414,0.215,Lowest,Middle,Second Lowest,11602,11602,116.02,Census Tract 116.02,666,3321,186,3440,161,3175,787,2543,195,3419,188,2678,0.251333333,0.15175,0.261,0.415142857,Second Lowest,0.21,24704.0405747324,16924173.2272416
128,53033012100,771.16092299,0.222,0.0319,0.0904,0.0578,0.3014,0.111,0.069,0.204,0.109,0.089,82.88,0.134197131,0.085,0.352,0.119,0.051,0.46,0.505,0.738,0.505,0.051,0.187,0.58,0.119,0.21,0.551,0.301,Lowest,Middle,Second Lowest,12100,12100,121.0,Census Tract 121,620,2793,251,2777,85,2668,636,2110,160,2766,290,2161,0.293333333,0.16025,0.2555,0.477714286,Second Lowest,0.778,25850.3211026815,18395144.2089104
129,53033000800,282.15817319,0.3023,0.0502,0.106,0.121,0.2885,0.116,0.067,0.205,0.117,0.091,81.33,0.101488498,0.346,0.505,0.193,0.301,0.437,0.602,0.704,0.522,0.159,0.437,0.75,0.34,0.352,0.63,0.443,Second Lowest,Second Highest,Middle,800,800,8.0,Census Tract 8,814,2693,288,2717,131,2607,579,2007,323,2670,225,2217,0.440666667,0.3475,0.369,0.532857143,Second Lowest,0.556,15312.0874645944,12290810.0239841
130,53033000900,705.16366114,0.3006,0.0801,0.1852,0.0832,0.1943,0.106,0.068,0.194,0.104,0.085,84.49,0.103815937,0.34,0.693,0.556,0.13,0.153,0.42,0.721,0.267,0.011,0.039,0.444,0.522,0.068,0.301,0.306,Middle,Second Lowest,Second Lowest,900,900,9.0,Census Tract 9,624,2076,391,2111,162,2022,332,1709,174,2092,185,1782,0.297,0.48225,0.1415,0.357714286,Lowest,0.602,20828.166195807,10031158.8851075
131,53033001300,291.78230005,0.4867,0.1367,0.2038,0.2848,0.4511,0.139,0.058,0.216,0.143,0.096,81.45,0.085086268,0.732,0.857,0.664,0.818,0.801,0.721,0.545,0.738,0.852,0.732,0.733,0.795,0.852,0.778,0.852,Second Highest,Second Highest,Highest Equity Priority,1300,1300,13.0,Census Tract 13,2475,5085,974,4779,606,4432,1724,3822,1341,4709,360,4231,0.808333333,0.74625,0.8095,0.67,Highest Equity Priority/Most Disadvantaged,0.369,14881.0870453396,12710036.9900294
132,53033001900,411.96445188,0.3452,0.0478,0.1519,0.1529,0.2904,0.108,0.051,0.196,0.125,0.09,79.42,0.13084778,0.46,0.477,0.42,0.494,0.448,0.448,0.369,0.289,0.386,0.346,0.875,0.46,0.46,0.573,0.528,Middle,Middle,Middle,1900,1900,19.0,Census Tract 19,1712,4959,753,4958,226,4731,1113,3833,757,4950,551,4211,0.497666667,0.45425,0.471,0.496285714,Middle,0.761,18948.4812689278,17945171.5237861
133,53033002800,244.19540454,0.2419,0.0465,0.0878,0.0773,0.3145,0.088,0.041,0.2,0.125,0.09,85.92,0.069267317,0.147,0.465,0.107,0.113,0.511,0.073,0.198,0.386,0.386,0.346,0.245,0.198,0.295,0.136,0.159,Lowest,Lowest,Lowest,2800,2800,28.0,Census Tract 28,1199,4956,422,4805,210,4514,1218,3873,363,4695,277,3999,0.209666667,0.2165,0.312,0.261714286,Second Lowest,0.198,13201.311297987,10637151.8218365
134,53033003000,368.9674474,0.2329,0.0485,0.1472,0.1141,0.2632,0.096,0.048,0.206,0.123,0.09,85.12,0.056797583,0.107,0.482,0.409,0.25,0.352,0.255,0.34,0.545,0.318,0.346,0.37,0.25,0.284,0.25,0.25,Second Lowest,Second Lowest,Second Lowest,3000,3000,30.0,Census Tract 30,1512,6493,934,6343,295,6078,1215,4616,723,6335,282,4965,0.261333333,0.27625,0.301,0.329142857,Second Lowest,0.13,16061.947620856,16072222.0089564
135,53033003500,317.44861493,0.1964,0.019,0.0825,0.1563,0.22,0.095,0.053,0.203,0.117,0.09,85.12,0.097042779,0.022,0.17,0.085,0.517,0.232,0.232,0.426,0.465,0.159,0.346,0.37,0.022,0.357,0.284,0.181,Lowest,Second Lowest,Lowest,3500,3500,35.0,Census Tract 35,827,4210,351,4253,78,4098,730,3318,656,4197,338,3483,0.221,0.07475,0.3745,0.355142857,Second Lowest,0.488,16634.3489620973,13828061.6663609
136,53033004401,171.70734071,0.311,0.0276,0.1819,0.3042,0.2435,0.124,0.041,0.196,0.167,0.106,92.14,0.089621278,0.369,0.301,0.545,0.84,0.295,0.63,0.198,0.289,0.948,0.943,0.006,0.386,0.596,0.568,0.545,Second Lowest,Middle,Middle,4401,4401,44.01,Census Tract 44.01,1185,3810,699,3843,105,3803,519,2131,1105,3632,310,3459,0.516666667,0.396,0.5675,0.491428571,Middle,0.426,12948.9751357778,7479571.76147312
137,53033004703,332.13854528,0.3186,0.0492,0.185,0.12,0.2631,0.091,0.04,0.193,0.126,0.089,87.08,0.027504343,0.397,0.488,0.551,0.295,0.346,0.125,0.164,0.227,0.426,0.187,0.12,0.477,0.301,0.028,0.272,Middle,Lowest,Second Lowest,4703,4703,47.03,Census Tract 47.03,1158,3635,709,3833,181,3682,785,2984,460,3833,95,3454,0.268666667,0.45825,0.3205,0.18,Second Lowest,0.011,18718.8571854791,13030918.0542303
138,53033005303,786.25128366,0.5584,0.1434,0.2949,0.5577,0.4892,0.172,0.016,0.161,0.233,0.126,86.25,0.045095829,0.812,0.875,0.806,0.971,0.823,0.852,0.0,0.0,0.994,0.994,0.233,0.829,0.943,0.465,0.795,Highest Equity Priority,Middle,Second Highest,5303,5303,53.03,Census Tract 53.03,2965,5310,1090,3696,530,3696,68,139,29,52,160,3548,0.745666667,0.82625,0.897,0.445428571,Highest Equity Priority/Most Disadvantaged,0.045,33911.0960266014,24346992.4202364
139,53033005901,235.29736249,0.3524,0.0213,0.1171,0.2353,0.1638,0.097,0.041,0.188,0.149,0.101,86.81,0.080517423,0.471,0.227,0.278,0.715,0.056,0.272,0.198,0.13,0.886,0.892,0.137,0.357,0.375,0.392,0.363,Second Lowest,Second Lowest,Second Lowest,5901,5901,59.01,Census Tract 59.01,1258,3570,471,4023,84,3940,319,1947,646,2745,305,3788,0.374666667,0.36175,0.3855,0.407142857,Second Lowest,0.335,19075.2924234318,8449086.71817901
140,53033006500,283.56881902,0.2457,0.01,0.1252,0.1277,0.1609,0.089,0.044,0.196,0.123,0.089,83.53,0.076975632,0.164,0.096,0.318,0.335,0.051,0.085,0.272,0.289,0.318,0.187,0.54,0.153,0.136,0.17,0.068,Lowest,Lowest,Lowest,6500,6500,65.0,Census Tract 65,1148,4672,603,4815,47,4678,664,4127,615,4815,338,4391,0.153,0.1855,0.193,0.284571429,Lowest,0.301,17921.5013322026,12352257.7563169
141,53033006800,177.4391706,0.2415,0.0131,0.1578,0.0505,0.1641,0.082,0.045,0.188,0.113,0.087,82.2,0.106342575,0.142,0.113,0.465,0.022,0.062,0.022,0.295,0.13,0.085,0.073,0.654,0.193,0.011,0.147,0.039,Lowest,Lowest,Lowest,6800,6800,68.0,Census Tract 68,807,3341,522,3307,42,3198,398,2425,167,3307,280,2633,0.117,0.2155,0.042,0.269142857,Lowest,0.625,11275.3773479613,7729250.27147272
142,53033007001,88.52823807,0.2688,0.0093,0.0257,0.1381,0.3118,0.102,0.047,0.196,0.13,0.092,83.76,0.208020773,0.232,0.085,0.0,0.403,0.488,0.357,0.312,0.289,0.642,0.551,0.512,0.085,0.431,0.619,0.369,Lowest,Second Highest,Second Lowest,7001,7001,70.01,Census Tract 70.01,1010,3757,93,3624,33,3543,1097,3518,490,3547,721,3466,0.378333333,0.13725,0.4455,0.519142857,Middle,0.971,9530.30256857273,3856290.05016998
143,53033007600,141.30829635,0.3244,0.0657,0.1165,0.1949,0.1843,0.105,0.047,0.214,0.135,0.096,81.72,0.112113088,0.409,0.602,0.261,0.636,0.119,0.392,0.312,0.71,0.772,0.732,0.699,0.414,0.363,0.715,0.517,Middle,Second Highest,Middle,7600,7600,76.0,Census Tract 76,1409,4344,550,4723,302,4596,651,3533,910,4670,460,4103,0.497333333,0.42025,0.3775,0.610857143,Second Lowest,0.659,9906.36833563622,6155389.38895824
144,53033008200,92.85523016,0.4486,0.0554,0.3408,0.1466,0.2647,0.111,0.053,0.176,0.114,0.084,86.49,0.12992126,0.664,0.539,0.892,0.454,0.357,0.505,0.426,0.017,0.107,0.028,0.194,0.693,0.409,0.187,0.426,Second Highest,Lowest,Middle,8200,8200,82.0,Census Tract 82,2154,4802,1439,4223,225,4064,885,3344,619,4223,528,4064,0.429666667,0.68975,0.4055,0.290285714,Middle,0.755,9102.1403414799,4044773.82579607
145,53033008500,111.435292,0.5403,0.0727,0.2099,0.2644,0.57,0.16,0.076,0.242,0.134,0.091,75.37,0.187591777,0.801,0.647,0.676,0.778,0.909,0.818,0.829,0.914,0.727,0.437,0.983,0.761,0.892,0.903,0.892,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,8500,8500,85.0,Census Tract 85,2412,4464,932,4441,321,4415,2118,3716,757,2863,511,2724,0.852,0.73125,0.8435,0.806428571,Highest Equity Priority/Most Disadvantaged,0.937,9025.58161466663,4854121.31932229
146,53033009200,121.89646617,0.6085,0.1745,0.313,0.4954,0.6289,0.239,0.137,0.287,0.143,0.1,81.16,0.293323041,0.869,0.897,0.829,0.96,0.937,0.982,0.982,0.994,0.852,0.863,0.773,0.88,0.982,0.988,0.977,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,9200,9200,92.0,Census Tract 92,2053,3374,853,2725,469,2687,1510,2401,1350,2725,760,2591,0.95,0.866,0.9485,0.919142857,Highest Equity Priority/Most Disadvantaged,0.988,12687.1211893969,3456088.55077785
147,53033009900,2208.04235633,0.37,0.0785,0.1973,0.1951,0.4839,0.115,0.052,0.221,0.134,0.093,81.28,0.078034102,0.511,0.67,0.619,0.642,0.818,0.596,0.392,0.812,0.727,0.636,0.756,0.607,0.761,0.71,0.704,Second Highest,Second Highest,Second Highest,9900,9900,99.0,Census Tract 99,2315,6257,1113,5642,417,5312,2287,4726,1101,5642,389,4985,0.692666667,0.57775,0.73,0.605285714,Second Highest,0.318,64633.6615792341,70254374.7070403
148,53033011001,266.96604852,0.8526,0.3686,0.5174,0.399,0.7141,0.286,0.139,0.248,0.15,0.106,80.74,0.185479981,0.994,0.994,0.994,0.92,0.982,0.988,0.988,0.971,0.903,0.943,0.813,1.0,0.988,1.0,1.0,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11001,11001,110.01,Census Tract 110.01,4084,4790,2667,5155,1782,4835,2640,3697,2057,5155,769,4146,0.996,0.994,0.951,0.933857143,Highest Equity Priority/Most Disadvantaged,0.931,16287.3553131872,11629041.073569
149,53033011500,380.13436072,0.2866,0.0496,0.1057,0.1343,0.4406,0.113,0.055,0.215,0.129,0.093,81.67,0.098342231,0.272,0.494,0.187,0.363,0.767,0.545,0.511,0.732,0.573,0.636,0.711,0.306,0.585,0.698,0.562,Second Lowest,Second Highest,Middle,11500,11500,115.0,Census Tract 115,1276,4452,458,4334,202,4076,1517,3443,579,4310,350,3559,0.529666667,0.30625,0.565,0.601142857,Middle,0.5,19887.3089363241,16558652.7529049
150,53033011601,429.80413161,0.2512,0.0193,0.0471,0.0829,0.2394,0.111,0.065,0.209,0.113,0.09,83.92,0.075392269,0.17,0.198,0.022,0.125,0.284,0.505,0.653,0.607,0.085,0.346,0.5,0.09,0.153,0.426,0.187,Lowest,Middle,Lowest,11601,11601,116.01,Census Tract 116.01,893,3555,153,3247,60,3106,604,2523,261,3148,197,2613,0.223,0.14,0.2045,0.424,Lowest,0.272,20011.9659924997,16710842.8944194
